episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.598,[1.291],-0.0,0.0,0.0,0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,2.004,[1.277],-0.127,-0.0,0.167,0.018,-10.657,-10.89,"[-0.088, 0.0, 0.241]",turtlebot3_burger
0,2.504,[1.283],0.027,0.0,0.658,0.198,-10.685,-10.891,"[0.186, 0.0, 0.3]",turtlebot3_burger
0,2.907,[1.293],0.217,-0.0,0.292,0.417,-10.63,-10.871,"[0.22, 0.0, 0.262]",turtlebot3_burger
0,3.401,[1.33],0.218,-0.0,0.231,0.538,-10.54,-10.824,"[0.22, 0.0, 0.231]",turtlebot3_burger
0,3.804,[1.383],0.218,-0.0,0.208,0.638,-10.462,-10.772,"[0.22, 0.0, 0.212]",turtlebot3_burger
0,4.305,[1.447],0.218,-0.0,0.203,0.743,-10.378,-10.702,"[0.22, 0.0, 0.204]",turtlebot3_burger
0,4.803,[1.541],0.218,-0.0,0.2,0.837,-10.306,-10.63,"[0.22, 0.0, 0.201]",turtlebot3_burger
0,5.3,[1.614],0.22,0.0,0.033,0.914,-10.237,-10.546,"[0.22, 0.0, -0.04]",turtlebot3_burger
0,5.803,[1.698],0.221,0.0,-0.083,0.903,-10.169,-10.459,"[0.22, 0.0, -0.077]",turtlebot3_burger
0,6.205,[1.776],0.22,0.0,0.021,0.882,-10.114,-10.391,"[0.22, 0.0, 0.023]",turtlebot3_burger
0,6.701,[1.856],0.22,0.0,-0.005,0.884,-10.044,-10.306,"[0.22, 0.0, -0.044]",turtlebot3_burger
0,7.101,[1.922],0.219,0.0,0.026,0.875,-9.988,-10.238,"[0.22, 0.0, 0.02]",turtlebot3_burger
0,7.501,[1.983],0.219,0.0,-0.006,0.877,-9.932,-10.17,"[0.22, 0.0, 0.002]",turtlebot3_burger
0,8.002,[2.076],0.218,-0.0,0.117,0.902,-9.862,-10.086,"[0.22, 0.0, 0.078]",turtlebot3_burger
0,8.501,[2.155],0.22,0.0,-0.03,0.91,-9.795,-9.999,"[0.22, 0.0, -0.021]",turtlebot3_burger
0,9.003,[2.246],0.22,0.0,-0.042,0.893,-9.727,-9.912,"[0.22, 0.0, -0.015]",turtlebot3_burger
0,9.413,[2.316],0.219,0.0,0.02,0.891,-9.672,-9.844,"[0.22, 0.0, -0.001]",turtlebot3_burger
0,9.902,[2.396],0.22,0.0,-0.048,0.882,-9.602,-9.759,"[0.22, 0.0, -0.029]",turtlebot3_burger
0,10.302,[2.468],0.219,0.0,0.018,0.878,-9.546,-9.691,"[0.22, 0.0, 0.002]",turtlebot3_burger
0,10.703,[2.533],0.218,0.0,-0.028,0.877,-9.49,-9.623,"[0.22, 0.0, -0.06]",turtlebot3_burger
0,11.103,[2.598],0.22,-0.0,0.008,0.863,-9.428,-9.55,"[0.22, 0.0, 0.021]",turtlebot3_burger
0,11.503,[2.671],0.221,0.0,-0.001,0.868,-9.376,-9.489,"[0.22, 0.0, -0.006]",turtlebot3_burger
0,11.903,[2.746],0.219,-0.0,0.128,0.881,-9.32,-9.422,"[0.22, 0.0, 0.099]",turtlebot3_burger
0,12.308,[2.807],0.22,0.0,-0.043,0.902,-9.265,-9.353,"[0.22, 0.0, -0.034]",turtlebot3_burger
0,12.711,[2.885],0.219,0.0,0.025,0.896,-9.21,-9.285,"[0.22, 0.0, 0.12]",turtlebot3_burger
0,13.202,[2.962],0.22,0.0,-0.017,0.937,-9.144,-9.198,"[0.22, 0.0, -0.053]",turtlebot3_burger
0,13.704,[3.059],0.219,0.0,0.043,0.923,-9.073,-9.104,"[0.22, 0.0, -0.053]",turtlebot3_burger
0,14.108,[3.033],0.221,0.0,-0.131,0.883,-9.024,-9.04,"[0.22, 0.0, -0.08]",turtlebot3_burger
0,14.603,[2.976],0.219,0.0,0.022,0.864,-8.957,-8.962,"[0.22, 0.0, 0.013]",turtlebot3_burger
0,15.105,[2.876],0.219,-0.0,0.04,0.898,-8.887,-8.877,"[0.22, 0.0, -0.007]",turtlebot3_burger
0,15.508,[2.795],0.219,0.0,-0.005,0.893,-8.828,-8.803,"[0.22, 0.0, 0.02]",turtlebot3_burger
0,16.005,[2.72],0.221,0.0,-0.208,0.877,-8.759,-8.718,"[0.22, 0.0, -0.258]",turtlebot3_burger
0,16.501,[2.63],0.222,0.0,-0.235,0.755,-8.683,-8.637,"[0.22, 0.0, -0.229]",turtlebot3_burger
0,17.001,[2.507],0.222,0.0,-0.221,0.642,-8.598,-8.566,"[0.22, 0.0, -0.213]",turtlebot3_burger
