episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.277,[1.094],-0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.683,[1.1],-0.201,0.0,-0.126,-0.005,-3.742,9.21,"[-0.195, 0.0, -0.219]",turtlebot3_burger
0,2.183,[1.083],-0.177,0.0,-0.3,-0.127,-3.835,9.215,"[-0.175, 0.0, -0.3]",turtlebot3_burger
0,2.584,[1.072],-0.162,0.0,-0.308,-0.244,-3.901,9.228,"[-0.139, 0.0, -0.3]",turtlebot3_burger
0,2.985,[1.055],-0.044,0.0,-0.534,-0.364,-3.949,9.242,"[0.1, 0.0, -0.3]",turtlebot3_burger
0,3.487,[1.074],0.193,0.0,-0.701,-0.884,-3.915,9.212,"[0.22, 0.0, -0.3]",turtlebot3_burger
0,3.981,[1.157],0.222,0.0,-0.23,-1.025,-3.852,9.122,"[0.22, 0.0, -0.23]",turtlebot3_burger
0,4.384,[1.24],0.222,0.0,-0.224,-1.116,-3.81,9.044,"[0.22, 0.0, -0.22]",turtlebot3_burger
0,4.786,[1.309],0.22,0.0,-0.23,-1.202,-3.774,8.962,"[0.22, 0.0, -0.213]",turtlebot3_burger
0,5.279,[1.295],0.221,0.0,-0.221,-1.307,-3.74,8.857,"[0.22, 0.0, -0.208]",turtlebot3_burger
0,5.78,[1.245],0.222,0.0,-0.211,-1.409,-3.717,8.749,"[0.22, 0.0, -0.202]",turtlebot3_burger
0,6.282,[1.188],0.222,0.0,-0.196,-1.509,-3.704,8.639,"[0.22, 0.0, -0.165]",turtlebot3_burger
0,6.783,[1.15],0.221,0.0,-0.028,-1.559,-3.701,8.528,"[0.22, 0.0, -0.006]",turtlebot3_burger
0,7.281,[1.097],0.22,-0.0,-0.022,-1.562,-3.7,8.418,"[0.22, 0.0, 0.0]",turtlebot3_burger
0,7.684,[1.075],0.221,-0.0,-0.007,-1.562,-3.699,8.331,"[0.22, 0.0, -0.01]",turtlebot3_burger
0,8.182,[1.053],0.221,-0.0,-0.015,-1.565,-3.698,8.221,"[0.22, 0.0, -0.003]",turtlebot3_burger
0,8.582,[1.038],0.221,0.0,-0.022,-1.569,-3.698,8.133,"[0.22, 0.0, -0.009]",turtlebot3_burger
0,9.079,[1.018],0.221,-0.0,-0.008,-1.57,-3.698,8.023,"[0.22, 0.0, -0.005]",turtlebot3_burger
0,9.583,[1.025],0.221,-0.0,-0.018,-1.573,-3.698,7.913,"[0.22, 0.0, -0.003]",turtlebot3_burger
0,10.08,[1.032],0.22,-0.0,-0.01,-1.573,-3.698,7.803,"[0.22, 0.0, 0.002]",turtlebot3_burger
0,10.481,[1.058],0.221,-0.0,-0.012,-1.573,-3.698,7.715,"[0.22, 0.0, -0.008]",turtlebot3_burger
0,10.977,[1.068],0.221,-0.0,-0.01,-1.574,-3.698,7.605,"[0.22, 0.0, -0.001]",turtlebot3_burger
0,11.382,[1.091],0.221,0.0,-0.002,-1.573,-3.699,7.517,"[0.22, 0.0, -0.005]",turtlebot3_burger
0,11.881,[1.143],0.221,0.0,-0.003,-1.573,-3.699,7.407,"[0.22, 0.0, -0.003]",turtlebot3_burger
0,12.282,[1.19],0.22,0.0,0.003,-1.573,-3.699,7.319,"[0.22, 0.0, -0.005]",turtlebot3_burger
0,12.682,[1.235],0.22,0.0,0.009,-1.573,-3.7,7.231,"[0.22, 0.0, -0.003]",turtlebot3_burger
0,13.182,[1.308],0.22,0.0,0.007,-1.572,-3.7,7.121,"[0.22, 0.0, -0.004]",turtlebot3_burger
0,13.582,[1.346],0.22,0.0,-0.093,-1.587,-3.7,7.033,"[0.22, 0.0, -0.072]",turtlebot3_burger
0,14.082,[1.414],0.22,0.0,0.015,-1.607,-3.703,6.923,"[0.22, 0.0, -0.0]",turtlebot3_burger
0,14.582,[1.396],0.221,0.0,-0.117,-1.631,-3.708,6.813,"[0.22, 0.0, -0.073]",turtlebot3_burger
0,15.082,[1.351],0.22,0.0,0.048,-1.642,-3.716,6.703,"[0.22, 0.0, 0.013]",turtlebot3_burger
0,15.582,[1.314],0.22,0.0,0.032,-1.635,-3.724,6.594,"[0.22, 0.0, 0.014]",turtlebot3_burger
