episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.986,[1.111],-0.0,-0.0,-0.003,-0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",youbot
0,1.427,[1.117],-0.476,0.009,-0.077,-0.037,-3.793,9.216,"[-0.729, 0.016, -0.113]",youbot
0,1.916,[1.112],-0.474,0.006,-0.04,-0.07,-4.021,9.233,"[-0.646, 0.006, -0.064]",youbot
0,2.339,[1.104],-0.474,0.008,-0.09,-0.099,-4.228,9.253,"[-0.673, 0.01, -0.072]",youbot
0,2.74,[1.091],-0.475,0.008,-0.05,-0.124,-4.417,9.278,"[-0.676, -0.006, 0.033]",youbot
0,3.232,[1.061],-0.477,-0.004,0.032,-0.114,-4.652,9.304,"[-0.762, -0.019, 0.105]",youbot
0,3.702,[1.03],-0.475,-0.012,0.067,-0.082,-4.869,9.32,"[-0.78, -0.021, 0.109]",youbot
0,4.11,[1.011],-0.467,-0.024,0.16,-0.047,-5.068,9.326,"[-0.8, 0.002, -0.014]",youbot
0,4.522,[1.001],-0.476,0.002,-0.014,-0.037,-5.249,9.332,"[-0.8, -0.015, 0.063]",youbot
0,5.004,[0.993],-0.474,-0.004,0.006,-0.032,-5.495,9.339,"[-0.8, 0.01, -0.052]",youbot
0,5.406,[0.987],-0.477,-0.001,-0.003,-0.036,-5.676,9.346,"[-0.8, 0.006, -0.033]",youbot
0,5.813,[0.981],-0.472,0.007,-0.04,-0.046,-5.866,9.355,"[-0.8, 0.011, -0.049]",youbot
0,6.232,[0.972],-0.471,0.006,-0.032,-0.06,-6.075,9.37,"[-0.8, 0.019, -0.084]",youbot
0,6.642,[0.962],-0.475,0.006,-0.017,-0.076,-6.255,9.385,"[-0.8, 0.023, -0.096]",youbot
0,7.141,[0.945],-0.474,-0.01,0.043,-0.092,-6.501,9.41,"[-0.8, -0.012, 0.049]",youbot
0,7.568,[0.923],0.003,0.013,0.058,-0.064,-6.575,9.421,"[-0.773, -0.152, 0.623]",youbot
0,8.077,[0.91],0.005,0.003,0.018,-0.034,-6.575,9.422,"[-0.753, -0.149, 0.629]",youbot
0,8.561,[0.905],0.004,-0.001,0.009,-0.027,-6.575,9.425,"[-0.77, -0.134, 0.552]",youbot
0,9.066,[0.901],0.012,0.0,0.002,-0.022,-6.575,9.427,"[-0.779, -0.128, 0.525]",youbot
0,9.594,[0.899],0.012,-0.007,-0.025,-0.021,-6.575,9.429,"[-0.8, -0.135, 0.511]",youbot
0,10.054,[0.9],0.012,-0.004,-0.014,-0.024,-6.575,9.429,"[-0.8, -0.138, 0.52]",youbot
0,10.509,[0.9],0.005,-0.004,-0.02,-0.025,-6.575,9.428,"[-0.8, -0.135, 0.51]",youbot
0,10.927,[0.9],0.005,-0.006,-0.018,-0.025,-6.575,9.428,"[-0.8, -0.138, 0.522]",youbot
0,11.406,[0.901],0.012,-0.003,-0.011,-0.027,-6.575,9.429,"[-0.777, -0.154, 0.593]",youbot
0,11.914,[0.901],0.011,-0.003,-0.015,-0.029,-6.575,9.429,"[-0.757, -0.151, 0.582]",youbot
0,12.378,[0.9],0.011,0.001,-0.001,-0.03,-6.575,9.43,"[-0.797, -0.124, 0.457]",youbot
0,12.787,[0.901],0.005,-0.0,-0.022,-0.033,-6.575,9.431,"[-0.775, -0.168, 0.65]",youbot
0,13.194,[0.9],0.006,-0.002,0.002,-0.034,-6.575,9.432,"[-0.792, -0.151, 0.569]",youbot
