episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.209,[1.289],-0.0,0.0,0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.617,[1.294],0.183,-0.0,0.063,0.002,-10.597,-10.89,"[0.22, 0.0, 0.383]",turtlebot3_burger
0,2.069,[1.285],0.128,-0.0,0.661,0.182,-10.518,-10.886,"[0.22, 0.0, 0.902]",turtlebot3_burger
0,2.517,[1.3],0.2,-0.0,0.606,0.384,-10.448,-10.867,"[0.22, 0.0, 0.631]",turtlebot3_burger
0,2.968,[1.342],0.209,-0.0,0.383,0.618,-10.363,-10.819,"[0.22, 0.0, 0.358]",turtlebot3_burger
0,3.42,[1.404],0.204,-0.0,0.272,0.776,-10.289,-10.757,"[0.22, 0.0, 0.212]",turtlebot3_burger
0,3.868,[1.468],0.208,0.0,0.095,0.855,-10.226,-10.689,"[0.22, 0.0, 0.169]",turtlebot3_burger
0,4.318,[1.536],0.215,0.0,0.05,0.909,-10.163,-10.612,"[0.207, 0.0, -0.043]",turtlebot3_burger
0,4.719,[1.617],0.206,0.0,-0.025,0.921,-10.114,-10.549,"[0.192, 0.0, -0.043]",turtlebot3_burger
0,5.12,[1.678],0.222,-0.0,0.003,0.897,-10.066,-10.487,"[0.207, 0.0, 0.011]",turtlebot3_burger
0,5.568,[1.768],0.207,0.0,0.039,0.902,-10.004,-10.41,"[0.22, 0.0, 0.047]",turtlebot3_burger
0,6.017,[1.818],0.219,-0.0,0.127,0.931,-9.949,-10.337,"[0.207, 0.0, 0.02]",turtlebot3_burger
0,6.42,[1.901],0.22,-0.0,0.063,0.948,-9.893,-10.262,"[0.22, 0.0, 0.0]",turtlebot3_burger
0,6.82,[1.959],0.219,0.0,0.089,0.965,-9.843,-10.191,"[0.22, 0.0, -0.051]",turtlebot3_burger
0,7.269,[2.049],0.206,0.0,0.068,0.975,-9.79,-10.114,"[0.22, 0.0, -0.137]",turtlebot3_burger
0,7.718,[2.124],0.217,0.0,-0.176,0.91,-9.732,-10.033,"[0.22, 0.0, -0.031]",turtlebot3_burger
0,8.119,[2.192],0.22,0.0,-0.009,0.884,-9.678,-9.965,"[0.207, 0.0, -0.013]",turtlebot3_burger
0,8.567,[2.272],0.205,-0.0,0.163,0.882,-9.614,-9.888,"[0.22, 0.0, 0.023]",turtlebot3_burger
0,8.968,[2.335],0.203,0.0,0.192,0.894,-9.562,-9.824,"[0.22, 0.0, -0.012]",turtlebot3_burger
0,9.368,[2.402],0.22,-0.0,0.063,0.903,-9.508,-9.757,"[0.22, 0.0, 0.057]",turtlebot3_burger
0,9.771,[2.467],0.193,-0.0,0.022,0.924,-9.46,-9.694,"[0.22, 0.0, 0.047]",turtlebot3_burger
0,10.22,[2.55],0.206,0.0,0.054,0.943,-9.4,-9.614,"[0.22, 0.0, 0.014]",turtlebot3_burger
0,10.67,[2.63],0.22,0.0,-0.015,0.936,-9.346,-9.538,"[0.22, 0.0, -0.034]",turtlebot3_burger
0,11.12,[2.712],0.206,0.0,-0.006,0.92,-9.287,-9.46,"[0.192, 0.0, 0.0]",turtlebot3_burger
0,11.565,[2.771],0.19,0.0,-0.04,0.914,-9.233,-9.39,"[0.22, 0.0, -0.015]",turtlebot3_burger
0,11.968,[2.839],0.201,0.0,0.032,0.891,-9.182,-9.325,"[0.22, 0.0, -0.026]",turtlebot3_burger
0,12.369,[2.896],0.213,-0.0,-0.009,0.884,-9.13,-9.261,"[0.22, 0.0, 0.098]",turtlebot3_burger
0,12.769,[2.966],0.22,-0.0,0.041,0.905,-9.076,-9.193,"[0.22, 0.0, 0.098]",turtlebot3_burger
0,13.169,[3.035],0.206,-0.0,0.07,0.925,-9.02,-9.12,"[0.207, 0.0, 0.0]",turtlebot3_burger
0,13.617,[3.117],0.208,0.0,-0.078,0.941,-8.966,-9.047,"[0.22, 0.0, 0.0]",turtlebot3_burger
0,14.02,[3.17],0.207,0.0,-0.189,0.918,-8.917,-8.981,"[0.22, 0.0, -0.033]",turtlebot3_burger
0,14.467,[3.255],0.215,0.0,-0.053,0.923,-8.857,-8.903,"[0.22, 0.0, -0.094]",turtlebot3_burger
0,14.867,[3.32],0.21,0.0,0.023,0.903,-8.805,-8.836,"[0.206, 0.0, -0.082]",turtlebot3_burger
0,15.32,[3.404],0.219,-0.0,-0.033,0.884,-8.747,-8.764,"[0.22, 0.0, 0.075]",turtlebot3_burger
0,15.72,[3.462],0.22,-0.0,0.062,0.893,-8.692,-8.696,"[0.22, 0.0, 0.071]",turtlebot3_burger
0,16.167,[inf],0.207,-0.0,0.049,0.902,-8.629,-8.617,"[0.207, 0.0, -0.004]",turtlebot3_burger
0,16.569,[inf],0.22,0.0,-0.017,0.896,-8.582,-8.557,"[0.207, 0.0, -0.009]",turtlebot3_burger
0,17.019,[inf],0.22,0.0,-0.002,0.904,-8.52,-8.48,"[0.22, 0.0, -0.033]",turtlebot3_burger
0,17.419,[inf],0.218,0.0,-0.063,0.908,-8.471,-8.417,"[0.207, 0.0, -0.035]",turtlebot3_burger
0,17.866,[inf],0.206,0.0,-0.042,0.893,-8.411,-8.341,"[0.192, 0.0, -0.033]",turtlebot3_burger
0,18.267,[3.5],0.207,0.0,-0.034,0.874,-8.359,-8.278,"[0.22, 0.0, -0.01]",turtlebot3_burger
0,18.72,[3.324],0.206,0.0,0.011,0.879,-8.296,-8.201,"[0.206, 0.0, 0.084]",turtlebot3_burger
0,19.12,[3.288],0.22,-0.0,0.036,0.905,-8.244,-8.137,"[0.22, 0.0, -0.005]",turtlebot3_burger
0,19.568,[3.232],0.221,0.0,-0.062,0.897,-8.181,-8.058,"[0.207, 0.0, -0.031]",turtlebot3_burger
0,19.969,[3.216],0.193,0.0,0.04,0.898,-8.132,-7.996,"[0.22, 0.0, 0.016]",turtlebot3_burger
0,20.42,[2.981],0.22,-0.0,-0.009,0.9,-8.075,-7.925,"[0.207, 0.0, -0.017]",turtlebot3_burger
0,20.865,[2.646],0.204,-0.0,0.066,0.897,-8.016,-7.85,"[0.192, 0.0, -0.024]",turtlebot3_burger
0,21.269,[2.531],0.21,0.0,-0.095,0.882,-7.963,-7.786,"[0.22, 0.0, -0.005]",turtlebot3_burger
0,21.719,[2.459],0.209,0.0,0.048,0.902,-7.9,-7.708,"[0.22, 0.0, 0.042]",turtlebot3_burger
0,22.168,[2.417],0.218,0.0,-0.002,0.918,-7.838,-7.628,"[0.22, 0.0, -0.001]",turtlebot3_burger
0,22.568,[2.372],0.209,-0.0,0.036,0.915,-7.785,-7.559,"[0.207, 0.0, -0.019]",turtlebot3_burger
0,23.018,[2.241],0.193,-0.0,-0.016,0.91,-7.731,-7.489,"[0.22, 0.0, -0.012]",turtlebot3_burger
0,23.465,[1.936],0.22,-0.0,0.071,0.906,-7.67,-7.411,"[0.22, 0.0, 0.103]",turtlebot3_burger
0,23.868,[1.792],0.22,0.0,0.027,0.937,-7.622,-7.349,"[0.22, 0.0, 0.068]",turtlebot3_burger
0,24.27,[1.78],0.207,-0.0,0.136,0.949,-7.568,-7.273,"[0.22, 0.0, -0.072]",turtlebot3_burger
0,24.718,[1.746],0.219,0.0,0.002,0.951,-7.514,-7.198,"[0.22, 0.0, -0.006]",turtlebot3_burger
0,25.12,[1.753],0.209,0.0,-0.148,0.927,-7.468,-7.134,"[0.206, 0.0, 0.01]",turtlebot3_burger
0,25.568,[1.509],0.208,0.0,-0.028,0.9,-7.402,-7.05,"[0.193, 0.0, -0.015]",turtlebot3_burger
0,26.017,[1.276],0.193,0.0,-0.025,0.89,-7.347,-6.981,"[0.22, 0.0, -0.017]",turtlebot3_burger
0,26.418,[1.272],0.221,0.0,-0.001,0.88,-7.294,-6.917,"[0.22, 0.0, 0.089]",turtlebot3_burger
0,26.819,[1.255],0.219,0.0,0.069,0.899,-7.243,-6.854,"[0.22, 0.0, 0.076]",turtlebot3_burger
0,27.22,[1.281],0.219,-0.0,0.078,0.907,-7.185,-6.78,"[0.207, 0.0, 0.054]",turtlebot3_burger
0,27.669,[1.3],0.19,0.0,-0.047,0.902,-7.124,-6.702,"[0.207, 0.0, -0.003]",turtlebot3_burger
0,28.118,[1.347],0.219,0.0,0.02,0.896,-7.066,-6.629,"[0.22, 0.0, -0.021]",turtlebot3_burger
0,28.519,[1.373],0.218,-0.0,0.01,0.881,-7.012,-6.562,"[0.207, 0.0, -0.015]",turtlebot3_burger
0,28.967,[1.42],0.206,-0.0,-0.05,0.879,-6.955,-6.493,"[0.22, 0.0, 0.073]",turtlebot3_burger
0,29.369,[1.44],0.22,-0.0,0.07,0.883,-6.901,-6.428,"[0.207, 0.0, 0.062]",turtlebot3_burger
0,29.818,[1.507],0.207,0.0,-0.019,0.902,-6.842,-6.355,"[0.22, 0.0, 0.088]",turtlebot3_burger
