episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.051,[1.288],-0.0,0.0,0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.456,[1.294],-0.108,0.0,0.126,0.015,-10.652,-10.89,"[-0.028, 0.0, 0.272]",turtlebot3_burger
0,1.956,[1.295],0.164,0.0,0.304,0.179,-10.643,-10.887,"[0.173, 0.0, 0.3]",turtlebot3_burger
0,2.456,[1.302],0.188,0.0,0.306,0.331,-10.558,-10.865,"[0.204, 0.0, 0.3]",turtlebot3_burger
0,2.957,[1.341],0.215,-0.0,0.33,0.482,-10.464,-10.825,"[0.22, 0.0, 0.3]",turtlebot3_burger
0,3.456,[1.391],0.216,-0.0,0.246,0.612,-10.371,-10.768,"[0.22, 0.0, 0.218]",turtlebot3_burger
0,3.954,[1.459],0.217,0.0,0.201,0.719,-10.286,-10.701,"[0.22, 0.0, 0.208]",turtlebot3_burger
0,4.454,[1.544],0.218,-0.0,0.195,0.814,-10.213,-10.63,"[0.22, 0.0, 0.201]",turtlebot3_burger
0,4.855,[1.599],0.218,-0.0,0.12,0.891,-10.155,-10.564,"[0.22, 0.0, 0.098]",turtlebot3_burger
0,5.354,[1.689],0.22,0.0,-0.052,0.907,-10.088,-10.478,"[0.22, 0.0, 0.003]",turtlebot3_burger
0,5.755,[1.767],0.219,-0.0,-0.042,0.905,-10.029,-10.403,"[0.22, 0.0, -0.006]",turtlebot3_burger
0,6.254,[1.848],0.221,0.0,-0.093,0.898,-9.961,-10.316,"[0.22, 0.0, -0.068]",turtlebot3_burger
0,6.654,[1.913],0.22,0.0,-0.004,0.883,-9.906,-10.248,"[0.22, 0.0, 0.002]",turtlebot3_burger
0,7.054,[1.983],0.22,0.0,-0.001,0.885,-9.85,-10.18,"[0.22, 0.0, -0.009]",turtlebot3_burger
0,7.557,[2.06],0.22,-0.0,0.071,0.918,-9.781,-10.095,"[0.22, 0.0, -0.004]",turtlebot3_burger
0,8.054,[2.139],0.22,0.0,-0.004,0.915,-9.715,-10.007,"[0.22, 0.0, -0.012]",turtlebot3_burger
0,8.456,[2.221],0.22,0.0,-0.016,0.902,-9.66,-9.938,"[0.22, 0.0, -0.008]",turtlebot3_burger
0,8.954,[2.309],0.22,0.0,-0.008,0.901,-9.592,-9.852,"[0.22, 0.0, -0.015]",turtlebot3_burger
0,9.355,[2.381],0.22,0.0,-0.05,0.89,-9.537,-9.783,"[0.22, 0.0, -0.035]",turtlebot3_burger
0,9.855,[2.47],0.22,0.0,0.004,0.886,-9.468,-9.698,"[0.22, 0.0, -0.01]",turtlebot3_burger
0,10.355,[2.545],0.219,-0.0,0.121,0.904,-9.399,-9.613,"[0.22, 0.0, 0.076]",turtlebot3_burger
0,10.755,[2.616],0.22,0.0,-0.015,0.916,-9.345,-9.544,"[0.22, 0.0, -0.023]",turtlebot3_burger
0,11.254,[2.694],0.219,-0.0,0.136,0.92,-9.278,-9.457,"[0.22, 0.0, 0.113]",turtlebot3_burger
