episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.457,[1.198],0.0,0.0,-0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",jackal
0,0.858,[1.197],0.0,0.0,-0.0,-0.0,-8.52,-9.19,"[2.0, 0.0, 0.356]",jackal
0,1.258,[1.2],1.487,-0.0,-0.004,-0.001,-8.212,-9.19,"[1.635, 0.0, 0.17]",jackal
0,1.762,[1.213],1.515,-0.005,0.053,0.012,-7.413,-9.185,"[1.67, 0.0, 0.048]",jackal
0,2.263,[0.759],1.47,0.001,-0.01,0.012,-6.647,-9.174,"[1.195, 0.0, 0.13]",jackal
0,2.76,[0.478],0.079,-0.122,0.936,0.172,-6.235,-9.186,"[-1.001, 0.0, 0.27]",jackal
0,3.16,[0.639],-0.388,0.0,-0.0,0.372,-6.361,-9.259,"[-0.183, 0.0, 0.244]",jackal
0,3.567,[0.793],-0.073,0.0,0.0,0.377,-6.441,-9.291,"[0.109, 0.0, 0.018]",jackal
0,4.06,[0.828],0.379,0.0,-0.022,0.359,-6.379,-9.265,"[0.429, 0.0, -0.096]",jackal
0,4.46,[0.814],0.285,0.002,-0.021,0.333,-6.234,-9.21,"[0.339, 0.0, 0.025]",jackal
0,4.86,[0.851],0.238,0.13,-1.243,0.254,-6.13,-9.165,"[0.447, 0.0, 0.137]",jackal
0,5.36,[0.639],0.261,-0.051,0.385,0.185,-5.893,-9.119,"[-0.181, 0.0, 0.36]",jackal
0,5.86,[0.655],-0.026,-0.033,0.568,0.284,-5.898,-9.127,"[-0.138, 0.0, 0.376]",jackal
0,6.358,[0.878],-0.425,-0.0,-0.001,0.284,-6.096,-9.205,"[0.644, 0.0, 0.294]",jackal
0,6.766,[0.842],0.708,-0.028,0.262,0.303,-6.038,-9.189,"[0.667, 0.0, 0.335]",jackal
0,7.259,[0.801],-0.143,0.035,-0.452,0.327,-5.926,-9.157,"[-0.265, 0.0, -1.117]",jackal
0,7.66,[0.867],0.59,-0.0,0.006,0.208,-5.885,-9.139,"[0.657, 0.0, 0.41]",jackal
0,8.069,[0.825],0.468,-0.073,0.578,0.27,-5.668,-9.094,"[0.421, 0.0, 0.416]",jackal
0,8.563,[0.892],0.157,0.029,-0.729,0.236,-5.609,-9.078,"[0.49, 0.0, 0.669]",jackal
0,8.987,[0.741],0.222,-0.116,0.886,0.436,-5.433,-9.055,"[-0.241, 0.0, -0.562]",jackal
0,9.477,[0.853],-0.229,0.056,-0.444,0.273,-5.51,-9.075,"[0.2, 0.0, 0.776]",jackal
0,9.959,[0.886],0.089,-0.058,0.446,0.33,-5.485,-9.073,"[-0.104, 0.0, -0.36]",jackal
0,10.36,[0.99],0.484,0.052,-0.39,0.307,-5.429,-9.052,"[0.441, 0.0, 0.908]",jackal
0,10.768,[1.02],1.049,-0.0,-0.001,0.457,-5.182,-8.963,"[1.274, 0.0, -0.107]",jackal
0,11.26,[0.638],0.561,0.0,-0.0,0.442,-4.632,-8.696,"[-0.347, 0.0, -0.054]",jackal
0,11.666,[0.682],-0.487,0.002,-0.036,0.427,-4.668,-8.71,"[-0.459, 0.0, -0.066]",jackal
