episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.5,[1.201],-0.0,-0.0,-0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",youbot
0,0.901,[1.201],-0.0,-0.0,-0.003,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",youbot
0,1.302,[1.2],0.25,-0.245,0.426,0.021,-8.507,-9.202,"[0.8, -0.8, 0.824]",youbot
0,1.81,[1.124],0.296,-0.312,0.214,0.155,-8.347,-9.338,"[0.8, -0.8, 1.2]",youbot
0,2.303,[1.052],0.306,-0.304,0.173,0.256,-8.168,-9.46,"[0.8, -0.735, 1.2]",youbot
0,2.81,[1.01],0.308,-0.301,0.204,0.359,-7.976,-9.559,"[0.8, -0.74, 1.2]",youbot
0,3.303,[1.042],0.354,-0.275,0.382,0.508,-7.766,-9.621,"[0.8, -0.657, 1.2]",youbot
0,3.802,[1.239],0.335,-0.304,0.447,0.711,-7.552,-9.64,"[0.8, -0.75, 1.2]",youbot
0,4.305,[1.62],0.312,-0.323,0.275,0.914,-7.318,-9.628,"[0.8, -0.744, 1.2]",youbot
0,4.802,[1.777],0.306,-0.331,0.203,1.027,-7.098,-9.591,"[0.8, -0.774, 1.2]",youbot
0,5.202,[1.625],0.306,-0.326,0.279,1.127,-6.916,-9.543,"[0.8, -0.701, 1.2]",youbot
0,5.602,[1.471],0.421,-0.183,0.2,1.231,-6.766,-9.469,"[0.8, 0.629, -1.2]",youbot
0,6.003,[1.376],0.403,0.248,-0.191,1.232,-6.733,-9.308,"[0.8, 0.427, -0.5]",youbot
0,6.515,[1.304],0.432,0.173,-0.5,1.056,-6.736,-9.059,"[0.8, 0.162, -0.562]",youbot
0,7.003,[1.135],0.417,0.09,-0.417,0.85,-6.664,-8.874,"[0.8, 0.236, -1.2]",youbot
0,7.403,[1.031],0.414,0.037,-0.453,0.648,-6.557,-8.722,"[0.8, 0.079, -1.2]",youbot
0,7.903,[0.957],0.411,0.091,-0.424,0.415,-6.396,-8.589,"[0.487, 0.252, -1.2]",youbot
0,8.402,[0.922],-0.172,0.217,-0.783,0.076,-6.34,-8.467,"[0.8, -0.8, -1.2]",youbot
0,8.803,[1.075],0.174,-0.254,-0.732,-0.306,-6.38,-8.483,"[0.8, -0.8, -0.83]",youbot
0,9.302,[1.38],0.333,-0.337,-0.051,-0.4,-6.285,-8.696,"[0.8, -0.8, 0.33]",youbot
0,9.71,[1.425],0.335,-0.318,0.144,-0.368,-6.21,-8.866,"[0.8, -0.647, 0.885]",youbot
0,10.21,[1.319],0.361,-0.212,0.393,-0.192,-6.073,-9.044,"[0.8, -0.476, 1.2]",youbot
0,10.702,[1.229],0.319,-0.324,0.124,-0.039,-5.918,-9.192,"[0.8, -0.791, 0.409]",youbot
0,11.11,[1.116],0.369,-0.224,0.314,0.021,-5.791,-9.309,"[0.8, -0.47, 1.2]",youbot
0,11.603,[1.121],0.416,-0.161,0.515,0.249,-5.584,-9.383,"[0.8, -0.35, 1.2]",youbot
0,12.102,[1.314],0.402,-0.094,0.551,0.505,-5.378,-9.374,"[0.8, -0.236, 1.2]",youbot
0,12.502,[1.326],0.375,-0.244,0.542,0.741,-5.196,-9.338,"[0.8, -0.51, 1.2]",youbot
0,12.912,[1.417],0.333,-0.296,0.398,0.925,-5.031,-9.308,"[0.8, -0.663, 1.2]",youbot
0,13.401,[1.436],0.315,-0.309,0.314,1.09,-4.817,-9.253,"[0.8, -0.742, 1.2]",youbot
0,13.803,[1.305],0.303,-0.321,0.301,1.208,-4.651,-9.193,"[0.8, -0.8, 1.2]",youbot
0,14.302,[1.257],0.3,-0.316,0.339,1.374,-4.448,-9.092,"[0.8, -0.756, 1.2]",youbot
0,14.702,[1.212],0.307,-0.3,0.31,1.492,-4.322,-9.001,"[0.8, 0.595, -1.2]",youbot
0,15.103,[1.066],0.453,0.111,0.036,1.595,-4.264,-8.833,"[0.8, 0.426, -1.2]",youbot
0,15.503,[0.888],0.43,0.062,-0.529,1.484,-4.322,-8.651,"[0.8, 0.068, -1.2]",youbot
0,15.907,[0.741],0.405,0.182,-0.487,1.28,-4.323,-8.489,"[0.8, 0.48, -1.2]",youbot
0,16.402,[0.56],0.263,0.338,-0.21,1.083,-4.372,-8.273,"[-0.8, -0.8, -1.2]",youbot
0,16.901,[0.585],-0.245,-0.217,-0.903,0.633,-4.415,-8.25,"[-0.8, -0.8, -1.2]",youbot
0,17.402,[0.855],0.163,-0.425,-0.226,0.374,-4.401,-8.45,"[0.8, -0.8, 1.136]",youbot
0,17.902,[1.352],0.315,-0.192,-0.305,0.281,-4.278,-8.473,"[0.8, -0.8, 1.2]",youbot
0,18.303,[1.682],0.314,-0.294,0.241,0.331,-4.122,-8.554,"[0.8, -0.674, 1.2]",youbot
0,18.802,[1.426],0.352,-0.227,0.438,0.467,-3.916,-8.624,"[0.8, -0.693, 1.2]",youbot
0,19.206,[1.27],0.347,-0.279,0.475,0.653,-3.729,-8.641,"[0.8, -0.536, 1.2]",youbot
0,19.606,[1.102],0.341,-0.29,0.486,0.845,-3.554,-8.63,"[0.8, -0.648, 1.2]",youbot
0,20.102,[0.396],0.324,-0.292,0.403,1.049,-3.34,-8.58,"[-0.8, -0.246, -0.21]",youbot
0,20.603,[0.836],0.35,-0.262,0.428,1.266,-3.166,-8.491,"[0.8, -0.724, 1.2]",youbot
0,21.103,[1.57],0.286,-0.316,0.32,1.446,-2.981,-8.365,"[0.8, -0.8, 1.2]",youbot
0,21.507,[1.621],0.422,-0.189,0.243,1.545,-2.864,-8.24,"[0.8, 0.8, -1.2]",youbot
0,22.006,[1.548],0.326,0.328,-0.137,1.548,-2.914,-8.031,"[0.8, 0.767, -1.2]",youbot
0,22.502,[1.418],0.31,0.285,-0.23,1.43,-3.058,-7.867,"[0.8, 0.672, -1.2]",youbot
0,22.902,[1.327],0.358,0.246,-0.336,1.329,-3.138,-7.726,"[0.8, 0.525, -1.2]",youbot
0,23.406,[1.136],0.405,0.15,-0.568,1.088,-3.164,-7.503,"[0.8, 0.245, -1.2]",youbot
0,23.902,[0.986],0.412,0.008,-0.43,0.828,-3.086,-7.314,"[0.8, -0.02, -1.2]",youbot
0,24.31,[0.907],0.417,0.141,-0.475,0.632,-2.97,-7.184,"[0.601, 0.207, -1.2]",youbot
0,24.802,[0.862],-0.191,-0.022,-1.032,0.27,-2.923,-7.072,"[-0.8, -0.8, -1.2]",youbot
0,25.203,[1.047],0.098,-0.319,-0.616,-0.082,-2.979,-7.17,"[0.8, -0.8, -1.2]",youbot
0,25.713,[1.308],0.341,-0.336,-0.056,-0.205,-2.857,-7.356,"[0.8, -0.8, 1.2]",youbot
0,26.203,[1.505],0.297,-0.332,0.292,-0.263,-2.822,-7.495,"[0.8, -0.8, 1.2]",youbot
0,26.704,[1.597],0.283,-0.311,0.301,-0.104,-2.709,-7.678,"[0.8, -0.8, 1.2]",youbot
0,27.2,[1.7],0.285,-0.314,0.28,0.047,-2.565,-7.843,"[0.8, -0.8, 1.2]",youbot
0,27.607,[1.786],0.286,-0.321,0.256,0.152,-2.438,-7.957,"[0.8, -0.8, 1.2]",youbot
0,28.102,[1.395],0.31,-0.322,0.143,0.232,-2.263,-8.081,"[0.8, -0.8, 1.195]",youbot
0,28.503,[1.364],0.372,-0.279,0.227,0.316,-2.106,-8.162,"[0.8, -0.8, -1.2]",youbot
0,29.006,[1.312],0.33,-0.19,-0.73,0.158,-1.922,-8.223,"[0.8, -0.8, -0.002]",youbot
0,29.502,[0.759],0.339,-0.336,-0.075,0.096,-1.739,-8.363,"[0.8, -0.8, 0.051]",youbot
0,29.902,[0.792],0.223,-0.29,-0.107,-0.005,-1.628,-8.47,"[0.8, -0.757, 1.2]",youbot
0,30.402,[0.87],0.325,-0.33,0.073,0.094,-1.471,-8.627,"[0.8, -0.8, -0.291]",youbot
0,30.902,[0.526],0.319,-0.337,0.095,0.132,-1.298,-8.769,"[-0.423, -0.8, -1.2]",youbot
0,31.402,[1.151],0.221,-0.26,-0.15,-0.0,-1.211,-8.91,"[0.8, -0.659, 0.103]",youbot
0,31.808,[2.162],0.368,-0.264,-0.209,-0.201,-1.114,-9.004,"[0.8, -0.794, 1.2]",youbot
0,32.3,[1.965],0.285,-0.178,-0.547,-0.331,-0.983,-9.166,"[0.8, -0.606, -0.358]",youbot
0,32.702,[1.796],0.411,-0.251,-0.285,-0.43,-0.897,-9.294,"[0.8, -0.518, -0.892]",youbot
0,33.103,[1.603],0.311,-0.277,-0.493,-0.582,-0.8,-9.459,"[0.344, -0.457, -1.105]",youbot
0,33.506,[1.409],-0.19,-0.298,-0.729,-0.833,-0.838,-9.58,"[-0.516, -0.415, -0.296]",youbot
0,34.0,[1.418],-0.464,-0.224,-0.359,-1.032,-1.041,-9.5,"[-0.8, -0.437, -1.189]",youbot
0,34.402,[1.459],-0.369,-0.46,-0.648,-1.121,-1.161,-9.397,"[-0.8, -0.456, -1.2]",youbot
0,34.902,[0.05],-0.253,-0.271,-0.122,-1.126,-1.312,-9.255,"[-0.8, -0.8, -1.2]",youbot
0,35.401,[0.245],-0.384,-0.234,-0.33,-1.264,-1.497,-9.13,"[-0.8, -0.489, -1.075]",youbot
0,35.802,[0.497],-0.365,-0.297,-0.308,-1.385,-1.632,-9.016,"[-0.8, -0.8, -1.2]",youbot
0,36.307,[0.806],-0.36,-0.325,-0.29,-1.546,-1.81,-8.847,"[-0.8, -0.8, -1.2]",youbot
0,36.804,[1.135],-0.386,-0.26,-0.291,-1.692,-1.939,-8.667,"[-0.8, -0.403, -0.836]",youbot
0,37.303,[0.747],-0.414,-0.132,-0.456,-1.894,-1.991,-8.453,"[-0.8, -0.295, -0.591]",youbot
0,37.802,[0.421],-0.406,-0.21,-0.458,-2.078,-1.974,-8.236,"[-0.8, -0.8, -1.2]",youbot
0,38.204,[0.344],-0.324,-0.322,-0.324,-2.217,-2.001,-8.033,"[-0.8, -0.8, -1.2]",youbot
0,38.706,[0.463],-0.331,-0.295,-0.477,-2.416,-2.003,-7.814,"[-0.8, -0.8, -1.2]",youbot
0,39.202,[0.377],-0.352,-0.3,-0.167,-2.55,-1.956,-7.587,"[-0.8, -0.551, -1.004]",youbot
0,39.702,[0.361],-0.357,-0.3,-0.227,-2.662,-1.878,-7.368,"[-0.8, -0.8, -1.2]",youbot
0,40.107,[0.56],-0.367,-0.298,-0.277,-2.763,-1.796,-7.198,"[-0.8, -0.8, -1.2]",youbot
0,40.511,[0.778],-0.362,-0.303,-0.321,-2.879,-1.696,-7.037,"[-0.8, -0.8, -1.2]",youbot
0,41.001,[0.81],-0.35,-0.277,-0.292,-3.041,-1.548,-6.854,"[-0.8, -0.428, -0.935]",youbot
0,41.404,[0.673],-0.362,-0.309,-0.195,3.136,-1.401,-6.761,"[-0.8, -0.8, -1.2]",youbot
0,41.902,[0.495],-0.376,-0.342,-0.153,3.046,-1.19,-6.593,"[-0.8, -0.8, -1.2]",youbot
0,42.309,[0.363],-0.371,-0.338,-0.144,2.986,-1.025,-6.478,"[-0.8, -0.8, -1.2]",youbot
0,42.803,[0.315],-0.363,-0.338,-0.16,2.913,-0.831,-6.359,"[-0.8, -0.8, -1.2]",youbot
0,43.302,[0.465],-0.353,-0.334,-0.183,2.82,-0.596,-6.237,"[-0.8, -0.8, -1.2]",youbot
0,43.703,[0.644],-0.346,-0.336,-0.195,2.747,-0.427,-6.165,"[-0.8, -0.8, -1.2]",youbot
0,44.201,[0.879],-0.337,-0.331,-0.229,2.638,-0.192,-6.087,"[-0.8, -0.8, -1.2]",youbot
