episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.4,[1.11],0.0,-0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,0.801,[1.109],0.0,-0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,1.202,[1.112],0.208,0.025,-0.593,-0.031,-3.694,9.211,"[0.422, 0.0, -0.903]",jackal
0,1.603,[1.145],0.641,0.048,-0.671,-0.218,-3.523,9.198,"[0.506, 0.0, -0.859]",jackal
0,2.007,[0.985],-0.014,0.001,-0.019,-0.236,-3.355,9.153,"[-0.343, 0.0, -0.948]",jackal
0,2.505,[1.094],-0.026,0.04,-0.778,-0.7,-3.438,9.248,"[0.939, 0.0, -1.325]",jackal
0,2.907,[0.995],0.538,0.156,-1.196,-0.958,-3.317,9.132,"[0.922, 0.0, -1.553]",jackal
0,3.4,[0.825],1.422,0.053,-0.54,-1.343,-3.101,8.71,"[1.701, 0.0, -1.579]",jackal
0,3.804,[0.869],1.899,0.304,-1.312,-2.028,-3.052,8.044,"[2.0, 0.0, -0.488]",jackal
0,4.302,[1.359],1.977,-0.171,1.134,-1.943,-3.544,7.191,"[1.96, 0.0, 0.707]",jackal
0,4.705,[1.244],1.999,-0.082,0.62,-1.576,-3.726,6.425,"[2.0, 0.0, 0.454]",jackal
0,5.202,[0.762],2.007,0.028,-0.219,-1.518,-3.661,5.469,"[2.0, 0.0, -0.262]",jackal
0,5.603,[0.894],2.002,-0.082,0.622,-1.542,-3.657,4.668,"[2.0, 0.0, -0.536]",jackal
0,6.003,[1.1],1.913,-0.053,0.402,-1.669,-3.655,3.872,"[2.0, 0.0, 0.638]",jackal
0,6.403,[1.169],1.946,0.084,-0.644,-1.481,-3.651,3.089,"[2.0, 0.0, -0.495]",jackal
0,6.902,[1.236],1.968,-0.159,1.206,-1.636,-3.685,2.097,"[2.0, 0.0, 1.02]",jackal
