episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.019,[1.109],0.0,-0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,1.525,[1.122],-0.047,0.115,-1.398,-0.436,-3.748,9.248,"[0.0, 0.0, 0.0]",jackal
0,2.026,[1.202],1.216,0.0,-0.002,-0.55,-3.578,9.156,"[1.942, 0.0, -1.507]",jackal
0,2.448,[0.76],1.188,0.034,-0.255,-0.76,-3.085,8.828,"[0.0, 0.0, 0.0]",jackal
0,7.819,[0.367],0.0,0.0,-0.0,-0.77,-2.643,8.401,"[0.0, 0.0, 0.0]",jackal
0,12.92,[0.365],0.0,0.0,-0.0,-0.77,-2.641,8.4,"[0.0, 0.0, 0.0]",jackal
0,18.119,[0.365],0.0,0.0,-0.0,-0.77,-2.64,8.398,"[0.0, 0.0, 0.0]",jackal
0,23.219,[0.368],0.0,0.0,-0.0,-0.77,-2.639,8.397,"[0.0, 0.0, 0.0]",jackal
0,28.419,[0.367],0.0,0.0,-0.0,-0.77,-2.638,8.396,"[0.0, 0.0, 0.0]",jackal
1,180.527,[0.363],0.0,-0.0,-0.0,-0.77,-2.619,8.378,"[0.0, 0.0, 0.0]",jackal
1,181.171,[1.111],0.0,0.0,-0.0,-0.006,-3.708,9.21,"[-0.296, 0.0, -1.521]",jackal
1,181.602,[1.11],-0.211,0.053,-0.481,-0.045,-3.727,9.215,"[0.0, 0.0, 0.0]",jackal
1,182.17,[1.101],-0.161,0.084,-1.466,-0.345,-3.814,9.259,"[0.0, 0.0, 0.0]",jackal
1,182.895,[1.073],0.835,-0.001,0.008,-0.474,-3.442,9.076,"[1.941, 0.0, -1.511]",jackal
1,183.312,[0.822],0.149,0.0,-0.006,-0.505,-3.183,8.943,"[-0.209, 0.0, -1.52]",jackal
1,183.811,[0.776],-0.206,0.249,-1.976,-0.763,-3.117,8.944,"[0.035, 0.0, -1.521]",jackal
1,184.332,[0.795],0.0,-0.0,0.0,-1.24,-3.09,9.007,"[-0.017, 0.0, -1.527]",jackal
1,184.77,[0.786],0.0,-0.0,0.0,-1.27,-3.077,8.965,"[0.0, 0.0, 0.0]",jackal
1,185.271,[0.768],0.576,-0.018,0.134,-1.353,-3.049,8.849,"[0.0, 0.0, 0.0]",jackal
1,185.72,[0.728],0.324,-0.003,0.024,-1.239,-3.023,8.687,"[0.273, 0.0, -1.518]",jackal
1,186.126,[0.71],0.471,0.05,-0.43,-1.43,-2.973,8.534,"[0.0, 0.0, 0.0]",jackal
1,186.596,[0.733],-0.0,0.0,-0.001,-1.651,-2.937,8.406,"[0.0, 0.0, 0.0]",jackal
1,187.05,[0.733],0.649,0.004,-0.229,-1.66,-2.944,8.329,"[0.978, 0.0, -1.471]",jackal
1,187.726,[0.789],0.78,0.011,-0.339,-1.953,-2.971,8.073,"[0.978, 0.0, 0.653]",jackal
1,188.152,[0.904],0.914,-0.065,0.499,-1.833,-3.107,7.754,"[0.981, 0.0, -0.045]",jackal
1,188.632,[1.019],0.978,-0.012,0.092,-1.693,-3.215,7.28,"[1.956, 0.0, 0.027]",jackal
1,189.036,[0.906],1.955,-0.015,0.121,-1.682,-3.289,6.668,"[0.978, 0.0, 0.067]",jackal
1,189.536,[0.886],0.987,0.003,-0.028,-1.68,-3.358,6.014,"[0.978, 0.0, -0.117]",jackal
1,189.948,[0.93],0.979,-0.011,0.082,-1.685,-3.409,5.587,"[0.978, 0.0, 0.067]",jackal
1,190.349,[0.968],0.982,-0.009,0.069,-1.665,-3.452,5.198,"[0.978, 0.0, 0.037]",jackal
1,190.819,[1.002],0.967,0.0,0.006,-1.652,-3.493,4.75,"[1.955, 0.0, 0.037]",jackal
1,191.298,[1.217],1.954,-0.015,0.119,-1.631,-3.556,3.963,"[1.955, 0.0, 0.111]",jackal
1,191.785,[1.127],1.954,-0.046,0.356,-1.551,-3.596,3.022,"[1.955, 0.0, 0.229]",jackal
1,192.23,[1.061],1.957,-0.056,0.419,-1.405,-3.539,2.125,"[1.956, 0.0, 0.219]",jackal
1,192.63,[0.9],1.357,0.01,-0.096,-1.247,-3.39,1.414,"[0.978, 0.0, -0.078]",jackal
1,193.131,[0.865],0.978,-0.01,0.077,-1.236,-3.238,0.948,"[0.978, 0.0, 0.064]",jackal
1,193.554,[1.028],0.976,-0.028,0.235,-1.2,-3.097,0.543,"[1.955, 0.0, 0.116]",jackal
1,194.028,[1.662],1.943,-0.026,0.204,-1.162,-2.822,-0.146,"[1.957, 0.0, 0.101]",jackal
1,194.428,[2.298],1.959,-0.006,0.06,-1.132,-2.483,-0.895,"[1.956, 0.0, 0.046]",jackal
1,194.828,[2.453],1.957,-0.009,0.066,-1.117,-2.147,-1.602,"[1.957, 0.0, 0.058]",jackal
1,195.228,[1.863],1.727,0.002,-0.013,-1.106,-1.805,-2.294,"[1.958, 0.0, 1.427]",jackal
1,195.629,[1.307],1.2,0.095,-0.716,-1.063,-1.529,-2.818,"[0.0, 0.0, 0.0]",jackal
1,196.03,[1.036],0.291,0.197,-1.506,-1.687,-1.366,-3.09,"[-0.124, 0.0, 1.561]",jackal
1,196.431,[0.994],0.028,-0.013,0.526,-1.761,-1.364,-3.142,"[0.0, 0.0, 0.0]",jackal
1,196.928,[1.05],-0.0,-0.031,0.233,-1.592,-1.376,-3.136,"[0.0, 0.0, 0.0]",jackal
1,197.331,[1.195],-0.0,-0.0,0.0,-1.45,-1.394,-3.121,"[0.0, 0.0, 0.0]",jackal
1,197.731,[1.257],-0.067,-0.027,0.327,-1.437,-1.396,-3.115,"[-0.439, 0.0, 1.516]",jackal
1,198.131,[1.3],-0.03,-0.008,-0.076,-1.306,-1.418,-3.087,"[0.0, 0.0, 0.0]",jackal
1,198.532,[1.432],-0.281,-0.116,1.003,-1.087,-1.471,-3.03,"[-0.204, 0.0, 1.529]",jackal
1,198.934,[1.512],0.485,-0.001,0.006,-0.78,-1.489,-3.032,"[1.226, 0.0, 1.525]",jackal
