episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.016,[1.306],-0.0,-0.0,-0.004,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",youbot
0,1.421,[1.36],0.3,0.366,0.084,0.022,-10.579,-10.827,"[0.511, 0.582, 0.275]",youbot
0,1.827,[1.518],0.307,0.362,0.045,0.05,-10.465,-10.686,"[0.507, 0.612, 0.229]",youbot
0,2.235,[1.679],0.296,0.373,0.044,0.067,-10.348,-10.524,"[0.5, 0.621, 0.124]",youbot
0,2.637,[1.842],0.303,0.376,0.015,0.079,-10.24,-10.367,"[0.496, 0.624, -0.013]",youbot
0,3.049,[2.005],0.299,0.379,0.014,0.087,-10.129,-10.2,"[0.494, 0.621, 0.075]",youbot
0,3.498,[2.211],0.284,0.381,0.017,0.094,-10.022,-10.031,"[0.485, 0.627, -0.017]",youbot
0,3.94,[2.374],0.291,0.372,-0.019,0.097,-9.906,-9.846,"[0.488, 0.626, 0.059]",youbot
0,4.395,[2.575],0.292,0.37,-0.007,0.097,-9.789,-9.662,"[0.492, 0.624, -0.031]",youbot
0,4.799,[2.734],0.295,0.373,0.006,0.095,-9.686,-9.502,"[0.491, 0.624, -0.026]",youbot
0,5.209,[2.893],0.297,0.378,0.029,0.093,-9.583,-9.342,"[0.49, 0.622, 0.083]",youbot
0,5.615,[3.058],0.295,0.371,-0.004,0.099,-9.475,-9.175,"[0.491, 0.622, 0.043]",youbot
0,6.02,[3.22],0.292,0.374,0.02,0.101,-9.373,-9.014,"[0.491, 0.623, 0.022]",youbot
0,6.429,[3.385],0.293,0.371,0.023,0.107,-9.276,-8.861,"[0.492, 0.625, -0.045]",youbot
0,6.875,[3.39],0.283,0.381,-0.002,0.103,-9.155,-8.669,"[0.491, 0.623, -0.025]",youbot
0,7.332,[3.197],0.292,0.375,0.023,0.101,-9.04,-8.484,"[0.489, 0.624, -0.06]",youbot
0,7.781,[2.753],0.291,0.375,0.002,0.103,-8.925,-8.298,"[0.488, 0.623, -0.045]",youbot
0,8.234,[2.533],0.294,0.376,0.035,0.099,-8.808,-8.114,"[0.492, 0.624, -0.024]",youbot
0,8.684,[2.308],0.294,0.374,0.007,0.097,-8.706,-7.953,"[0.493, 0.626, 0.0]",youbot
0,9.091,[2.178],0.291,0.373,-0.0,0.093,-8.593,-7.777,"[0.489, 0.623, -0.001]",youbot
0,9.491,[2.071],0.292,0.37,-0.008,0.094,-8.49,-7.618,"[0.492, 0.624, 0.032]",youbot
0,9.938,[1.93],0.293,0.373,0.004,0.091,-8.382,-7.451,"[0.489, 0.622, -0.037]",youbot
0,10.351,[1.545],0.288,0.37,-0.019,0.089,-8.268,-7.275,"[0.491, 0.623, -0.006]",youbot
0,10.808,[1.252],0.292,0.368,-0.01,0.089,-8.149,-7.093,"[0.493, 0.623, -0.04]",youbot
0,11.262,[1.121],0.296,0.372,0.014,0.084,-8.039,-6.927,"[0.493, 0.623, -0.007]",youbot
0,11.72,[1.011],0.294,0.373,-0.01,0.08,-7.919,-6.745,"[0.491, 0.623, -0.043]",youbot
0,12.135,[0.987],0.127,0.46,-0.061,0.054,-7.842,-6.565,"[0.186, 0.705, -0.167]",youbot
0,12.58,[0.829],0.118,0.46,-0.098,0.02,-7.794,-6.343,"[0.169, 0.717, -0.27]",youbot
0,13.014,[0.61],0.107,0.461,-0.112,-0.014,-7.747,-6.15,"[0.172, 0.71, -0.274]",youbot
0,13.455,[0.602],0.117,0.46,-0.037,-0.041,-7.694,-5.959,"[0.185, 0.707, -0.126]",youbot
0,13.905,[0.77],0.12,0.459,-0.068,-0.063,-7.629,-5.752,"[0.185, 0.709, -0.22]",youbot
0,14.354,[0.911],0.11,0.462,-0.038,-0.079,-7.559,-5.545,"[0.172, 0.708, -0.053]",youbot
0,14.788,[1.099],0.207,0.428,-0.029,-0.088,-7.485,-5.359,"[0.359, 0.707, -0.132]",youbot
0,15.203,[1.078],0.275,0.387,0.033,-0.094,-7.369,-5.199,"[0.466, 0.642, 0.128]",youbot
