episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.414,[1.288],0,0,0,0,0,0,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,0.914,[1.291],-0.0,0.0,0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.314,[1.29],-0.0,0.0,0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.716,[1.289],0.104,0.0,0.0,0.0,-10.623,-10.89,"[0.22, 0.0, 0.613]",turtlebot3_burger
0,2.116,[1.286],0.214,-0.0,0.622,0.098,-10.545,-10.888,"[0.22, 0.0, 0.595]",turtlebot3_burger
0,2.517,[1.295],0.215,-0.0,0.564,0.329,-10.462,-10.87,"[0.22, 0.0, 0.537]",turtlebot3_burger
0,3.024,[1.341],0.216,-0.0,0.511,0.595,-10.366,-10.822,"[0.22, 0.0, 0.515]",turtlebot3_burger
0,3.43,[1.383],0.215,0.0,0.474,0.797,-10.3,-10.767,"[0.22, 0.0, 0.472]",turtlebot3_burger
0,3.916,[1.47],0.216,-0.0,0.442,1.025,-10.234,-10.682,"[0.22, 0.0, 0.419]",turtlebot3_burger
0,4.317,[1.548],0.209,0.0,-0.199,1.126,-10.198,-10.612,"[0.22, 0.0, -0.417]",turtlebot3_burger
0,4.818,[1.655],0.221,-0.0,0.212,1.07,-10.143,-10.515,"[0.22, 0.0, -0.368]",turtlebot3_burger
0,5.317,[1.744],0.215,-0.0,0.368,1.038,-10.085,-10.42,"[0.22, 0.0, -0.296]",turtlebot3_burger
0,5.816,[1.838],0.211,-0.0,0.313,1.002,-10.024,-10.321,"[0.22, 0.0, 0.393]",turtlebot3_burger
0,6.217,[1.917],0.222,0.0,-0.313,1.002,-9.983,-10.252,"[0.22, 0.0, 0.31]",turtlebot3_burger
0,6.716,[2.002],0.22,0.0,-0.314,0.99,-9.925,-10.161,"[0.22, 0.0, -0.274]",turtlebot3_burger
0,7.216,[2.101],0.222,0.0,-0.236,1.04,-9.86,-10.064,"[0.22, 0.0, -0.277]",turtlebot3_burger
0,7.622,[2.164],0.222,0.0,-0.231,0.938,-9.812,-9.989,"[0.22, 0.0, 0.328]",turtlebot3_burger
0,8.117,[2.251],0.219,0.0,-0.278,1.011,-9.752,-9.901,"[0.22, 0.0, -0.247]",turtlebot3_burger
0,8.616,[2.349],0.204,0.0,0.093,0.913,-9.693,-9.817,"[0.22, 0.0, 0.362]",turtlebot3_burger
0,9.017,[2.42],0.221,0.0,-0.217,0.987,-9.64,-9.741,"[0.22, 0.0, -0.218]",turtlebot3_burger
0,9.417,[2.485],0.221,0.0,-0.18,0.91,-9.593,-9.675,"[0.22, 0.0, 0.306]",turtlebot3_burger
0,9.918,[2.584],0.221,0.0,-0.166,0.907,-9.523,-9.583,"[0.22, 0.0, 0.308]",turtlebot3_burger
0,10.32,[2.645],0.222,0.0,-0.178,0.93,-9.475,-9.52,"[0.22, 0.0, -0.167]",turtlebot3_burger
0,10.816,[2.721],0.205,0.0,0.139,0.95,-9.408,-9.434,"[0.22, 0.0, -0.175]",turtlebot3_burger
0,11.316,[2.807],0.222,-0.0,0.164,0.885,-9.342,-9.347,"[0.22, 0.0, 0.374]",turtlebot3_burger
0,11.718,[2.888],0.22,0.0,-0.157,0.91,-9.285,-9.271,"[0.22, 0.0, -0.163]",turtlebot3_burger
0,12.122,[2.959],0.217,-0.0,0.383,0.917,-9.229,-9.203,"[0.22, 0.0, -0.122]",turtlebot3_burger
0,12.617,[3.032],0.221,0.0,-0.157,0.882,-9.164,-9.116,"[0.22, 0.0, 0.334]",turtlebot3_burger
0,13.118,[3.101],0.229,0.0,0.204,0.874,-9.093,-9.03,"[0.22, 0.0, 0.375]",turtlebot3_burger
0,13.617,[2.971],0.221,0.0,-0.142,0.884,-9.025,-8.943,"[0.22, 0.0, -0.155]",turtlebot3_burger
0,14.116,[2.859],0.221,0.0,-0.151,0.899,-8.957,-8.86,"[0.22, 0.0, -0.173]",turtlebot3_burger
0,14.517,[2.809],0.217,0.0,0.362,0.904,-8.901,-8.792,"[0.22, 0.0, -0.137]",turtlebot3_burger
0,15.021,[2.709],0.221,0.0,-0.151,0.858,-8.833,-8.706,"[0.22, 0.0, 0.286]",turtlebot3_burger
0,15.517,[2.63],0.22,0.0,-0.152,0.875,-8.768,-8.628,"[0.22, 0.0, -0.156]",turtlebot3_burger
0,16.017,[2.539],0.221,0.0,-0.159,0.877,-8.693,-8.539,"[0.22, 0.0, -0.16]",turtlebot3_burger
0,16.517,[2.449],0.221,0.0,-0.169,0.889,-8.624,-8.456,"[0.22, 0.0, -0.168]",turtlebot3_burger
0,16.926,[2.361],0.217,-0.0,0.306,0.887,-8.567,-8.389,"[0.22, 0.0, -0.142]",turtlebot3_burger
0,17.419,[2.246],0.217,-0.0,0.323,0.89,-8.497,-8.305,"[0.22, 0.0, -0.18]",turtlebot3_burger
0,17.918,[2.158],0.218,-0.0,0.263,0.845,-8.426,-8.22,"[0.22, 0.0, 0.294]",turtlebot3_burger
0,18.417,[2.06],0.222,0.0,-0.195,0.871,-8.357,-8.135,"[0.22, 0.0, -0.229]",turtlebot3_burger
0,18.917,[2.03],0.224,0.0,-0.168,0.925,-8.287,-8.051,"[0.22, 0.0, -0.269]",turtlebot3_burger
0,19.415,[2.072],0.216,0.0,0.319,0.883,-8.216,-7.966,"[0.22, 0.0, -0.239]",turtlebot3_burger
0,19.818,[2.071],0.218,-0.0,0.22,0.833,-8.159,-7.899,"[0.22, 0.0, 0.296]",turtlebot3_burger
