episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.21,[1.198],0.0,0.0,-0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",jackal
0,1.612,[1.198],0.0,0.0,-0.0,-0.0,-8.52,-9.19,"[1.956, 0.0, 0.686]",jackal
0,2.054,[1.2],1.48,-0.0,-0.001,-0.003,-8.214,-9.191,"[0.0, 0.0, 0.0]",jackal
0,2.554,[1.193],1.182,0.047,-0.357,-0.031,-7.589,-9.196,"[0.0, 0.0, 0.0]",jackal
0,2.976,[1.158],0.479,0.044,-0.344,-0.509,-7.32,-9.184,"[0.0, 0.0, 0.0]",jackal
0,3.519,[0.975],0.159,-0.087,0.664,-0.417,-6.999,-9.374,"[0.979, 0.0, 0.539]",jackal
0,3.963,[0.95],0.092,-0.0,0.001,-0.369,-6.945,-9.408,"[0.873, 0.0, 0.465]",jackal
0,4.393,[0.919],0.0,0.0,0.0,-0.419,-6.868,-9.431,"[0.0, 0.0, 0.0]",jackal
0,4.868,[0.898],0.068,-0.043,0.33,-0.352,-6.808,-9.463,"[-0.076, 0.0, 1.492]",jackal
0,5.293,[0.893],-0.0,0.0,0.001,-0.277,-6.8,-9.474,"[0.0, 0.0, 0.0]",jackal
0,5.766,[0.893],-0.0,-0.0,0.0,-0.277,-6.8,-9.474,"[0.0, 0.0, 0.0]",jackal
0,6.258,[0.894],-0.0,-0.0,0.0,-0.277,-6.8,-9.474,"[0.0, 0.0, 0.0]",jackal
0,6.754,[0.892],-0.0,-0.0,0.0,-0.277,-6.8,-9.474,"[0.0, 0.0, 0.0]",jackal
0,7.158,[0.898],0.242,-0.003,0.962,-0.185,-6.789,-9.48,"[0.978, 0.0, 0.781]",jackal
0,7.56,[0.905],-0.0,0.0,-0.0,-0.052,-6.688,-9.49,"[0.0, 0.0, 0.0]",jackal
0,8.058,[0.906],-0.0,0.0,-0.0,-0.052,-6.688,-9.49,"[0.0, 0.0, 0.0]",jackal
0,8.47,[0.905],-0.0,0.0,-0.0,-0.052,-6.688,-9.49,"[0.0, 0.0, 0.0]",jackal
0,8.987,[0.904],-0.0,0.0,-0.0,-0.052,-6.688,-9.49,"[0.0, 0.0, 0.0]",jackal
0,9.456,[0.905],-0.0,0.0,-0.0,-0.052,-6.689,-9.49,"[0.0, 0.0, 0.0]",jackal
0,9.868,[0.904],-0.0,0.0,-0.0,-0.052,-6.689,-9.49,"[0.0, 0.0, 0.0]",jackal
0,10.308,[0.905],-0.0,0.0,-0.0,-0.052,-6.689,-9.49,"[0.0, 0.0, 0.0]",jackal
0,10.711,[0.905],-0.0,0.0,-0.0,-0.052,-6.689,-9.49,"[0.0, 0.0, 0.0]",jackal
0,11.572,[0.906],-0.0,0.0,-0.0,-0.052,-6.689,-9.49,"[0.0, 0.0, 0.0]",jackal
0,12.073,[0.905],-0.0,0.0,-0.0,-0.052,-6.689,-9.49,"[0.0, 0.0, 0.0]",jackal
