episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.085,[1.201],-0.0,-0.0,-0.003,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",youbot
0,1.524,[1.246],0.437,0.066,0.394,0.091,-8.439,-9.173,"[0.8, 0.104, 0.571]",youbot
0,1.928,[1.328],0.474,0.01,0.047,0.169,-8.258,-9.133,"[0.771, -0.01, -0.086]",youbot
0,2.428,[1.399],0.46,0.017,0.199,0.212,-8.027,-9.086,"[0.759, 0.035, 0.301]",youbot
0,2.829,[1.435],0.475,0.004,0.047,0.242,-7.845,-9.039,"[0.734, 0.009, 0.112]",youbot
0,3.336,[1.357],0.473,-0.003,0.115,0.299,-7.61,-8.971,"[0.721, 0.018, 0.145]",youbot
0,3.781,[1.273],0.292,-0.014,-0.264,0.306,-7.42,-8.909,"[0.35, -0.015, -0.325]",youbot
0,4.212,[1.188],0.14,-0.019,-0.838,0.079,-7.311,-8.893,"[0.171, -0.025, -0.946]",youbot
0,4.69,[1.362],0.256,-0.042,-0.92,-0.363,-7.233,-8.917,"[0.334, -0.034, -1.075]",youbot
0,5.1,[1.193],0.317,-0.088,-0.893,-0.745,-7.133,-9.005,"[0.388, -0.075, -1.073]",youbot
0,5.554,[1.032],0.066,-0.003,-1.138,-1.194,-7.086,-9.098,"[0.027, -0.006, -1.199]",youbot
0,5.955,[0.999],-0.028,0.006,-1.1,-1.669,-7.083,-9.098,"[-0.018, 0.004, -1.141]",youbot
0,6.357,[1.039],0.006,-0.004,-1.126,-2.111,-7.08,-9.091,"[-0.0, -0.0, -1.138]",youbot
0,6.84,[1.147],0.016,-0.002,-1.102,-2.644,-7.086,-9.095,"[-0.081, 0.011, -1.151]",youbot
0,7.266,[1.262],0.056,-0.006,-0.65,-3.065,-7.077,-9.094,"[-0.103, 0.007, -0.591]",youbot
0,7.825,[1.37],-0.095,-0.0,-0.277,2.972,-7.046,-9.097,"[0.097, 0.004, 0.121]",youbot
0,8.282,[1.422],0.155,-0.0,0.073,2.892,-7.053,-9.092,"[0.073, 0.001, 0.128]",youbot
0,8.764,[1.376],-0.084,-0.004,0.24,2.985,-7.061,-9.093,"[-0.092, -0.001, 0.183]",youbot
0,9.176,[1.338],0.071,0.004,0.079,3.036,-7.044,-9.096,"[0.033, 0.001, 0.134]",youbot
0,9.684,[1.334],-0.105,-0.004,-0.141,3.056,-7.08,-9.094,"[-0.103, -0.0, -0.114]",youbot
0,10.17,[1.344],0.05,0.008,0.051,3.029,-7.065,-9.095,"[0.037, -0.001, 0.01]",youbot
0,10.574,[1.342],0.018,0.006,-0.041,3.034,-7.077,-9.094,"[-0.049, -0.003, -0.018]",youbot
0,11.063,[1.339],-0.003,-0.001,0.002,3.039,-7.055,-9.096,"[0.161, 0.0, 0.16]",youbot
0,11.472,[1.328],0.041,-0.001,0.049,3.071,-7.085,-9.094,"[-0.03, 0.001, -0.025]",youbot
0,11.908,[1.333],-0.122,0.0,-0.176,3.054,-7.104,-9.093,"[-0.187, -0.002, -0.137]",youbot
0,12.376,[1.352],-0.008,-0.012,-0.047,3.009,-7.068,-9.094,"[0.113, -0.006, -0.241]",youbot
0,12.789,[1.348],-0.041,-0.006,0.011,3.02,-7.07,-9.095,"[0.024, -0.002, 0.155]",youbot
0,13.296,[1.341],0.104,-0.001,-0.053,3.044,-7.094,-9.091,"[-0.132, -0.003, 0.065]",youbot
0,13.794,[1.35],-0.082,-0.004,0.064,3.02,-7.078,-9.093,"[-0.079, -0.002, -0.026]",youbot
0,14.308,[1.352],-0.005,0.002,-0.128,3.017,-7.065,-9.094,"[0.08, -0.003, -0.107]",youbot
0,14.797,[1.368],0.01,0.007,-0.011,2.98,-7.054,-9.095,"[0.117, 0.001, 0.187]",youbot
0,15.24,[1.346],0.086,0.002,0.26,3.043,-7.082,-9.091,"[0.084, 0.0, 0.049]",youbot
0,15.684,[1.341],-0.182,0.002,-0.203,3.044,-7.074,-9.091,"[-0.151, -0.0, -0.097]",youbot
0,16.186,[1.378],-0.05,0.032,-0.196,2.961,-7.034,-9.096,"[0.004, 0.001, 0.038]",youbot
0,16.679,[1.367],0.133,-0.002,0.046,2.986,-7.046,-9.093,"[0.061, 0.002, 0.155]",youbot
0,17.105,[1.355],-0.013,0.01,0.053,3.011,-7.058,-9.093,"[-0.115, -0.001, 0.123]",youbot
0,17.506,[1.348],0.058,0.001,-0.003,3.025,-7.062,-9.093,"[0.151, -0.003, -0.055]",youbot
0,17.99,[1.351],-0.087,0.0,0.004,3.021,-7.086,-9.091,"[-0.198, -0.001, -0.045]",youbot
0,18.488,[1.344],0.175,0.004,0.208,3.025,-7.042,-9.095,"[0.071, 0.0, 0.042]",youbot
0,19.006,[1.327],-0.059,0.006,0.047,3.07,-7.038,-9.094,"[0.029, -0.0, -0.007]",youbot
0,19.487,[1.33],0.136,0.003,0.015,3.07,-7.091,-9.092,"[-0.005, -0.0, -0.017]",youbot
0,19.961,[1.332],-0.003,-0.004,-0.012,3.061,-7.067,-9.093,"[0.049, -0.004, -0.434]",youbot
