episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.418,[1.107],0.0,-0.0,-0.0,-0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,0.819,[1.1],-0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.318,[1.092],-0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.724,[1.08],0.107,0.0,-0.287,-0.009,-3.7,9.21,"[0.22, 0.0, -1.739]",turtlebot3_burger
0,2.227,[1.095],0.196,0.0,-1.148,-0.465,-3.62,9.193,"[0.22, 0.0, -1.399]",turtlebot3_burger
0,2.72,[1.165],0.23,0.001,-1.148,-1.166,-3.54,9.105,"[0.22, 0.0, -0.933]",turtlebot3_burger
0,3.121,[1.258],0.226,0.0,-0.676,-1.502,-3.52,9.018,"[0.22, 0.0, -0.462]",turtlebot3_burger
0,3.522,[1.254],0.223,0.0,-0.244,-1.657,-3.522,8.929,"[0.22, 0.0, -0.285]",turtlebot3_burger
0,4.021,[1.261],0.219,-0.0,0.087,-1.678,-3.535,8.821,"[0.22, 0.0, -0.169]",turtlebot3_burger
0,4.521,[1.283],0.218,0.0,0.061,-1.672,-3.547,8.713,"[0.22, 0.0, -0.108]",turtlebot3_burger
0,5.02,[1.289],0.19,-0.0,0.393,-1.669,-3.559,8.606,"[0.22, 0.0, -0.149]",turtlebot3_burger
0,5.42,[1.284],0.222,0.0,-0.19,-1.667,-3.565,8.524,"[0.22, 0.0, -0.197]",turtlebot3_burger
0,5.821,[1.22],0.217,-0.0,0.345,-1.647,-3.575,8.436,"[0.22, 0.0, -0.159]",turtlebot3_burger
0,6.222,[1.209],0.221,0.0,-0.16,-1.657,-3.58,8.35,"[0.22, 0.0, -0.121]",turtlebot3_burger
0,6.628,[1.172],0.207,0.0,0.027,-1.642,-3.588,8.263,"[0.22, 0.0, -0.174]",turtlebot3_burger
0,7.12,[1.136],0.219,0.0,0.199,-1.638,-3.597,8.156,"[0.22, 0.0, -0.144]",turtlebot3_burger
0,7.521,[1.13],0.218,-0.0,0.225,-1.666,-3.603,8.069,"[0.22, 0.0, 0.117]",turtlebot3_burger
0,8.024,[1.115],0.222,0.0,-0.237,-1.644,-3.61,7.968,"[0.22, 0.0, 0.156]",turtlebot3_burger
0,8.52,[1.105],0.223,0.0,-0.275,-1.605,-3.616,7.86,"[0.22, 0.0, -0.264]",turtlebot3_burger
0,8.921,[1.111],0.218,-0.0,0.239,-1.609,-3.622,7.765,"[0.22, 0.0, -0.204]",turtlebot3_burger
0,9.321,[1.132],0.222,0.0,-0.254,-1.645,-3.625,7.686,"[0.22, 0.0, 0.26]",turtlebot3_burger
0,9.82,[1.148],0.222,0.0,-0.248,-1.632,-3.632,7.572,"[0.22, 0.0, -0.261]",turtlebot3_burger
0,10.22,[1.162],0.213,-0.0,0.44,-1.575,-3.638,7.485,"[0.22, 0.0, -0.164]",turtlebot3_burger
0,10.719,[1.213],0.222,0.0,-0.252,-1.626,-3.638,7.377,"[0.22, 0.0, 0.312]",turtlebot3_burger
0,11.125,[1.224],0.192,0.0,0.09,-1.551,-3.64,7.294,"[0.22, 0.0, -0.227]",turtlebot3_burger
0,11.618,[1.312],0.223,-0.0,-0.037,-1.647,-3.642,7.193,"[0.22, 0.0, 0.375]",turtlebot3_burger
0,12.02,[1.355],0.222,0.0,-0.28,-1.651,-3.647,7.099,"[0.22, 0.0, 0.311]",turtlebot3_burger
0,12.42,[1.386],0.223,0.0,-0.259,-1.584,-3.652,7.013,"[0.22, 0.0, -0.325]",turtlebot3_burger
0,12.921,[1.394],0.217,-0.0,0.42,-1.58,-3.658,6.904,"[0.22, 0.0, -0.264]",turtlebot3_burger
0,13.324,[1.354],0.223,0.0,-0.321,-1.617,-3.658,6.824,"[0.22, 0.0, 0.337]",turtlebot3_burger
0,13.82,[1.312],0.224,0.0,-0.369,-1.588,-3.661,6.713,"[0.22, 0.0, -0.384]",turtlebot3_burger
0,14.221,[1.278],0.217,-0.0,0.394,-1.603,-3.667,6.62,"[0.22, 0.0, 0.466]",turtlebot3_burger
0,14.621,[1.241],0.224,0.0,-0.46,-1.56,-3.665,6.541,"[0.22, 0.0, -0.463]",turtlebot3_burger
0,15.022,[1.232],0.216,-0.0,0.369,-1.586,-3.67,6.444,"[0.22, 0.0, -0.373]",turtlebot3_burger
0,15.423,[1.19],0.22,-0.0,0.311,-1.627,-3.673,6.354,"[0.22, 0.0, 0.352]",turtlebot3_burger
0,15.922,[1.176],0.225,-0.0,0.216,-1.644,-3.678,6.25,"[0.22, 0.0, 0.359]",turtlebot3_burger
0,16.42,[1.193],0.213,0.0,-0.224,-1.618,-3.68,6.141,"[0.22, 0.0, 0.304]",turtlebot3_burger
0,16.928,[1.187],0.21,0.0,0.045,-1.629,-3.683,6.025,"[0.22, 0.0, 0.306]",turtlebot3_burger
0,17.426,[1.199],0.214,-0.0,0.172,-1.612,-3.686,5.917,"[0.22, 0.0, 0.252]",turtlebot3_burger
0,17.919,[1.187],0.223,0.0,-0.331,-1.596,-3.686,5.808,"[0.22, 0.0, 0.192]",turtlebot3_burger
0,18.321,[1.195],0.216,0.0,-0.195,-1.54,-3.686,5.72,"[0.22, 0.0, -0.301]",turtlebot3_burger
0,18.821,[1.175],0.202,-0.0,-0.034,-1.631,-3.686,5.62,"[0.22, 0.0, 0.144]",turtlebot3_burger
0,19.222,[1.197],0.218,-0.0,0.053,-1.591,-3.69,5.526,"[0.22, 0.0, 0.063]",turtlebot3_burger
0,19.72,[1.194],0.2,0.022,0.285,-1.557,-3.69,5.416,"[0.22, 0.0, -0.185]",turtlebot3_burger
0,20.12,[1.185],0.223,-0.0,-0.08,-1.582,-3.688,5.338,"[0.22, 0.0, 0.088]",turtlebot3_burger
