episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.813,[1.306],0.0,0.0,-0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",jackal
0,1.222,[1.313],0.322,-0.006,0.05,0.076,-10.558,-10.891,"[0.266, 0.0, 1.02]",jackal
0,1.632,[1.352],0.971,-0.009,0.213,0.179,-10.317,-10.864,"[1.395, 0.0, 1.452]",jackal
0,2.034,[1.467],1.765,-0.003,0.164,0.227,-9.772,-10.755,"[1.846, 0.0, 1.029]",jackal
0,2.489,[1.857],1.953,-0.462,2.003,0.89,-8.964,-10.445,"[2.0, 0.0, 1.069]",jackal
0,3.015,[3.713],1.493,-0.008,0.078,1.531,-8.523,-9.605,"[1.501, -0.067, -0.141]",jackal
0,3.467,[3.785],1.964,0.29,-1.823,1.145,-8.453,-8.767,"[2.0, 0.009, -1.209]",jackal
0,3.969,[4.227],1.996,0.04,-0.308,0.525,-7.866,-8.027,"[1.496, 0.067, -0.214]",jackal
0,4.433,[4.821],1.983,-0.128,0.975,0.904,-7.134,-7.505,"[2.0, -0.018, 0.507]",jackal
0,4.858,[4.603],2.003,0.005,-0.033,1.033,-6.673,-6.801,"[2.0, 0.0, -0.199]",jackal
0,5.304,[3.782],2.006,0.031,-0.228,0.972,-6.182,-6.017,"[2.0, 0.0, -0.074]",jackal
0,5.752,[2.984],2.0,0.009,-0.092,0.936,-5.671,-5.292,"[2.0, 0.0, -0.074]",jackal
0,6.205,[2.211],2.0,-0.0,0.0,0.922,-5.125,-4.561,"[2.0, 0.0, -0.052]",jackal
0,6.647,[1.592],2.0,-0.0,0.0,0.912,-4.594,-3.867,"[2.0, 0.0, -0.013]",jackal
0,7.1,[1.255],2.008,-0.019,0.156,0.92,-4.053,-3.169,"[2.0, 0.0, 0.145]",jackal
0,7.543,[1.11],2.005,-0.04,0.305,1.03,-3.53,-2.432,"[2.0, 0.0, 0.271]",jackal
0,7.945,[0.826],1.993,-0.04,0.296,1.172,-3.151,-1.729,"[2.0, 0.0, 0.272]",jackal
0,8.353,[1.03],2.01,-0.032,0.244,1.271,-2.864,-0.991,"[2.0, 0.0, 0.224]",jackal
0,8.795,[1.269],2.001,0.03,-0.225,1.282,-2.619,-0.143,"[2.0, 0.0, -0.152]",jackal
0,9.199,[1.132],2.018,0.044,-0.345,1.206,-2.376,0.622,"[2.0, 0.0, -0.289]",jackal
0,9.647,[0.915],2.009,0.065,-0.491,1.029,-1.992,1.468,"[2.0, 0.0, -0.372]",jackal
0,10.139,[1.303],1.984,0.153,-1.016,0.672,-1.41,2.253,"[2.0, 0.007, -0.657]",jackal
0,10.57,[0.996],2.013,-0.013,0.097,0.431,-0.698,2.688,"[2.0, 0.0, 0.085]",jackal
0,11.02,[0.994],2.004,-0.029,0.217,0.489,0.091,3.067,"[2.0, 0.0, 0.145]",jackal
0,11.465,[1.572],2.004,-0.027,0.207,0.58,0.881,3.522,"[2.0, 0.0, 0.154]",jackal
0,11.91,[3.083],2.0,-0.024,0.184,0.648,1.608,4.028,"[2.0, 0.0, 0.087]",jackal
0,12.316,[3.444],2.0,0.0,0.001,0.681,2.241,4.521,"[2.0, 0.0, 0.052]",jackal
0,12.776,[3.617],2.0,0.0,0.0,0.69,2.953,5.104,"[2.0, 0.0, 0.0]",jackal
0,13.178,[3.947],2.002,0.012,-0.089,0.679,3.566,5.608,"[2.0, 0.0, -0.035]",jackal
0,13.619,[4.369],2.0,0.0,-0.0,0.675,4.256,6.161,"[2.0, 0.0, 0.0]",jackal
0,14.022,[3.663],1.999,-0.008,0.066,0.677,4.912,6.686,"[2.0, 0.0, -0.01]",jackal
0,14.47,[3.013],2.0,-0.0,0.0,0.678,5.603,7.241,"[2.0, 0.0, 0.0]",jackal
0,14.917,[2.672],2.002,0.011,-0.078,0.675,6.285,7.791,"[2.0, 0.0, -0.015]",jackal
0,15.321,[2.042],2.002,0.008,-0.063,0.668,6.94,8.313,"[2.0, 0.0, -0.008]",jackal
0,15.756,[1.413],0.843,-0.037,0.278,0.698,7.438,8.701,"[0.343, 0.0, -0.09]",jackal
0,16.206,[1.155],0.743,0.038,-0.69,0.604,7.625,8.859,"[1.221, 0.0, -1.354]",jackal
0,16.65,[0.77],0.324,-0.0,-0.001,0.562,7.944,9.067,"[-0.1, 0.0, -1.001]",jackal
0,17.058,[0.748],-0.083,0.218,-1.958,0.118,7.93,9.125,"[-0.1, 0.008, -1.078]",jackal
0,17.498,[0.594],-0.03,0.073,-0.554,-0.56,7.931,9.213,"[0.0, 0.0, 0.0]",jackal
0,17.95,[0.51],-0.138,0.012,-0.094,-0.756,7.904,9.268,"[0.0, 0.0, 0.0]",jackal
0,18.401,[0.53],-0.207,0.017,-0.242,-0.791,7.855,9.319,"[-0.1, 0.0, -0.568]",jackal
0,18.85,[0.593],-0.121,0.001,-0.006,-0.85,7.804,9.385,"[-0.1, 0.0, -0.374]",jackal
0,19.255,[0.67],-0.247,0.092,-1.086,-1.061,7.767,9.477,"[-0.038, 0.0, -1.335]",jackal
0,19.701,[0.708],0.018,0.027,-0.233,-1.354,7.775,9.494,"[-0.1, 0.0, -0.587]",jackal
0,20.102,[0.726],-0.098,0.026,-0.204,-1.453,7.784,9.523,"[-0.1, 0.0, -0.151]",jackal
0,20.551,[0.757],-0.0,0.0,-0.0,-1.565,7.795,9.55,"[0.0, 0.0, 0.0]",jackal
0,20.952,[0.783],-0.066,0.041,-0.318,-1.891,7.823,9.557,"[-0.1, 0.0, -0.055]",jackal
0,21.352,[0.81],-0.014,0.002,-0.017,-1.92,7.829,9.572,"[-0.1, 0.0, 0.0]",jackal
0,21.758,[0.838],-0.172,0.17,-1.298,-2.269,7.861,9.573,"[0.0, 0.013, -1.427]",jackal
0,22.162,[0.843],-0.1,0.017,-0.203,-2.512,7.916,9.58,"[-0.1, 0.0, -0.129]",jackal
0,22.57,[0.875],0.15,0.0,0.001,-2.501,7.907,9.576,"[0.0, 0.0, 0.263]",jackal
0,22.975,[0.923],0.078,0.173,-1.64,-2.838,7.912,9.543,"[0.023, 0.01, -1.57]",jackal
0,23.385,[2.666],-0.054,0.243,-1.86,2.7,7.9,9.445,"[0.116, 0.012, -1.57]",jackal
0,23.787,[2.863],0.293,0.251,-1.924,1.939,7.794,9.439,"[0.428, 0.028, -1.57]",jackal
0,24.22,[1.671],1.001,0.218,-1.661,1.131,7.723,9.691,"[1.245, 0.072, -1.404]",jackal
0,24.65,[1.889],1.816,0.205,-1.446,0.458,8.097,10.167,"[2.0, 0.016, -0.501]",jackal
0,25.065,[2.078],1.428,-0.001,0.012,0.264,8.801,10.422,"[1.347, 0.0, 0.0]",jackal
0,25.505,[2.018],0.79,-0.016,0.136,0.285,9.269,10.549,"[0.702, 0.0, 0.04]",jackal
1,25.953,[1.31],0.204,-0.009,0.069,0.035,-10.603,-10.889,"[0.0, 0.0, 0.0]",jackal
1,26.361,[1.312],0.151,-0.044,0.54,0.108,-10.58,-10.896,"[0.651, 0.0, 1.329]",jackal
1,26.762,[1.359],0.974,0.0,0.032,0.198,-10.328,-10.854,"[1.446, 0.0, 1.005]",jackal
1,27.183,[1.502],1.772,-0.038,0.322,0.253,-9.757,-10.731,"[2.0, 0.0, 1.275]",jackal
