episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.764,[1.306],-0.001,0.0,0.006,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",youbot
0,1.221,[1.375],0.316,0.365,0.065,0.016,-10.572,-10.811,"[0.49, 0.619, 0.133]",youbot
0,1.667,[1.571],0.301,0.37,0.053,0.037,-10.438,-10.637,"[0.498, 0.618, 0.205]",youbot
0,2.08,[1.732],0.293,0.375,0.029,0.052,-10.326,-10.484,"[0.489, 0.627, 0.099]",youbot
0,2.501,[1.893],0.289,0.38,0.014,0.063,-10.212,-10.32,"[0.491, 0.623, 0.141]",youbot
0,2.929,[2.056],0.295,0.374,0.047,0.075,-10.095,-10.147,"[0.473, 0.629, 0.11]",youbot
0,3.352,[2.221],0.293,0.373,0.025,0.089,-9.986,-9.98,"[0.487, 0.627, 0.009]",youbot
0,3.799,[2.421],0.293,0.374,0.004,0.088,-9.872,-9.805,"[0.491, 0.623, -0.016]",youbot
0,4.265,[2.582],0.289,0.371,-0.054,0.086,-9.747,-9.614,"[0.487, 0.62, 0.056]",youbot
0,4.733,[2.78],0.293,0.373,-0.011,0.086,-9.628,-9.43,"[0.48, 0.628, -0.04]",youbot
0,5.193,[2.98],0.292,0.373,0.041,0.088,-9.509,-9.248,"[0.491, 0.621, -0.015]",youbot
0,5.601,[3.142],0.294,0.371,0.026,0.092,-9.4,-9.081,"[0.491, 0.624, 0.074]",youbot
0,6.008,[3.307],0.292,0.373,-0.035,0.098,-9.297,-8.921,"[0.492, 0.623, 0.055]",youbot
0,6.455,[3.468],0.284,0.38,0.016,0.098,-9.185,-8.745,"[0.491, 0.622, -0.047]",youbot
0,6.875,[3.67],0.291,0.377,-0.03,0.098,-9.08,-8.575,"[0.485, 0.627, -0.012]",youbot
0,7.31,[3.828],0.294,0.374,0.049,0.095,-8.966,-8.397,"[0.489, 0.622, -0.021]",youbot
0,7.718,[3.991],0.291,0.373,-0.011,0.096,-8.865,-8.239,"[0.491, 0.623, -0.089]",youbot
0,8.12,[4.145],0.291,0.372,-0.015,0.088,-8.762,-8.08,"[0.49, 0.622, 0.06]",youbot
0,8.565,[4.303],0.293,0.372,0.02,0.087,-8.642,-7.896,"[0.49, 0.622, 0.035]",youbot
0,8.976,[4.505],0.294,0.372,0.001,0.089,-8.539,-7.739,"[0.492, 0.625, -0.039]",youbot
0,9.393,[4.662],0.295,0.374,-0.023,0.086,-8.43,-7.572,"[0.494, 0.623, -0.156]",youbot
0,9.8,[4.819],0.295,0.37,0.01,0.084,-8.324,-7.412,"[0.49, 0.623, -0.006]",youbot
0,10.251,[4.982],0.294,0.372,-0.004,0.089,-8.204,-7.231,"[0.493, 0.624, 0.009]",youbot
0,10.664,[5.145],0.285,0.368,-0.012,0.09,-8.096,-7.064,"[0.491, 0.623, -0.001]",youbot
0,11.07,[5.34],0.293,0.372,-0.006,0.089,-7.992,-6.905,"[0.493, 0.623, -0.112]",youbot
0,11.499,[5.134],0.297,0.373,0.004,0.079,-7.882,-6.739,"[0.492, 0.622, -0.031]",youbot
0,11.9,[4.94],0.29,0.373,0.03,0.077,-7.771,-6.574,"[0.491, 0.621, 0.074]",youbot
0,12.363,[4.897],0.292,0.373,0.042,0.08,-7.65,-6.392,"[0.488, 0.62, -0.008]",youbot
0,12.808,[4.835],0.294,0.372,-0.045,0.086,-7.535,-6.218,"[0.465, 0.622, -0.0]",youbot
0,13.248,[4.644],0.29,0.374,-0.021,0.079,-7.421,-6.042,"[0.487, 0.625, -0.012]",youbot
0,13.69,[4.421],0.293,0.374,0.009,0.078,-7.306,-5.869,"[0.491, 0.625, 0.011]",youbot
0,14.158,[4.235],0.292,0.374,-0.01,0.074,-7.185,-5.688,"[0.488, 0.618, -0.109]",youbot
0,14.62,[4.008],0.287,0.374,-0.008,0.068,-7.063,-5.507,"[0.49, 0.624, -0.053]",youbot
0,15.035,[3.834],0.291,0.375,0.005,0.064,-6.952,-5.341,"[0.487, 0.624, 0.01]",youbot
0,15.462,[3.668],0.289,0.376,-0.006,0.064,-6.836,-5.167,"[0.489, 0.628, -0.026]",youbot
0,15.924,[3.463],0.288,0.377,-0.034,0.058,-6.714,-4.987,"[0.491, 0.624, 0.011]",youbot
0,16.354,[3.313],0.292,0.372,-0.014,0.053,-6.6,-4.823,"[0.491, 0.625, -0.025]",youbot
0,16.806,[3.318],0.293,0.374,-0.025,0.049,-6.474,-4.644,"[0.488, 0.623, -0.041]",youbot
0,17.272,[3.128],0.291,0.374,-0.004,0.043,-6.347,-4.466,"[0.49, 0.623, -0.062]",youbot
0,17.693,[2.976],0.291,0.372,0.011,0.038,-6.232,-4.306,"[0.49, 0.623, -0.062]",youbot
0,18.142,[2.826],0.294,0.373,0.001,0.034,-6.108,-4.137,"[0.492, 0.623, 0.013]",youbot
0,18.631,[2.617],0.295,0.372,0.005,0.037,-5.968,-3.945,"[0.493, 0.623, -0.015]",youbot
0,19.077,[2.441],0.294,0.373,-0.013,0.034,-5.844,-3.776,"[0.493, 0.624, 0.015]",youbot
0,19.49,[2.296],0.295,0.372,-0.015,0.028,-5.726,-3.617,"[0.492, 0.622, -0.0]",youbot
0,19.961,[2.148],0.295,0.371,-0.03,0.02,-5.595,-3.443,"[0.493, 0.625, -0.018]",youbot
0,20.408,[1.962],0.294,0.373,-0.006,0.016,-5.463,-3.27,"[0.492, 0.622, -0.075]",youbot
0,20.854,[1.815],0.297,0.375,-0.032,0.008,-5.336,-3.104,"[0.487, 0.634, -0.203]",youbot
0,21.28,[1.635],0.278,0.385,-0.051,-0.012,-5.215,-2.946,"[0.486, 0.626, -0.133]",youbot
0,21.736,[1.492],0.287,0.37,-0.07,-0.032,-5.081,-2.774,"[0.449, 0.135, 0.161]",youbot
0,22.151,[1.364],0.338,0.328,0.017,-0.051,-4.94,-2.633,"[0.451, 0.094, 0.113]",youbot
0,22.592,[1.256],0.411,0.239,0.05,0.006,-4.755,-2.562,"[0.573, 0.0, 0.27]",youbot
0,22.993,[1.191],0.432,0.189,0.103,0.087,-4.577,-2.52,"[0.723, 0.0, 0.406]",youbot
0,23.458,[1.117],0.487,-0.01,0.21,0.18,-4.372,-2.463,"[0.7, 0.0, 0.356]",youbot
0,23.895,[1.027],0.486,0.05,0.147,0.245,-4.175,-2.399,"[0.729, 0.241, 0.041]",youbot
0,24.324,[0.953],0.452,0.12,0.124,0.302,-3.987,-2.318,"[0.701, 0.0, 0.28]",youbot
