episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.35,[1.297],-0.0,0.0,0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.753,[1.293],-0.127,-0.0,0.167,0.017,-10.657,-10.89,"[-0.09, 0.0, 0.238]",turtlebot3_burger
0,2.154,[1.288],-0.014,0.0,0.523,0.135,-10.686,-10.892,"[0.132, 0.0, 0.3]",turtlebot3_burger
0,2.651,[1.305],0.217,-0.0,0.292,0.411,-10.631,-10.871,"[0.22, 0.0, 0.273]",turtlebot3_burger
0,3.053,[1.33],0.218,-0.0,0.247,0.519,-10.553,-10.832,"[0.22, 0.0, 0.242]",turtlebot3_burger
0,3.455,[1.383],0.216,-0.0,0.211,0.615,-10.48,-10.786,"[0.22, 0.0, 0.217]",turtlebot3_burger
0,3.952,[1.449],0.218,-0.0,0.207,0.721,-10.394,-10.718,"[0.22, 0.0, 0.207]",turtlebot3_burger
0,4.453,[1.517],0.218,-0.0,0.202,0.823,-10.316,-10.642,"[0.22, 0.0, 0.201]",turtlebot3_burger
0,4.955,[1.59],0.219,-0.0,0.095,0.908,-10.246,-10.559,"[0.22, 0.0, 0.052]",turtlebot3_burger
0,5.45,[1.689],0.221,0.0,-0.101,0.902,-10.179,-10.472,"[0.22, 0.0, -0.086]",turtlebot3_burger
0,5.951,[1.771],0.22,0.0,0.043,0.89,-10.109,-10.387,"[0.22, 0.0, 0.007]",turtlebot3_burger
0,6.453,[1.859],0.22,0.0,0.012,0.888,-10.04,-10.301,"[0.22, 0.0, -0.039]",turtlebot3_burger
0,6.854,[1.917],0.22,0.0,0.021,0.879,-9.984,-10.233,"[0.22, 0.0, 0.024]",turtlebot3_burger
0,7.258,[1.987],0.22,0.0,-0.006,0.881,-9.928,-10.166,"[0.22, 0.0, -0.0]",turtlebot3_burger
0,7.75,[2.084],0.219,-0.0,0.107,0.909,-9.859,-10.081,"[0.22, 0.0, 0.051]",turtlebot3_burger
0,8.152,[2.143],0.22,0.0,-0.034,0.911,-9.805,-10.011,"[0.22, 0.0, -0.003]",turtlebot3_burger
0,8.552,[2.224],0.22,0.0,-0.095,0.905,-9.751,-9.941,"[0.22, 0.0, -0.084]",turtlebot3_burger
0,9.049,[2.303],0.218,0.0,0.049,0.892,-9.682,-9.856,"[0.22, 0.0, 0.022]",turtlebot3_burger
0,9.452,[2.372],0.22,0.0,-0.028,0.891,-9.627,-9.787,"[0.22, 0.0, -0.076]",turtlebot3_burger
0,9.951,[2.459],0.218,-0.0,0.0,0.879,-9.557,-9.702,"[0.22, 0.0, 0.018]",turtlebot3_burger
0,10.352,[2.525],0.221,-0.0,-0.012,0.881,-9.502,-9.635,"[0.22, 0.0, -0.006]",turtlebot3_burger
0,10.753,[2.588],0.22,-0.0,0.106,0.906,-9.446,-9.567,"[0.22, 0.0, 0.051]",turtlebot3_burger
0,11.254,[2.672],0.221,0.0,-0.02,0.905,-9.379,-9.48,"[0.22, 0.0, 0.002]",turtlebot3_burger
0,11.749,[2.755],0.221,-0.0,-0.037,0.891,-9.31,-9.394,"[0.22, 0.0, -0.007]",turtlebot3_burger
0,12.151,[2.841],0.22,0.0,0.001,0.891,-9.255,-9.325,"[0.22, 0.0, -0.009]",turtlebot3_burger
0,12.551,[2.897],0.219,-0.0,0.103,0.896,-9.2,-9.257,"[0.22, 0.0, 0.137]",turtlebot3_burger
0,12.951,[2.951],0.22,0.0,-0.001,0.93,-9.147,-9.188,"[0.22, 0.0, -0.048]",turtlebot3_burger
0,13.354,[3.027],0.219,0.0,-0.004,0.916,-9.093,-9.118,"[0.22, 0.0, 0.011]",turtlebot3_burger
0,13.854,[3.13],0.22,0.0,-0.1,0.866,-9.025,-9.031,"[0.22, 0.0, -0.058]",turtlebot3_burger
0,14.348,[3.213],0.219,0.0,0.03,0.865,-8.958,-8.954,"[0.22, 0.0, 0.006]",turtlebot3_burger
0,14.749,[3.274],0.219,0.0,0.078,0.893,-8.897,-8.881,"[0.22, 0.0, 0.047]",turtlebot3_burger
0,15.152,[3.342],0.218,0.0,-0.042,0.894,-8.842,-8.812,"[0.22, 0.0, -0.007]",turtlebot3_burger
0,15.552,[3.421],0.219,-0.0,0.103,0.902,-8.787,-8.743,"[0.22, 0.0, 0.11]",turtlebot3_burger
0,16.049,[inf],0.219,0.0,-0.061,0.923,-8.721,-8.656,"[0.22, 0.0, -0.034]",turtlebot3_burger
0,16.451,[inf],0.221,-0.0,0.0,0.919,-8.667,-8.586,"[0.22, 0.0, -0.094]",turtlebot3_burger
0,16.949,[inf],0.221,0.0,-0.08,0.858,-8.598,-8.5,"[0.22, 0.0, -0.013]",turtlebot3_burger
0,17.351,[inf],0.22,0.0,0.03,0.862,-8.54,-8.434,"[0.22, 0.0, 0.004]",turtlebot3_burger
0,17.849,[inf],0.22,-0.0,0.059,0.896,-8.47,-8.35,"[0.22, 0.0, 0.018]",turtlebot3_burger
0,18.353,[inf],0.221,-0.0,-0.01,0.894,-8.402,-8.264,"[0.22, 0.0, 0.004]",turtlebot3_burger
0,18.848,[3.392],0.22,-0.0,0.042,0.925,-8.334,-8.178,"[0.22, 0.0, 0.001]",turtlebot3_burger
0,19.249,[3.33],0.221,0.0,-0.028,0.92,-8.285,-8.114,"[0.22, 0.0, -0.013]",turtlebot3_burger
0,19.753,[3.282],0.221,0.0,-0.044,0.898,-8.214,-8.021,"[0.22, 0.0, 0.002]",turtlebot3_burger
0,20.253,[3.189],0.221,-0.0,-0.021,0.902,-8.145,-7.935,"[0.22, 0.0, -0.023]",turtlebot3_burger
0,20.654,[2.841],0.221,0.0,-0.023,0.894,-8.09,-7.866,"[0.22, 0.0, -0.007]",turtlebot3_burger
0,21.149,[2.591],0.221,-0.0,-0.007,0.894,-8.022,-7.781,"[0.22, 0.0, -0.013]",turtlebot3_burger
0,21.555,[2.522],0.221,0.0,-0.084,0.886,-7.966,-7.712,"[0.22, 0.0, -0.078]",turtlebot3_burger
0,22.051,[2.471],0.22,0.0,0.024,0.879,-7.896,-7.628,"[0.22, 0.0, -0.005]",turtlebot3_burger
0,22.451,[2.439],0.22,0.0,0.006,0.878,-7.84,-7.56,"[0.22, 0.0, 0.101]",turtlebot3_burger
0,22.95,[2.319],0.22,0.0,-0.019,0.91,-7.772,-7.475,"[0.22, 0.0, -0.053]",turtlebot3_burger
0,23.355,[2.05],0.22,0.0,0.031,0.903,-7.717,-7.405,"[0.22, 0.0, 0.014]",turtlebot3_burger
0,23.854,[1.829],0.22,0.0,0.016,0.89,-7.648,-7.32,"[0.22, 0.0, 0.031]",turtlebot3_burger
0,24.354,[1.805],0.22,0.0,-0.01,0.892,-7.58,-7.234,"[0.22, 0.0, -0.009]",turtlebot3_burger
0,24.754,[1.799],0.22,0.0,-0.014,0.873,-7.524,-7.166,"[0.22, 0.0, 0.023]",turtlebot3_burger
0,25.253,[1.712],0.22,0.0,-0.008,0.879,-7.454,-7.081,"[0.22, 0.0, -0.007]",turtlebot3_burger
0,25.654,[1.434],0.219,-0.0,0.115,0.89,-7.398,-7.014,"[0.22, 0.0, 0.073]",turtlebot3_burger
0,26.149,[1.295],0.22,0.0,-0.027,0.904,-7.33,-6.928,"[0.22, 0.0, -0.027]",turtlebot3_burger
0,26.552,[1.289],0.219,-0.0,0.084,0.904,-7.275,-6.859,"[0.22, 0.0, 0.111]",turtlebot3_burger
0,26.954,[1.297],0.22,0.0,0.007,0.932,-7.222,-6.789,"[0.22, 0.0, -0.02]",turtlebot3_burger
0,27.448,[1.339],0.22,0.0,-0.014,0.921,-7.161,-6.707,"[0.22, 0.0, -0.11]",turtlebot3_burger
0,27.853,[1.367],0.219,0.0,-0.128,0.869,-7.101,-6.632,"[0.22, 0.0, -0.059]",turtlebot3_burger
0,28.353,[1.389],0.219,0.0,0.017,0.869,-7.03,-6.548,"[0.22, 0.0, -0.013]",turtlebot3_burger
0,28.854,[1.451],0.218,-0.0,0.059,0.897,-6.96,-6.464,"[0.22, 0.0, 0.001]",turtlebot3_burger
0,29.351,[1.496],0.22,0.0,0.008,0.889,-6.891,-6.378,"[0.22, 0.0, 0.031]",turtlebot3_burger
0,29.851,[1.573],0.219,0.0,0.005,0.881,-6.822,-6.293,"[0.22, 0.0, 0.025]",turtlebot3_burger
0,30.251,[1.582],0.219,0.0,0.0,0.884,-6.766,-6.225,"[0.22, 0.0, -0.003]",turtlebot3_burger
0,30.751,[1.743],0.22,0.0,-0.013,0.874,-6.696,-6.14,"[0.22, 0.0, 0.023]",turtlebot3_burger
0,31.248,[1.841],0.219,0.0,-0.004,0.877,-6.631,-6.061,"[0.22, 0.0, 0.005]",turtlebot3_burger
0,31.649,[1.918],0.218,-0.0,0.068,0.89,-6.575,-5.993,"[0.22, 0.0, 0.065]",turtlebot3_burger
0,32.052,[2.025],0.221,0.0,-0.044,0.903,-6.516,-5.919,"[0.22, 0.0, -0.035]",turtlebot3_burger
0,32.453,[1.892],0.221,-0.0,0.005,0.9,-6.461,-5.85,"[0.22, 0.0, -0.065]",turtlebot3_burger
0,32.951,[1.847],0.22,-0.0,0.027,0.888,-6.392,-5.765,"[0.22, 0.0, 0.011]",turtlebot3_burger
0,33.352,[1.799],0.221,0.0,-0.012,0.888,-6.337,-5.696,"[0.22, 0.0, -0.007]",turtlebot3_burger
