episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.4,[1.201],-0.0,-0.0,-0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",youbot
0,0.801,[1.201],-0.0,-0.0,-0.003,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",youbot
0,1.201,[1.18],0.295,-0.286,0.307,0.066,-8.471,-9.234,"[0.8, -0.8, 1.153]",youbot
0,1.705,[1.108],0.299,-0.307,0.2,0.192,-8.306,-9.364,"[0.8, -0.8, 1.2]",youbot
0,2.201,[1.041],0.307,-0.311,0.164,0.285,-8.122,-9.481,"[0.8, -0.8, 1.2]",youbot
0,2.603,[1.004],0.302,-0.314,0.188,0.355,-7.975,-9.559,"[0.8, -0.744, 1.2]",youbot
0,3.103,[1.038],0.348,-0.281,0.34,0.497,-7.759,-9.629,"[0.8, -0.665, 1.2]",youbot
0,3.602,[1.223],0.334,-0.304,0.455,0.695,-7.537,-9.654,"[0.8, -0.775, 1.2]",youbot
0,4.008,[1.524],0.314,-0.33,0.293,0.876,-7.347,-9.65,"[0.8, -0.8, 1.2]",youbot
0,4.501,[1.768],0.315,-0.321,0.232,0.992,-7.126,-9.619,"[0.8, -0.788, 1.2]",youbot
0,4.903,[1.635],0.457,-0.085,0.091,1.071,-6.973,-9.55,"[0.8, 0.688, -1.067]",youbot
0,5.402,[1.524],0.387,0.28,-0.226,1.03,-6.944,-9.326,"[0.8, 0.597, -1.025]",youbot
0,5.902,[1.36],0.391,0.215,-0.475,0.813,-6.93,-9.105,"[0.8, 0.462, -1.2]",youbot
0,6.401,[1.209],0.387,0.169,-0.476,0.578,-6.854,-8.899,"[0.8, -0.647, 1.2]",youbot
0,6.902,[1.186],0.379,-0.293,0.061,0.467,-6.658,-8.845,"[0.8, -0.76, 0.686]",youbot
0,7.401,[1.11],0.425,0.095,0.408,0.635,-6.442,-8.833,"[0.8, 0.372, -1.2]",youbot
0,7.805,[0.962],0.465,0.039,-0.08,0.699,-6.334,-8.67,"[0.8, 0.021, -1.2]",youbot
