episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.915,[1.11],0.0,-0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,1.394,[1.133],0.002,0.188,-2.115,-0.634,-3.709,9.257,"[0.0, 0.0, -1.43]",jackal
0,1.818,[1.281],0.757,0.0,0.001,-1.009,-3.619,9.183,"[1.257, 0.0, -0.999]",jackal
0,2.276,[0.961],1.795,0.096,-0.707,-1.06,-3.272,8.626,"[2.0, 0.0, -1.178]",jackal
0,2.691,[0.775],1.976,0.203,-1.208,-1.642,-3.004,7.865,"[2.0, 0.012, -0.722]",jackal
0,3.116,[1.016],2.0,0.001,-0.001,-1.818,-3.146,7.072,"[2.0, 0.0, 0.0]",jackal
0,3.565,[0.9],1.995,-0.017,0.123,-1.765,-3.362,6.176,"[2.0, 0.0, 0.095]",jackal
0,3.966,[0.909],2.002,-0.033,0.239,-1.707,-3.497,5.398,"[2.0, 0.0, 0.15]",jackal
0,4.421,[1.104],2.002,-0.018,0.137,-1.636,-3.596,4.481,"[2.0, 0.0, 0.054]",jackal
0,4.867,[1.089],1.903,0.002,-0.005,-1.609,-3.642,3.607,"[2.0, 0.0, 0.0]",jackal
0,5.313,[1.206],2.008,-0.03,0.214,-1.573,-3.67,2.722,"[2.0, 0.0, 0.134]",jackal
0,5.714,[1.184],1.949,0.0,0.015,-1.496,-3.652,1.932,"[2.0, 0.0, 0.19]",jackal
0,6.12,[1.12],1.922,-0.023,0.174,-1.381,-3.568,1.143,"[2.0, 0.0, 0.285]",jackal
0,6.567,[1.401],2.0,-0.041,0.31,-1.232,-3.356,0.26,"[2.0, 0.0, 0.253]",jackal
0,7.017,[1.791],2.001,-0.033,0.233,-1.13,-3.033,-0.551,"[2.0, 0.0, 0.077]",jackal
0,7.421,[1.642],2.004,-0.023,0.182,-1.085,-2.661,-1.306,"[2.0, 0.0, 0.046]",jackal
0,7.868,[1.409],2.0,0.0,0.001,-1.06,-2.24,-2.078,"[2.0, 0.0, 0.0]",jackal
0,8.318,[1.652],2.001,0.0,-0.003,-1.058,-1.812,-2.842,"[2.0, 0.0, 0.115]",jackal
0,8.718,[2.079],2.0,-0.012,0.073,-1.037,-1.413,-3.536,"[2.0, 0.0, 0.0]",jackal
0,9.158,[1.135],2.003,0.044,-0.329,-1.104,-0.974,-4.3,"[2.0, 0.0, -0.171]",jackal
0,9.649,[0.696],-0.0,-0.0,0.0,-1.172,-0.73,-4.818,"[-0.1, 0.0, -0.789]",jackal
0,10.055,[0.647],-0.043,0.022,-0.203,-1.317,-0.728,-4.771,"[0.123, 0.0, -0.782]",jackal
0,10.455,[0.612],0.038,0.071,-0.539,-1.509,-0.704,-4.78,"[0.0, 0.0, -0.592]",jackal
0,10.899,[0.591],0.164,-0.001,-0.119,-1.631,-0.7,-4.81,"[0.0, 0.0, -0.487]",jackal
0,12.954,[0.219],0.0,0.0,-0.0,-1.632,-0.702,-4.831,"[-0.1, 0.0, -0.789]",jackal
0,13.362,[0.253],-0.098,0.037,-0.274,-1.695,-0.694,-4.826,"[-0.1, 0.0, -0.014]",jackal
0,13.806,[0.214],-0.098,0.046,-0.341,-1.762,-0.68,-4.784,"[0.101, 0.0, 0.238]",jackal
0,14.262,[0.164],0.257,-0.004,0.201,-1.673,-0.694,-4.806,"[0.397, 0.0, 1.049]",jackal
0,14.705,[0.1],0.877,-0.008,0.124,-1.48,-0.706,-5.034,"[0.96, 0.0, 1.271]",jackal
