episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.821,[1.111],-0.0,0.0,0.004,-0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",youbot
0,1.258,[1.105],-0.173,0.0,0.05,0.022,-3.765,9.21,"[-0.16, 0.0, 0.078]",youbot
0,1.666,[1.1],-0.096,0.0,0.075,0.046,-3.823,9.208,"[-0.135, 0.0, 0.011]",youbot
0,2.074,[1.098],-0.139,-0.001,-0.024,0.06,-3.869,9.205,"[-0.133, 0.0, -0.04]",youbot
0,2.516,[1.103],-0.098,-0.0,-0.034,0.05,-3.918,9.203,"[-0.055, 0.0, -0.004]",youbot
0,2.958,[1.108],-0.137,-0.0,-0.022,0.039,-3.955,9.201,"[-0.138, 0.0, -0.017]",youbot
0,3.395,[1.11],-0.113,0.0,-0.013,0.036,-4.003,9.199,"[-0.034, 0.0, -0.192]",youbot
0,3.805,[1.155],0.001,-0.001,-0.647,-0.078,-4.017,9.198,"[0.014, 0.0, -0.776]",youbot
0,4.25,[1.412],0.314,-0.034,-0.793,-0.475,-3.967,9.173,"[0.543, 0.0, -1.053]",youbot
0,4.692,[1.378],0.415,0.005,-0.471,-0.76,-3.835,9.084,"[0.607, 0.0, -0.85]",youbot
0,5.158,[1.267],0.467,-0.002,-0.2,-0.899,-3.699,8.933,"[0.691, 0.0, -0.406]",youbot
0,5.6,[1.171],0.471,-0.001,-0.156,-0.979,-3.576,8.767,"[0.691, 0.0, -0.372]",youbot
0,6.003,[1.096],0.47,-0.004,-0.153,-1.046,-3.473,8.6,"[0.694, 0.0, -0.356]",youbot
0,6.409,[1.038],0.463,-0.005,-0.169,-1.112,-3.385,8.433,"[0.666, 0.0, -0.372]",youbot
0,6.834,[0.981],0.458,-0.006,-0.211,-1.193,-3.307,8.256,"[0.654, 0.0, -0.401]",youbot
0,7.24,[0.96],0.446,-0.002,-0.27,-1.289,-3.249,8.085,"[0.699, 0.0, -0.469]",youbot
0,7.7,[0.952],0.439,-0.007,-0.281,-1.418,-3.207,7.885,"[0.609, 0.0, -0.408]",youbot
0,8.122,[0.949],0.474,-0.004,-0.077,-1.504,-3.187,7.684,"[0.721, 0.0, -0.13]",youbot
0,8.575,[1.235],0.474,-0.003,-0.054,-1.537,-3.177,7.475,"[0.724, 0.0, -0.1]",youbot
0,9.027,[1.046],0.476,-0.002,-0.041,-1.563,-3.173,7.257,"[0.726, 0.0, -0.071]",youbot
0,9.433,[0.916],0.477,-0.002,-0.027,-1.579,-3.173,7.067,"[0.723, 0.0, -0.054]",youbot
0,9.864,[0.811],0.472,-0.001,-0.017,-1.591,-3.176,6.858,"[0.729, 0.0, -0.038]",youbot
0,10.301,[0.74],0.474,0.001,-0.017,-1.598,-3.181,6.659,"[0.724, 0.0, -0.025]",youbot
0,10.714,[0.716],0.477,-0.002,-0.013,-1.602,-3.187,6.458,"[0.727, 0.0, -0.016]",youbot
