episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.352,[1.285],-0.0,0.0,0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.78,[1.292],0.183,-0.0,0.05,0.002,-10.597,-10.89,"[0.159, 0.0, 0.358]",turtlebot3_burger
0,2.221,[1.298],0.214,-0.0,0.634,0.109,-10.517,-10.887,"[0.22, 0.0, 0.858]",turtlebot3_burger
0,2.626,[1.302],0.195,-0.0,0.715,0.427,-10.44,-10.867,"[0.22, 0.0, 0.608]",turtlebot3_burger
0,3.066,[1.329],0.21,-0.0,0.262,0.656,-10.359,-10.815,"[0.22, 0.0, 0.341]",turtlebot3_burger
0,3.468,[1.394],0.218,-0.0,0.258,0.78,-10.302,-10.766,"[0.22, 0.0, 0.184]",turtlebot3_burger
0,3.875,[1.471],0.205,-0.0,0.177,0.867,-10.238,-10.697,"[0.22, 0.0, 0.187]",turtlebot3_burger
0,4.276,[1.53],0.214,-0.0,0.2,0.904,-10.19,-10.638,"[0.206, 0.0, 0.14]",turtlebot3_burger
0,4.719,[1.6],0.208,0.0,0.085,0.922,-10.132,-10.561,"[0.22, 0.0, -0.087]",turtlebot3_burger
0,5.124,[1.671],0.221,0.0,-0.093,0.903,-10.079,-10.493,"[0.22, 0.0, -0.006]",turtlebot3_burger
0,5.567,[1.734],0.22,-0.0,0.057,0.889,-10.021,-10.42,"[0.207, 0.0, 0.078]",turtlebot3_burger
0,5.97,[1.809],0.207,0.0,-0.016,0.913,-9.968,-10.354,"[0.22, 0.0, 0.025]",turtlebot3_burger
0,6.376,[1.889],0.217,0.0,0.057,0.923,-9.912,-10.28,"[0.22, 0.0, -0.026]",turtlebot3_burger
0,6.821,[1.952],0.218,0.0,0.078,0.944,-9.856,-10.205,"[0.22, 0.0, 0.066]",turtlebot3_burger
0,7.275,[2.04],0.219,-0.0,0.091,0.959,-9.801,-10.128,"[0.207, 0.0, 0.002]",turtlebot3_burger
0,7.724,[2.107],0.216,0.0,-0.059,0.942,-9.745,-10.048,"[0.22, 0.0, -0.143]",turtlebot3_burger
0,8.126,[2.19],0.21,0.0,-0.107,0.904,-9.692,-9.978,"[0.22, 0.0, -0.037]",turtlebot3_burger
0,8.526,[2.245],0.208,0.0,-0.084,0.877,-9.642,-9.916,"[0.206, 0.0, -0.01]",turtlebot3_burger
0,8.967,[2.318],0.192,-0.0,0.057,0.867,-9.579,-9.841,"[0.22, 0.0, 0.033]",turtlebot3_burger
0,9.372,[2.385],0.22,0.0,0.037,0.899,-9.526,-9.776,"[0.22, 0.0, -0.033]",turtlebot3_burger
0,9.815,[2.46],0.197,0.0,0.068,0.917,-9.467,-9.702,"[0.22, 0.0, 0.05]",turtlebot3_burger
0,10.222,[2.533],0.212,0.0,-0.043,0.934,-9.413,-9.63,"[0.206, 0.0, 0.056]",turtlebot3_burger
0,10.673,[2.615],0.188,-0.0,-0.015,0.917,-9.358,-9.556,"[0.22, 0.0, -0.154]",turtlebot3_burger
0,11.073,[2.68],0.22,0.0,-0.049,0.87,-9.304,-9.49,"[0.22, 0.0, -0.09]",turtlebot3_burger
0,11.522,[2.744],0.22,0.0,0.035,0.852,-9.238,-9.413,"[0.207, 0.0, 0.043]",turtlebot3_burger
0,11.925,[2.821],0.209,0.0,0.017,0.857,-9.182,-9.349,"[0.194, 0.0, 0.017]",turtlebot3_burger
0,12.326,[2.869],0.192,-0.0,0.071,0.866,-9.128,-9.286,"[0.22, 0.0, 0.03]",turtlebot3_burger
0,12.774,[2.95],0.22,0.0,0.041,0.901,-9.071,-9.216,"[0.22, 0.0, 0.131]",turtlebot3_burger
0,13.226,[3.018],0.219,0.0,0.073,0.931,-9.01,-9.136,"[0.207, 0.0, 0.081]",turtlebot3_burger
0,13.668,[3.015],0.202,0.0,-0.112,0.937,-8.953,-9.057,"[0.22, 0.0, -0.104]",turtlebot3_burger
0,14.074,[2.939],0.22,0.0,-0.087,0.901,-8.904,-8.993,"[0.22, 0.0, -0.112]",turtlebot3_burger
0,14.529,[2.87],0.21,0.0,-0.341,0.87,-8.841,-8.915,"[0.206, 0.0, -0.562]",turtlebot3_burger
0,14.977,[2.779],0.224,0.0,-0.429,0.667,-8.775,-8.851,"[0.22, 0.0, -0.404]",turtlebot3_burger
0,15.422,[2.724],0.209,0.0,-0.265,0.51,-8.69,-8.795,"[0.22, 0.0, -0.175]",turtlebot3_burger
0,15.871,[2.664],0.197,0.0,-0.203,0.426,-8.599,-8.75,"[0.207, 0.0, -0.086]",turtlebot3_burger
0,16.277,[2.606],0.201,0.0,-0.202,0.375,-8.522,-8.717,"[0.22, 0.0, -0.007]",turtlebot3_burger
0,16.726,[2.515],0.204,0.0,0.138,0.361,-8.438,-8.686,"[0.22, 0.0, -0.053]",turtlebot3_burger
0,17.17,[2.445],0.209,-0.0,0.189,0.377,-8.352,-8.653,"[0.206, 0.0, 0.05]",turtlebot3_burger
0,17.576,[2.426],0.22,-0.0,0.002,0.407,-8.268,-8.617,"[0.22, 0.0, 0.042]",turtlebot3_burger
0,17.977,[2.389],0.22,0.0,-0.011,0.413,-8.195,-8.586,"[0.22, 0.0, 0.063]",turtlebot3_burger
0,18.433,[2.35],0.22,0.0,0.062,0.445,-8.097,-8.541,"[0.22, 0.0, 0.049]",turtlebot3_burger
0,18.87,[2.375],0.221,0.0,0.008,0.452,-8.014,-8.5,"[0.22, 0.0, 0.0]",turtlebot3_burger
0,19.271,[2.44],0.22,0.0,-0.001,0.453,-7.936,-8.463,"[0.22, 0.0, 0.074]",turtlebot3_burger
0,19.672,[2.527],0.217,0.0,0.026,0.47,-7.859,-8.424,"[0.22, 0.0, 0.0]",turtlebot3_burger
0,20.123,[2.493],0.209,-0.0,0.162,0.487,-7.775,-8.382,"[0.22, 0.0, 0.071]",turtlebot3_burger
0,20.525,[2.185],0.221,-0.0,-0.035,0.498,-7.699,-8.34,"[0.22, 0.0, -0.011]",turtlebot3_burger
0,20.928,[1.951],0.208,0.0,-0.054,0.487,-7.623,-8.299,"[0.22, 0.0, -0.045]",turtlebot3_burger
0,21.377,[1.867],0.221,0.0,-0.039,0.478,-7.535,-8.253,"[0.207, 0.0, -0.031]",turtlebot3_burger
0,21.778,[1.813],0.22,0.0,-0.003,0.453,-7.461,-8.216,"[0.22, 0.0, -0.001]",turtlebot3_burger
0,22.234,[1.759],0.22,0.0,0.017,0.451,-7.371,-8.172,"[0.207, 0.0, 0.017]",turtlebot3_burger
0,22.677,[1.693],0.22,0.0,0.027,0.452,-7.287,-8.132,"[0.22, 0.0, 0.032]",turtlebot3_burger
0,23.123,[1.653],0.22,0.0,-0.035,0.452,-7.204,-8.091,"[0.22, 0.0, 0.038]",turtlebot3_burger
0,23.53,[1.469],0.205,0.0,-0.02,0.466,-7.121,-8.05,"[0.22, 0.0, -0.05]",turtlebot3_burger
0,23.977,[1.281],0.219,0.001,-0.017,0.449,-7.038,-8.009,"[0.207, 0.0, 0.0]",turtlebot3_burger
0,24.378,[1.179],0.22,-0.0,0.004,0.459,-6.961,-7.972,"[0.22, 0.0, 0.0]",turtlebot3_burger
0,24.78,[1.149],0.224,0.0,-0.374,0.353,-6.881,-7.936,"[0.22, 0.0, -0.369]",turtlebot3_burger
0,25.214,[1.099],0.222,0.0,-0.229,0.239,-6.789,-7.908,"[0.22, 0.0, -0.205]",turtlebot3_burger
