episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.432,[1.305],0.0,0.0,-0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",jackal
0,0.933,[1.305],0.0,0.0,-0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",jackal
0,1.336,[1.303],0.791,0.019,0.149,0.002,-10.54,-10.89,"[1.811, 0.0, 1.748]",jackal
0,1.833,[1.369],1.489,-0.323,2.049,0.395,-9.913,-10.858,"[1.495, 0.0, 1.812]",jackal
0,2.233,[2.161],1.845,-0.626,2.569,1.318,-9.432,-10.521,"[2.0, 0.0, 1.141]",jackal
0,2.639,[2.896],1.745,-0.153,-1.231,1.847,-9.264,-9.708,"[2.0, 0.0, -1.899]",jackal
0,3.134,[3.11],1.924,0.942,-1.817,0.735,-9.257,-8.744,"[2.0, 0.0, -0.91]",jackal
0,3.537,[3.565],1.957,0.081,1.631,0.524,-8.722,-8.126,"[2.0, 0.0, 1.076]",jackal
0,3.951,[3.001],1.978,0.141,-1.087,0.605,-8.087,-7.596,"[2.0, 0.0, -0.635]",jackal
0,4.432,[2.244],1.967,-0.312,1.667,0.899,-7.297,-7.098,"[2.0, 0.0, 1.155]",jackal
0,4.837,[2.216],1.875,0.166,-1.243,1.104,-6.912,-6.458,"[2.0, 0.0, -1.473]",jackal
0,5.334,[2.295],1.849,0.006,0.989,0.501,-6.281,-5.727,"[2.0, 0.0, 1.276]",jackal
0,5.837,[3.667],1.915,-0.213,0.628,1.219,-5.602,-5.105,"[2.0, 0.0, -1.416]",jackal
0,6.261,[2.945],1.968,0.376,-1.58,0.645,-5.213,-4.339,"[2.0, 0.0, 0.757]",jackal
0,6.733,[2.361],1.982,-0.137,0.949,0.958,-4.493,-3.756,"[2.0, 0.0, -0.9]",jackal
0,7.135,[1.725],2.03,0.109,-0.169,0.651,-4.02,-3.118,"[2.0, 0.0, 0.783]",jackal
0,7.633,[1.158],2.01,-0.043,0.33,1.05,-3.33,-2.412,"[2.0, 0.0, 0.19]",jackal
0,8.133,[0.455],2.0,-0.077,0.572,1.208,-2.873,-1.519,"[2.0, 0.0, 0.313]",jackal
0,8.534,[0.719],1.974,-0.174,1.329,1.529,-2.649,-0.795,"[2.0, 0.0, 0.707]",jackal
0,9.034,[1.162],1.979,0.163,-1.078,1.382,-2.71,0.235,"[2.0, 0.0, -0.656]",jackal
0,9.533,[1.118],1.98,0.142,-1.077,0.897,-2.359,1.156,"[2.0, 0.0, 1.069]",jackal
0,10.033,[1.111],2.0,0.165,-1.206,0.855,-1.768,1.907,"[2.0, 0.0, -0.917]",jackal
0,10.433,[1.458],1.935,-0.107,0.805,0.575,-1.197,2.394,"[2.0, 0.0, 0.969]",jackal
0,10.932,[2.082],1.901,0.174,-0.244,0.495,-0.419,3.044,"[2.0, 0.0, 0.866]",jackal
0,11.332,[2.562],1.856,-0.009,-0.154,0.849,0.224,3.483,"[2.0, 0.0, -1.222]",jackal
0,11.734,[3.039],1.971,0.041,0.39,0.408,0.834,4.021,"[2.0, 0.0, 1.092]",jackal
0,12.134,[3.062],1.805,-0.116,0.139,0.861,1.465,4.39,"[2.0, 0.0, -1.442]",jackal
0,12.534,[3.048],1.873,0.118,-0.076,0.39,2.016,4.903,"[2.0, 0.0, 1.272]",jackal
0,12.941,[3.293],1.91,-0.161,-0.261,0.863,2.716,5.289,"[2.0, 0.0, -1.381]",jackal
0,13.435,[3.813],1.934,-0.031,0.663,0.418,3.431,5.844,"[2.0, 0.0, 1.406]",jackal
0,13.836,[4.228],1.826,-0.368,0.593,1.07,4.082,6.264,"[2.0, 0.0, -1.416]",jackal
0,14.335,[4.457],1.959,0.469,-1.932,0.358,4.684,6.993,"[2.0, 0.0, 1.057]",jackal
0,14.834,[3.528],1.973,-0.2,1.376,0.63,5.555,7.334,"[2.0, 0.0, 0.787]",jackal
0,15.333,[2.63],1.965,0.263,-1.677,0.467,6.32,8.036,"[2.0, 0.0, 0.486]",jackal
0,15.733,[1.9],1.988,-0.129,0.97,0.607,6.987,8.358,"[2.0, 0.0, 0.567]",jackal
0,16.233,[1.17],1.945,0.194,-1.367,0.746,7.707,9.025,"[2.0, 0.0, -1.13]",jackal
0,16.746,[1.171],1.976,-0.16,1.213,0.722,8.557,9.588,"[2.0, 0.0, 0.666]",jackal
0,17.233,[2.311],2.0,0.116,-0.883,0.608,9.199,10.214,"[2.0, 0.0, -0.609]",jackal
1,17.645,[1.307],0.16,-0.0,-0.132,0.017,-10.626,-10.89,"[2.0, 0.0, 1.463]",jackal
1,18.133,[1.318],1.646,-0.039,0.437,0.04,-10.148,-10.881,"[1.968, 0.0, 1.719]",jackal
1,18.533,[1.469],1.432,-0.384,2.446,0.746,-9.503,-10.79,"[1.516, 0.0, 1.536]",jackal
1,18.94,[2.638],1.927,-0.634,1.992,1.688,-9.119,-10.242,"[2.0, 0.0, -0.997]",jackal
1,19.439,[3.205],1.946,0.531,-2.245,1.174,-9.14,-9.283,"[2.0, 0.0, -1.436]",jackal
1,19.933,[2.577],1.849,0.152,1.363,0.475,-8.61,-8.443,"[2.0, 0.0, 1.29]",jackal
1,20.433,[1.617],1.915,0.17,-1.308,0.893,-7.933,-7.816,"[2.0, 0.0, -1.404]",jackal
1,20.84,[4.684],1.961,-0.159,1.225,0.654,-7.317,-7.295,"[2.0, 0.0, 0.966]",jackal
1,21.335,[0.667],1.974,0.18,-1.359,0.788,-6.678,-6.574,"[2.0, 0.0, 0.813]",jackal
1,21.741,[1.349],1.974,-0.187,1.398,0.98,-6.115,-6.046,"[2.0, 0.0, -0.835]",jackal
1,22.232,[1.852],1.987,0.094,-0.746,0.674,-5.568,-5.246,"[2.0, 0.0, 1.131]",jackal
1,22.633,[1.313],1.974,-0.202,1.338,0.992,-4.985,-4.762,"[2.0, 0.0, -0.246]",jackal
1,23.036,[1.199],2.001,0.101,-0.768,0.944,-4.551,-4.01,"[2.0, 0.0, -0.646]",jackal
1,23.536,[1.22],2.043,-0.018,0.222,0.565,-3.876,-3.346,"[2.0, 0.0, 0.916]",jackal
