episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.271,[1.305],0.0,0.0,-0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",jackal
0,1.685,[1.315],0.449,0.0,0.004,0.163,-10.623,-10.897,"[2.0, 0.0, 1.53]",jackal
0,2.176,[1.418],1.679,-0.066,0.515,0.198,-10.085,-10.808,"[2.0, 0.0, 1.534]",jackal
0,2.673,[1.941],1.975,-0.504,0.832,1.05,-9.202,-10.418,"[2.0, 0.0, -0.357]",jackal
0,3.174,[2.767],1.991,0.01,-0.085,0.993,-8.636,-9.556,"[2.0, 0.0, -0.074]",jackal
0,3.575,[3.074],2.009,0.024,-0.176,0.945,-8.19,-8.887,"[2.0, 0.0, -0.008]",jackal
0,4.075,[2.422],2.0,-0.001,0.012,0.943,-7.624,-8.109,"[2.0, 0.0, -0.021]",jackal
0,4.477,[1.954],2.001,0.0,-0.001,0.94,-7.125,-7.423,"[2.0, 0.0, 0.022]",jackal
0,4.972,[1.766],1.998,0.001,-0.022,0.938,-6.542,-6.625,"[2.0, 0.0, -0.017]",jackal
0,5.372,[2.026],2.0,0.001,-0.006,0.936,-6.088,-6.008,"[2.0, 0.0, -0.009]",jackal
0,5.776,[2.92],1.999,0.0,-0.008,0.935,-5.591,-5.333,"[2.0, 0.0, -0.005]",jackal
0,6.272,[3.14],1.999,0.004,-0.042,0.929,-5.017,-4.556,"[2.0, 0.0, -0.035]",jackal
0,6.771,[2.326],2.002,-0.017,0.119,0.989,-4.397,-3.709,"[2.0, 0.0, 0.273]",jackal
0,7.198,[1.646],1.955,0.102,-0.775,1.018,-3.986,-3.031,"[0.0, 0.0, 0.0]",jackal
0,7.722,[1.12],1.471,-0.013,0.099,0.744,-3.362,-2.332,"[2.0, 0.0, -1.159]",jackal
0,8.248,[0.795],0.171,-0.0,0.004,0.72,-3.066,-2.059,"[0.0, 0.0, 0.0]",jackal
0,8.737,[0.58],0.0,0.0,-0.0,0.633,-3.062,-2.05,"[0.0, 0.0, 0.0]",jackal
0,9.178,[0.475],-0.0,-0.0,0.0,0.515,-3.086,-2.056,"[0.0, 0.0, 0.0]",jackal
0,9.599,[0.406],0.002,0.011,-0.516,0.499,-3.088,-2.056,"[1.998, 0.0, 1.539]",jackal
0,10.126,[0.442],0.058,-0.036,0.277,0.572,-2.937,-2.014,"[0.0, 0.0, 0.0]",jackal
0,10.569,[0.45],0.539,-0.037,-0.288,0.505,-2.894,-1.994,"[1.82, 0.0, 1.567]",jackal
0,11.053,[1.21],0.963,-0.118,0.896,0.602,-2.505,-1.783,"[0.772, 0.0, 1.555]",jackal
0,11.567,[0.891],1.699,-0.084,0.612,1.204,-2.131,-1.33,"[2.0, 0.0, 1.538]",jackal
0,12.321,[1.135],0.33,-0.259,1.969,2.882,-2.068,-0.206,"[0.325, 0.0, 1.545]",jackal
0,12.764,[1.466],0.2,0.07,-0.537,-3.088,-2.17,-0.164,"[-0.256, 0.0, -1.561]",jackal
0,13.178,[1.134],-0.137,0.235,-1.875,2.669,-2.175,-0.234,"[-0.082, 0.0, -1.57]",jackal
0,13.652,[1.068],0.589,-0.003,-0.032,2.192,-2.201,-0.28,"[2.0, 0.0, -1.536]",jackal
0,14.123,[1.261],1.677,0.079,-0.613,2.139,-2.538,0.194,"[1.988, 0.0, -1.57]",jackal
0,15.246,[1.027],0.352,-0.023,0.445,1.276,-2.856,1.52,"[1.987, 0.0, -1.57]",jackal
0,15.664,[1.115],1.541,-0.0,-0.002,1.29,-2.759,1.853,"[2.0, 0.0, -1.535]",jackal
0,16.15,[1.479],1.952,0.511,-2.291,0.713,-2.435,2.676,"[2.0, 0.0, -0.908]",jackal
0,16.646,[2.298],1.995,-0.029,0.226,0.533,-1.674,3.239,"[2.0, 0.0, 0.078]",jackal
0,17.049,[2.707],2.0,-0.0,0.011,0.561,-0.992,3.654,"[2.0, 0.0, 0.042]",jackal
0,17.548,[2.858],1.999,-0.002,0.025,0.57,-0.117,4.208,"[2.0, 0.0, 0.024]",jackal
0,17.949,[2.519],2.0,-0.001,0.018,0.573,0.527,4.623,"[2.0, 0.0, 0.016]",jackal
0,18.449,[2.401],1.992,0.001,-0.021,0.574,1.367,5.166,"[2.0, 0.0, 0.015]",jackal
0,18.948,[2.68],2.0,-0.0,0.009,0.576,2.201,5.706,"[2.0, 0.0, 0.015]",jackal
0,19.448,[3.219],2.0,0.0,-0.0,0.57,3.051,6.257,"[2.0, 0.0, 0.009]",jackal
0,19.852,[3.944],1.998,-0.0,0.005,0.571,3.719,6.686,"[2.0, 0.0, 0.016]",jackal
0,20.347,[3.526],2.0,0.0,-0.005,0.569,4.562,7.227,"[2.0, 0.0, -0.003]",jackal
0,20.748,[2.772],1.999,0.0,0.002,0.569,5.233,7.656,"[2.0, 0.0, -0.002]",jackal
0,21.151,[4.461],2.001,0.0,-0.001,0.57,5.911,8.091,"[2.0, 0.0, -0.046]",jackal
0,21.653,[1.781],2.0,-0.006,0.043,0.569,6.784,8.647,"[2.0, 0.0, 0.028]",jackal
0,22.147,[1.842],1.993,0.0,0.001,0.575,7.596,9.169,"[2.0, 0.0, 0.718]",jackal
0,22.547,[2.188],2.002,0.016,-0.115,0.705,8.241,9.644,"[2.0, 0.0, -0.41]",jackal
0,23.053,[2.27],1.987,-0.117,0.826,0.724,9.066,10.272,"[2.0, 0.0, -0.846]",jackal
1,23.509,[1.306],0.794,0.001,-0.014,0.006,-10.533,-10.889,"[-0.297, 0.0, 1.551]",jackal
1,23.953,[1.313],1.662,-0.052,0.479,0.034,-10.01,-10.886,"[1.995, 0.0, 1.548]",jackal
1,24.433,[1.552],1.953,-0.548,2.302,0.827,-9.11,-10.702,"[2.0, 0.0, 1.525]",jackal
1,24.848,[2.25],1.997,0.06,-0.592,1.024,-8.604,-10.127,"[2.0, 0.0, 0.217]",jackal
1,25.248,[2.868],2.003,0.026,-0.168,1.019,-8.162,-9.414,"[2.0, 0.0, -0.088]",jackal
1,25.663,[1.915],2.001,0.006,-0.044,0.98,-7.714,-8.711,"[0.0, 0.0, 0.0]",jackal
1,26.146,[0.958],1.915,0.249,-1.541,0.717,-7.198,-7.985,"[0.0, 0.0, 0.0]",jackal
1,26.55,[0.559],0.249,-0.056,0.427,0.409,-6.904,-7.761,"[0.0, 0.0, 0.0]",jackal
1,26.954,[0.548],0.0,-0.002,-0.004,0.351,-6.886,-7.753,"[-0.491, 0.0, -1.565]",jackal
1,27.402,[0.615],-0.0,0.001,0.002,0.218,-6.932,-7.761,"[-0.5, 0.0, 1.57]",jackal
1,27.852,[0.798],-0.387,-0.004,0.592,0.731,-7.055,-7.867,"[-0.065, 0.0, 1.57]",jackal
1,28.381,[0.982],-0.291,-0.133,1.17,0.946,-7.151,-7.98,"[-0.125, 0.0, 1.57]",jackal
1,28.848,[1.019],0.758,-0.001,-0.02,1.295,-7.13,-7.968,"[2.0, 0.0, 1.555]",jackal
1,29.256,[0.726],1.391,-0.146,1.118,1.386,-6.97,-7.417,"[-0.349, 0.0, 1.563]",jackal
1,29.749,[4.209],-0.05,-0.414,3.155,2.82,-6.865,-7.024,"[-0.218, 0.0, -1.57]",jackal
1,30.157,[1.236],-0.127,0.014,-0.354,-2.914,-6.801,-6.946,"[0.381, 0.0, -1.565]",jackal
1,30.56,[4.394],0.034,0.026,-0.277,3.068,-6.83,-6.955,"[0.23, 0.0, -1.57]",jackal
1,31.052,[4.304],0.004,0.14,-1.054,2.748,-6.85,-6.985,"[0.416, 0.0, -1.57]",jackal
1,31.552,[4.4],0.253,0.136,-1.333,2.135,-6.912,-7.031,"[1.171, 0.0, -1.562]",jackal
1,32.048,[4.359],1.418,0.052,-0.399,1.996,-7.14,-6.603,"[1.415, 0.0, -1.57]",jackal
1,32.546,[2.768],1.953,0.424,-2.302,1.194,-7.313,-5.808,"[2.0, 0.0, -1.527]",jackal
1,33.047,[3.309],1.966,0.077,1.449,0.602,-6.776,-4.947,"[2.0, 0.0, 0.596]",jackal
1,33.447,[2.637],2.001,0.033,-0.238,0.653,-6.192,-4.469,"[2.0, 0.0, 0.165]",jackal
1,33.863,[1.955],1.99,-0.016,0.126,0.668,-5.512,-3.947,"[2.0, 0.0, 0.234]",jackal
1,34.297,[1.207],1.588,0.061,-0.458,0.618,-4.874,-3.435,"[-0.493, 0.0, -1.553]",jackal
1,34.761,[0.827],0.499,0.172,-0.996,0.109,-4.512,-3.183,"[0.0, 0.0, 0.0]",jackal
1,35.263,[0.812],-0.257,0.109,-0.888,-0.387,-4.462,-3.109,"[0.0, 0.0, 0.0]",jackal
1,35.67,[0.895],-0.13,0.004,-0.033,-0.863,-4.522,-3.011,"[-0.395, 0.0, -1.57]",jackal
1,36.16,[0.991],-0.578,0.085,-0.854,-1.397,-4.561,-2.82,"[-0.254, 0.0, -1.556]",jackal
1,36.605,[1.396],-0.462,0.057,-0.469,-1.606,-4.555,-2.586,"[-0.092, 0.0, -1.568]",jackal
