episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.466,[1.182],-0.0,0.0,0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,0.968,[1.182],-0.0,0.0,0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.467,[1.17],-0.0,0.0,0.0,0.0,-8.52,-9.19,"[0.22, 0.0, 0.081]",turtlebot3_burger
0,1.869,[1.19],0.194,0.0,0.005,-0.0,-8.474,-9.19,"[0.22, 0.0, 0.016]",turtlebot3_burger
0,2.367,[1.183],0.219,0.0,0.012,0.007,-8.365,-9.19,"[0.22, 0.0, -0.011]",turtlebot3_burger
0,2.77,[1.187],0.22,-0.0,0.014,0.009,-8.277,-9.189,"[0.22, 0.0, -0.008]",turtlebot3_burger
0,3.267,[1.181],0.218,0.0,-0.008,0.006,-8.167,-9.188,"[0.22, 0.0, -0.014]",turtlebot3_burger
0,3.686,[1.191],0.221,-0.0,-0.043,-0.004,-8.079,-9.188,"[0.22, 0.0, -0.053]",turtlebot3_burger
0,4.168,[1.19],0.221,-0.0,-0.089,-0.04,-7.976,-9.19,"[0.22, 0.0, -0.121]",turtlebot3_burger
0,4.67,[1.183],0.22,0.0,-0.134,-0.113,-7.859,-9.198,"[0.22, 0.0, -0.177]",turtlebot3_burger
0,5.167,[1.175],0.221,0.0,-0.169,-0.198,-7.75,-9.215,"[0.22, 0.0, -0.168]",turtlebot3_burger
0,5.576,[1.154],0.216,-0.0,0.388,-0.19,-7.664,-9.235,"[0.22, 0.0, -0.118]",turtlebot3_burger
0,6.067,[1.129],0.22,0.0,-0.128,-0.221,-7.562,-9.254,"[0.22, 0.0, -0.114]",turtlebot3_burger
0,6.567,[1.121],0.218,0.0,-0.078,-0.179,-7.457,-9.277,"[0.22, 0.0, -0.13]",turtlebot3_burger
0,6.97,[1.083],0.221,0.0,-0.066,-0.223,-7.37,-9.294,"[0.22, 0.0, -0.059]",turtlebot3_burger
0,7.378,[1.08],0.218,-0.0,0.245,-0.236,-7.285,-9.315,"[0.22, 0.0, 0.05]",turtlebot3_burger
0,7.869,[1.041],0.22,-0.0,0.033,-0.196,-7.178,-9.337,"[0.22, 0.0, 0.031]",turtlebot3_burger
0,8.367,[1.041],0.22,0.0,0.022,-0.184,-7.07,-9.358,"[0.22, 0.0, 0.018]",turtlebot3_burger
0,8.866,[1.006],0.22,0.0,0.032,-0.173,-6.962,-9.377,"[0.22, 0.0, 0.101]",turtlebot3_burger
0,9.268,[0.995],0.22,-0.0,0.057,-0.144,-6.875,-9.391,"[0.22, 0.0, 0.026]",turtlebot3_burger
0,9.767,[0.989],0.22,-0.0,0.071,-0.116,-6.76,-9.406,"[0.22, 0.0, 0.079]",turtlebot3_burger
0,10.167,[0.962],0.22,-0.0,0.064,-0.087,-6.672,-9.415,"[0.22, 0.0, 0.083]",turtlebot3_burger
0,10.568,[0.973],0.219,-0.0,0.119,-0.054,-6.585,-9.421,"[0.22, 0.0, 0.091]",turtlebot3_burger
0,10.968,[0.964],0.219,-0.0,0.104,-0.01,-6.505,-9.424,"[0.22, 0.0, 0.11]",turtlebot3_burger
0,11.369,[0.967],0.219,0.0,0.073,0.031,-6.41,-9.423,"[0.22, 0.0, 0.114]",turtlebot3_burger
0,11.866,[0.964],0.219,0.0,0.02,0.075,-6.3,-9.417,"[0.22, 0.0, -0.009]",turtlebot3_burger
0,12.366,[0.986],0.219,0.0,0.047,0.079,-6.198,-9.409,"[0.22, 0.0, 0.041]",turtlebot3_burger
0,12.768,[0.989],0.219,0.0,0.046,0.099,-6.103,-9.401,"[0.22, 0.0, 0.068]",turtlebot3_burger
0,13.268,[0.99],0.217,0.0,0.06,0.128,-6.002,-9.389,"[0.22, 0.0, 0.034]",turtlebot3_burger
0,13.67,[1.017],0.219,0.0,0.033,0.142,-5.907,-9.376,"[0.22, 0.0, 0.009]",turtlebot3_burger
0,14.071,[1.03],0.221,-0.0,-0.025,0.143,-5.828,-9.364,"[0.22, 0.0, -0.005]",turtlebot3_burger
0,14.569,[1.042],0.219,-0.0,0.07,0.152,-5.712,-9.348,"[0.22, 0.0, 0.043]",turtlebot3_burger
0,15.067,[1.061],0.22,0.0,0.013,0.166,-5.603,-9.33,"[0.22, 0.0, 0.039]",turtlebot3_burger
0,15.468,[1.077],0.22,0.0,-0.015,0.18,-5.517,-9.315,"[0.22, 0.0, -0.058]",turtlebot3_burger
0,15.868,[1.087],0.221,-0.0,-0.028,0.165,-5.43,-9.3,"[0.22, 0.0, -0.029]",turtlebot3_burger
0,16.366,[1.104],0.221,0.0,-0.106,0.205,-5.322,-9.279,"[0.22, 0.0, -0.09]",turtlebot3_burger
0,16.775,[1.133],0.221,0.0,-0.045,0.25,-5.236,-9.261,"[0.22, 0.0, -0.077]",turtlebot3_burger
0,17.265,[1.154],0.224,0.0,-0.06,0.286,-5.13,-9.233,"[0.22, 0.0, -0.154]",turtlebot3_burger
0,17.667,[1.187],0.217,-0.0,0.335,0.293,-5.045,-9.21,"[0.22, 0.0, -0.088]",turtlebot3_burger
0,18.167,[1.145],0.218,-0.0,0.187,0.319,-4.94,-9.177,"[0.22, 0.0, -0.041]",turtlebot3_burger
