episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.237,[1.201],-0.002,0.0,0.006,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",youbot
0,1.641,[1.209],-0.474,-0.001,0.049,0.04,-8.585,-9.195,"[-0.162, -0.005, 0.23]",youbot
0,2.079,[1.248],-0.403,-0.015,0.238,0.169,-8.724,-9.212,"[-0.433, -0.004, 0.106]",youbot
0,2.62,[1.29],0.024,-0.02,0.293,0.292,-8.862,-9.241,"[0.279, 0.014, 0.192]",youbot
0,3.022,[1.316],0.33,-0.162,-0.766,0.287,-8.761,-9.216,"[0.8, -0.037, -0.185]",youbot
0,3.557,[1.284],0.469,0.038,0.131,0.205,-8.513,-9.183,"[0.8, 0.047, 0.224]",youbot
0,3.979,[1.362],0.474,-0.006,-0.033,0.225,-8.318,-9.135,"[0.76, -0.027, -0.239]",youbot
0,4.387,[1.359],0.468,-0.019,-0.2,0.163,-8.123,-9.103,"[0.745, -0.007, -0.062]",youbot
0,4.793,[1.401],0.47,0.019,0.21,0.175,-7.945,-9.073,"[0.728, 0.033, 0.385]",youbot
0,5.198,[1.428],0.475,-0.01,-0.043,0.226,-7.754,-9.03,"[0.722, 0.001, 0.017]",youbot
0,5.699,[1.362],0.456,0.015,0.262,0.262,-7.534,-8.976,"[0.565, 0.004, 0.276]",youbot
0,6.196,[1.277],0.474,0.013,0.07,0.317,-7.303,-8.9,"[0.612, -0.008, -0.131]",youbot
0,6.684,[1.255],0.431,-0.013,-0.303,0.216,-7.099,-8.847,"[0.718, -0.02, -0.258]",youbot
0,7.112,[1.274],0.449,-0.018,-0.24,0.082,-6.909,-8.826,"[0.006, -0.001, -0.636]",youbot
0,7.522,[1.216],-0.221,0.001,-0.639,-0.087,-6.832,-8.838,"[-0.268, 0.024, -0.779]",youbot
0,7.94,[1.341],0.013,0.06,-0.822,-0.41,-6.918,-8.808,"[0.04, -0.006, -0.71]",youbot
0,8.367,[1.364],0.434,-0.029,-0.316,-0.713,-6.852,-8.866,"[0.326, 0.047, -0.439]",youbot
0,8.845,[1.19],0.408,0.006,0.065,-0.802,-6.719,-9.002,"[0.201, 0.003, 0.131]",youbot
0,9.306,[1.109],0.046,0.034,0.463,-0.667,-6.607,-9.106,"[0.08, 0.003, 0.419]",youbot
0,9.709,[1.166],0.187,0.007,1.001,-0.425,-6.582,-9.114,"[-0.07, -0.002, 0.577]",youbot
0,10.132,[1.139],0.373,0.021,0.503,-0.071,-6.515,-9.129,"[0.257, 0.014, 0.346]",youbot
0,10.627,[1.079],0.164,-0.014,-0.194,0.021,-6.436,-9.128,"[-0.025, 0.002, -0.577]",youbot
0,11.11,[1.128],0.129,-0.009,-0.837,-0.233,-6.386,-9.136,"[0.302, 0.003, -0.161]",youbot
0,11.604,[1.057],-0.041,0.005,-0.856,-0.728,-6.34,-9.152,"[-0.122, 0.013, -0.514]",youbot
0,12.11,[1.076],-0.455,0.001,-0.096,-0.928,-6.392,-9.088,"[-0.32, 0.004, -0.113]",youbot
0,12.563,[1.173],-0.011,0.017,0.367,-0.89,-6.46,-8.993,"[0.256, 0.022, 0.572]",youbot
0,13.015,[1.169],0.415,0.05,0.435,-0.627,-6.362,-9.065,"[0.449, 0.078, 0.84]",youbot
0,13.511,[1.178],0.18,0.023,0.969,-0.332,-6.209,-9.13,"[0.506, 0.016, 1.2]",youbot
0,13.922,[1.247],-0.042,0.012,0.557,0.018,-6.129,-9.143,"[-0.1, -0.012, 1.044]",youbot
0,14.339,[1.352],0.004,-0.002,0.288,0.254,-6.17,-9.151,"[0.079, 0.003, 0.259]",youbot
0,14.765,[1.363],0.03,-0.001,-0.248,0.304,-6.151,-9.14,"[-0.026, -0.005, -0.472]",youbot
0,15.279,[1.278],-0.191,-0.027,-0.478,0.044,-6.155,-9.145,"[-0.135, 0.014, -0.844]",youbot
0,15.715,[1.198],0.058,-0.011,-0.529,-0.214,-6.175,-9.149,"[-0.113, 0.008, -0.48]",youbot
0,16.216,[1.169],-0.146,-0.01,-0.343,-0.415,-6.259,-9.117,"[-0.206, 0.007, -0.197]",youbot
0,16.701,[1.174],-0.028,0.023,-0.276,-0.521,-6.346,-9.082,"[-0.259, 0.001, -0.081]",youbot
0,17.102,[1.227],-0.334,0.127,0.595,-0.515,-6.414,-9.029,"[-0.036, -0.001, 0.068]",youbot
0,17.523,[1.253],0.359,-0.006,-0.007,-0.473,-6.412,-9.022,"[0.559, -0.002, 0.001]",youbot
0,18.015,[1.151],0.475,-0.012,-0.007,-0.465,-6.222,-9.121,"[0.375, 0.002, 0.058]",youbot
