episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.247,[1.097],-0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.676,[1.098],-0.154,0.0,-0.172,-0.027,-3.75,9.21,"[-0.156, 0.0, -0.491]",turtlebot3_burger
0,2.11,[1.089],-0.054,0.0,-0.336,-0.141,-3.804,9.214,"[0.13, 0.0, -0.656]",turtlebot3_burger
0,2.515,[1.081],0.01,0.0,-0.541,-0.165,-3.789,9.212,"[0.127, 0.0, -0.861]",turtlebot3_burger
0,2.966,[1.08],0.133,0.0,-0.584,-0.305,-3.766,9.206,"[0.131, 0.0, -0.904]",turtlebot3_burger
0,3.416,[1.121],0.197,0.001,-1.185,-0.736,-3.7,9.168,"[0.191, 0.001, -1.074]",turtlebot3_burger
0,3.886,[1.188],0.219,0.0,-0.737,-1.143,-3.642,9.087,"[0.22, 0.0, -0.689]",turtlebot3_burger
0,4.307,[1.272],0.209,0.0,-0.499,-1.383,-3.614,8.996,"[0.22, 0.0, -0.327]",turtlebot3_burger
0,4.732,[1.34],0.221,0.0,-0.194,-1.502,-3.603,8.908,"[0.22, 0.0, -0.21]",turtlebot3_burger
0,5.167,[1.334],0.212,0.0,-0.189,-1.59,-3.6,8.807,"[0.22, 0.0, -0.135]",turtlebot3_burger
0,5.575,[1.328],0.212,0.0,-0.094,-1.642,-3.604,8.73,"[0.22, 0.0, 0.008]",turtlebot3_burger
0,6.013,[1.277],0.208,0.0,0.021,-1.643,-3.611,8.636,"[0.22, 0.0, 0.013]",turtlebot3_burger
0,6.414,[1.242],0.22,0.0,0.025,-1.636,-3.618,8.541,"[0.22, 0.0, 0.03]",turtlebot3_burger
0,6.823,[1.196],0.221,0.0,-0.047,-1.647,-3.624,8.455,"[0.22, 0.0, -0.038]",turtlebot3_burger
0,7.272,[1.154],0.192,0.0,0.013,-1.661,-3.632,8.36,"[0.207, 0.0, 0.033]",turtlebot3_burger
0,7.719,[1.117],0.206,0.0,-0.001,-1.665,-3.641,8.262,"[0.22, 0.0, 0.0]",turtlebot3_burger
0,8.12,[1.1],0.219,0.0,0.012,-1.664,-3.649,8.176,"[0.207, 0.0, 0.014]",turtlebot3_burger
0,8.568,[1.064],0.219,0.0,0.03,-1.657,-3.658,8.075,"[0.207, 0.0, 0.025]",turtlebot3_burger
0,8.97,[1.07],0.213,0.0,-0.003,-1.65,-3.665,7.996,"[0.22, 0.0, 0.027]",turtlebot3_burger
0,9.417,[1.061],0.211,-0.0,0.009,-1.639,-3.672,7.895,"[0.22, 0.0, 0.034]",turtlebot3_burger
0,9.817,[1.06],0.22,-0.0,0.035,-1.633,-3.678,7.816,"[0.22, 0.0, 0.027]",turtlebot3_burger
0,10.217,[1.069],0.22,0.0,0.034,-1.619,-3.683,7.722,"[0.22, 0.0, 0.025]",turtlebot3_burger
0,10.617,[1.077],0.22,0.0,0.024,-1.609,-3.687,7.636,"[0.22, 0.0, 0.033]",turtlebot3_burger
0,11.026,[1.096],0.219,0.0,0.021,-1.603,-3.689,7.549,"[0.207, 0.0, 0.031]",turtlebot3_burger
0,11.473,[1.133],0.219,0.0,0.003,-1.598,-3.692,7.448,"[0.22, 0.0, 0.011]",turtlebot3_burger
0,11.916,[1.173],0.219,0.0,0.015,-1.596,-3.695,7.354,"[0.207, 0.0, -0.008]",turtlebot3_burger
0,12.375,[1.219],0.22,0.0,-0.028,-1.615,-3.698,7.252,"[0.207, 0.0, -0.028]",turtlebot3_burger
0,12.809,[1.264],0.213,0.0,-0.109,-1.63,-3.702,7.165,"[0.22, 0.0, -0.002]",turtlebot3_burger
0,13.216,[1.305],0.217,-0.0,-0.04,-1.638,-3.708,7.078,"[0.22, 0.0, 0.001]",turtlebot3_burger
0,13.621,[1.351],0.221,0.0,-0.051,-1.65,-3.714,6.992,"[0.22, 0.0, -0.026]",turtlebot3_burger
0,14.07,[1.43],0.221,0.0,-0.017,-1.667,-3.724,6.882,"[0.22, 0.0, -0.016]",turtlebot3_burger
0,14.517,[1.401],0.221,0.0,-0.075,-1.685,-3.734,6.787,"[0.22, 0.0, -0.067]",turtlebot3_burger
0,14.919,[1.385],0.208,0.0,-0.116,-1.719,-3.745,6.701,"[0.22, 0.0, -0.101]",turtlebot3_burger
0,15.323,[1.369],0.22,0.0,-0.053,-1.747,-3.759,6.615,"[0.22, 0.0, 0.037]",turtlebot3_burger
0,15.769,[1.342],0.22,0.0,-0.03,-1.729,-3.775,6.522,"[0.22, 0.0, 0.039]",turtlebot3_burger
0,16.212,[1.329],0.219,0.0,0.056,-1.71,-3.79,6.421,"[0.22, 0.0, 0.044]",turtlebot3_burger
0,16.624,[1.319],0.217,-0.0,0.046,-1.695,-3.802,6.335,"[0.207, 0.0, 0.047]",turtlebot3_burger
0,17.069,[1.332],0.214,-0.0,-0.024,-1.674,-3.813,6.234,"[0.22, 0.0, 0.054]",turtlebot3_burger
0,17.478,[1.335],0.221,0.0,-0.033,-1.663,-3.821,6.148,"[0.22, 0.0, 0.023]",turtlebot3_burger
0,17.92,[1.333],0.208,-0.0,-0.01,-1.667,-3.83,6.055,"[0.22, 0.0, -0.005]",turtlebot3_burger
0,18.326,[1.339],0.221,0.0,-0.0,-1.67,-3.839,5.968,"[0.22, 0.0, 0.009]",turtlebot3_burger
0,18.765,[1.339],0.212,-0.0,-0.076,-1.672,-3.848,5.876,"[0.22, 0.0, 0.031]",turtlebot3_burger
0,19.167,[1.359],0.218,-0.0,0.133,-1.671,-3.857,5.79,"[0.22, 0.0, 0.108]",turtlebot3_burger
0,19.568,[1.361],0.219,-0.0,0.073,-1.654,-3.865,5.698,"[0.22, 0.0, 0.039]",turtlebot3_burger
0,20.017,[1.38],0.209,-0.0,0.06,-1.625,-3.87,5.605,"[0.22, 0.0, 0.097]",turtlebot3_burger
0,20.471,[1.371],0.207,0.0,-0.157,-1.602,-3.874,5.511,"[0.22, 0.0, 0.082]",turtlebot3_burger
0,20.875,[1.377],0.218,-0.0,0.025,-1.58,-3.876,5.424,"[0.22, 0.0, 0.056]",turtlebot3_burger
0,21.329,[1.375],0.218,0.0,-0.007,-1.559,-3.876,5.323,"[0.22, 0.0, 0.039]",turtlebot3_burger
0,21.765,[1.363],0.221,0.0,0.014,-1.543,-3.874,5.228,"[0.22, 0.0, 0.025]",turtlebot3_burger
0,22.17,[1.351],0.22,-0.0,0.085,-1.531,-3.871,5.141,"[0.22, 0.0, 0.079]",turtlebot3_burger
0,22.571,[1.364],0.22,0.0,-0.006,-1.525,-3.867,5.055,"[0.22, 0.0, -0.014]",turtlebot3_burger
0,23.025,[1.358],0.206,-0.0,-0.003,-1.526,-3.863,4.961,"[0.22, 0.0, -0.009]",turtlebot3_burger
0,23.426,[1.342],0.22,0.0,-0.004,-1.531,-3.859,4.866,"[0.22, 0.0, -0.016]",turtlebot3_burger
0,23.874,[1.34],0.219,-0.0,0.099,-1.527,-3.855,4.765,"[0.22, 0.0, 0.095]",turtlebot3_burger
0,24.317,[1.341],0.214,-0.0,0.125,-1.499,-3.849,4.671,"[0.22, 0.0, 0.021]",turtlebot3_burger
0,24.718,[1.337],0.22,0.0,-0.007,-1.496,-3.843,4.585,"[0.22, 0.0, -0.001]",turtlebot3_burger
0,25.119,[1.341],0.22,-0.0,-0.015,-1.5,-3.836,4.499,"[0.22, 0.0, 0.066]",turtlebot3_burger
0,25.573,[1.285],0.219,0.0,0.028,-1.467,-3.827,4.397,"[0.22, 0.0, -0.04]",turtlebot3_burger
0,25.975,[1.252],0.21,0.0,0.058,-1.459,-3.818,4.311,"[0.22, 0.0, 0.088]",turtlebot3_burger
0,26.418,[1.174],0.22,-0.0,0.069,-1.44,-3.807,4.218,"[0.207, 0.0, 0.063]",turtlebot3_burger
0,26.827,[1.149],0.22,-0.0,0.024,-1.423,-3.795,4.132,"[0.22, 0.0, 0.016]",turtlebot3_burger
0,27.272,[1.091],0.193,0.0,0.023,-1.403,-3.779,4.033,"[0.22, 0.0, -0.033]",turtlebot3_burger
0,27.678,[1.064],0.218,0.0,-0.013,-1.416,-3.765,3.947,"[0.207, 0.0, -0.033]",turtlebot3_burger
0,28.118,[1.052],0.22,0.0,-0.046,-1.443,-3.752,3.857,"[0.22, 0.0, -0.029]",turtlebot3_burger
0,28.526,[1.03],0.221,0.0,-0.053,-1.455,-3.741,3.77,"[0.22, 0.0, -0.041]",turtlebot3_burger
0,28.975,[1.015],0.22,0.0,-0.023,-1.456,-3.73,3.67,"[0.22, 0.0, -0.009]",turtlebot3_burger
0,29.441,[1.014],0.221,0.0,-0.058,-1.471,-3.719,3.568,"[0.207, 0.0, -0.041]",turtlebot3_burger
0,29.869,[1.019],0.221,0.0,-0.072,-1.487,-3.71,3.474,"[0.207, 0.0, -0.066]",turtlebot3_burger
