episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.521,[1.095],-0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.931,[1.095],-0.201,0.0,-0.126,-0.005,-3.742,9.21,"[-0.195, 0.0, -0.219]",turtlebot3_burger
0,2.439,[1.091],-0.177,0.0,-0.3,-0.128,-3.835,9.215,"[-0.175, 0.0, -0.3]",turtlebot3_burger
0,2.934,[1.071],-0.149,0.0,-0.161,-0.262,-3.917,9.232,"[-0.136, 0.0, -0.261]",turtlebot3_burger
0,3.428,[1.051],0.079,0.0,-0.819,-0.482,-3.946,9.24,"[0.22, 0.0, -0.3]",turtlebot3_burger
0,3.832,[1.077],0.223,0.0,-0.298,-0.879,-3.901,9.199,"[0.22, 0.0, -0.29]",turtlebot3_burger
0,4.327,[1.166],0.222,0.0,-0.244,-1.002,-3.84,9.116,"[0.22, 0.0, -0.24]",turtlebot3_burger
0,4.728,[1.235],0.222,0.0,-0.233,-1.096,-3.796,9.039,"[0.22, 0.0, -0.228]",turtlebot3_burger
0,5.224,[1.337],0.222,0.0,-0.224,-1.209,-3.751,8.937,"[0.22, 0.0, -0.216]",turtlebot3_burger
0,5.725,[1.286],0.222,0.0,-0.217,-1.322,-3.715,8.825,"[0.22, 0.0, -0.208]",turtlebot3_burger
0,6.223,[1.227],0.222,0.0,-0.206,-1.425,-3.693,8.716,"[0.22, 0.0, -0.202]",turtlebot3_burger
0,6.631,[1.208],0.222,0.0,-0.211,-1.504,-3.684,8.628,"[0.22, 0.0, -0.197]",turtlebot3_burger
0,7.129,[1.153],0.221,0.0,-0.062,-1.568,-3.681,8.525,"[0.22, 0.0, 0.006]",turtlebot3_burger
0,7.633,[1.121],0.218,0.0,0.007,-1.569,-3.681,8.408,"[0.22, 0.0, -0.024]",turtlebot3_burger
0,8.126,[1.069],0.219,0.0,0.006,-1.575,-3.681,8.298,"[0.22, 0.0, 0.007]",turtlebot3_burger
0,8.621,[1.06],0.219,0.0,0.007,-1.575,-3.681,8.188,"[0.22, 0.0, -0.018]",turtlebot3_burger
0,9.028,[1.045],0.219,0.0,-0.012,-1.58,-3.682,8.1,"[0.22, 0.0, 0.016]",turtlebot3_burger
0,9.428,[1.039],0.22,-0.0,-0.012,-1.578,-3.682,8.012,"[0.22, 0.0, 0.001]",turtlebot3_burger
0,9.926,[1.046],0.219,0.0,-0.023,-1.582,-3.683,7.902,"[0.22, 0.0, 0.012]",turtlebot3_burger
0,10.327,[1.053],0.221,-0.0,-0.005,-1.58,-3.684,7.814,"[0.22, 0.0, -0.002]",turtlebot3_burger
0,10.826,[1.08],0.221,-0.0,-0.01,-1.581,-3.685,7.704,"[0.22, 0.0, 0.003]",turtlebot3_burger
0,11.326,[1.092],0.221,-0.0,-0.008,-1.58,-3.686,7.602,"[0.22, 0.0, 0.006]",turtlebot3_burger
0,11.73,[1.102],0.221,0.0,-0.001,-1.579,-3.687,7.514,"[0.22, 0.0, -0.001]",turtlebot3_burger
0,12.226,[1.15],0.221,0.0,-0.004,-1.578,-3.688,7.404,"[0.22, 0.0, 0.0]",turtlebot3_burger
0,12.721,[1.199],0.22,-0.0,-0.011,-1.578,-3.689,7.287,"[0.22, 0.0, 0.003]",turtlebot3_burger
0,13.124,[1.247],0.221,0.0,-0.002,-1.577,-3.689,7.206,"[0.22, 0.0, -0.003]",turtlebot3_burger
0,13.528,[1.304],0.22,0.0,0.003,-1.577,-3.69,7.118,"[0.22, 0.0, -0.004]",turtlebot3_burger
0,14.024,[1.374],0.221,0.0,-0.057,-1.607,-3.692,7.008,"[0.22, 0.0, -0.006]",turtlebot3_burger
0,14.427,[1.44],0.22,0.0,0.016,-1.609,-3.696,6.913,"[0.22, 0.0, -0.01]",turtlebot3_burger
0,14.927,[1.393],0.22,0.0,-0.001,-1.61,-3.7,6.803,"[0.22, 0.0, -0.016]",turtlebot3_burger
0,15.331,[1.33],0.22,0.0,0.016,-1.619,-3.704,6.715,"[0.22, 0.0, -0.016]",turtlebot3_burger
0,15.825,[1.306],0.219,-0.0,0.113,-1.612,-3.709,6.606,"[0.22, 0.0, 0.111]",turtlebot3_burger
0,16.226,[1.291],0.219,0.0,0.047,-1.582,-3.711,6.518,"[0.22, 0.0, -0.052]",turtlebot3_burger
0,16.626,[1.268],0.22,0.0,-0.098,-1.615,-3.713,6.43,"[0.22, 0.0, -0.151]",turtlebot3_burger
0,17.128,[1.249],0.218,0.0,0.106,-1.642,-3.72,6.327,"[0.22, 0.0, 0.123]",turtlebot3_burger
0,17.531,[1.236],0.218,0.0,0.025,-1.604,-3.725,6.24,"[0.22, 0.0, 0.061]",turtlebot3_burger
0,17.931,[1.229],0.221,0.0,-0.12,-1.617,-3.728,6.144,"[0.22, 0.0, -0.074]",turtlebot3_burger
0,18.425,[1.242],0.218,0.001,-0.108,-1.629,-3.734,6.035,"[0.22, 0.0, -0.07]",turtlebot3_burger
0,18.828,[1.244],0.222,0.0,-0.144,-1.671,-3.74,5.954,"[0.22, 0.0, -0.108]",turtlebot3_burger
0,19.322,[1.26],0.219,-0.0,0.198,-1.665,-3.753,5.845,"[0.22, 0.0, 0.201]",turtlebot3_burger
0,19.726,[1.257],0.198,0.015,-0.074,-1.598,-3.757,5.751,"[0.22, 0.0, 0.022]",turtlebot3_burger
0,20.229,[1.266],0.22,-0.0,0.107,-1.579,-3.76,5.643,"[0.22, 0.0, 0.071]",turtlebot3_burger
0,20.727,[1.249],0.221,0.0,-0.029,-1.561,-3.76,5.534,"[0.22, 0.0, -0.029]",turtlebot3_burger
0,21.228,[1.255],0.222,-0.0,0.032,-1.454,-3.75,5.437,"[0.22, 0.0, -0.064]",turtlebot3_burger
0,21.731,[1.225],0.222,0.0,-0.209,-1.521,-3.74,5.327,"[0.22, 0.0, -0.188]",turtlebot3_burger
0,22.132,[1.234],0.221,0.0,-0.062,-1.58,-3.738,5.239,"[0.22, 0.0, 0.036]",turtlebot3_burger
0,22.627,[1.221],0.221,-0.0,0.011,-1.568,-3.739,5.129,"[0.22, 0.0, 0.014]",turtlebot3_burger
0,23.029,[1.234],0.22,0.0,0.036,-1.558,-3.739,5.041,"[0.22, 0.0, 0.059]",turtlebot3_burger
0,23.527,[1.23],0.22,-0.0,0.046,-1.523,-3.736,4.932,"[0.22, 0.0, 0.07]",turtlebot3_burger
0,23.928,[1.225],0.22,-0.0,0.039,-1.498,-3.73,4.837,"[0.22, 0.0, 0.05]",turtlebot3_burger
0,24.425,[1.221],0.221,0.0,-0.003,-1.481,-3.721,4.735,"[0.22, 0.0, -0.003]",turtlebot3_burger
0,24.831,[1.198],0.221,0.0,-0.059,-1.489,-3.713,4.64,"[0.22, 0.0, -0.09]",turtlebot3_burger
0,25.324,[1.196],0.221,0.0,-0.081,-1.526,-3.707,4.537,"[0.22, 0.0, -0.056]",turtlebot3_burger
0,25.728,[1.217],0.22,0.0,-0.032,-1.541,-3.703,4.442,"[0.22, 0.0, -0.05]",turtlebot3_burger
0,26.222,[1.233],0.22,0.0,0.001,-1.551,-3.701,4.332,"[0.22, 0.0, -0.02]",turtlebot3_burger
0,26.623,[1.257],0.22,0.0,-0.008,-1.556,-3.699,4.244,"[0.22, 0.0, -0.012]",turtlebot3_burger
0,27.028,[1.23],0.219,0.0,-0.001,-1.559,-3.698,4.156,"[0.22, 0.0, -0.006]",turtlebot3_burger
0,27.527,[1.184],0.219,0.0,-0.001,-1.562,-3.697,4.053,"[0.22, 0.0, -0.01]",turtlebot3_burger
0,27.929,[1.134],0.219,0.0,-0.002,-1.565,-3.696,3.958,"[0.22, 0.0, 0.002]",turtlebot3_burger
0,28.428,[1.103],0.219,0.0,-0.0,-1.566,-3.696,3.855,"[0.22, 0.0, -0.007]",turtlebot3_burger
0,28.929,[1.08],0.219,0.0,0.004,-1.568,-3.695,3.738,"[0.22, 0.0, -0.005]",turtlebot3_burger
0,29.329,[1.044],0.219,0.0,-0.004,-1.569,-3.695,3.65,"[0.22, 0.0, -0.002]",turtlebot3_burger
0,29.825,[1.043],0.219,0.0,-0.001,-1.57,-3.695,3.54,"[0.22, 0.0, -0.001]",turtlebot3_burger
0,30.226,[1.032],0.219,0.0,0.001,-1.571,-3.695,3.452,"[0.22, 0.0, 0.001]",turtlebot3_burger
0,30.626,[1.029],0.221,-0.0,-0.005,-1.571,-3.695,3.364,"[0.22, 0.0, -0.009]",turtlebot3_burger
0,31.027,[1.035],0.221,0.0,-0.002,-1.572,-3.695,3.276,"[0.22, 0.0, 0.001]",turtlebot3_burger
0,31.428,[1.051],0.22,0.0,-0.001,-1.572,-3.695,3.189,"[0.22, 0.0, -0.002]",turtlebot3_burger
0,31.925,[1.071],0.221,0.0,-0.003,-1.572,-3.695,3.079,"[0.22, 0.0, -0.002]",turtlebot3_burger
0,32.328,[1.089],0.22,0.0,0.002,-1.572,-3.695,2.998,"[0.22, 0.0, -0.003]",turtlebot3_burger
0,32.729,[1.125],0.219,0.0,0.007,-1.573,-3.696,2.91,"[0.22, 0.0, -0.0]",turtlebot3_burger
0,33.133,[1.154],0.219,0.0,0.007,-1.573,-3.696,2.815,"[0.22, 0.0, 0.003]",turtlebot3_burger
0,33.627,[1.196],0.219,0.0,0.002,-1.573,-3.696,2.712,"[0.22, 0.0, 0.001]",turtlebot3_burger
0,34.032,[1.218],0.217,-0.0,-0.106,-1.59,-3.697,2.617,"[0.22, 0.0, -0.148]",turtlebot3_burger
0,34.526,[1.228],0.218,0.0,-0.134,-1.68,-3.703,2.506,"[0.22, 0.0, -0.057]",turtlebot3_burger
0,35.026,[1.223],0.22,0.0,-0.048,-1.67,-3.715,2.397,"[0.22, 0.0, -0.152]",turtlebot3_burger
0,35.428,[1.255],0.221,0.0,-0.214,-1.744,-3.727,2.31,"[0.22, 0.0, -0.205]",turtlebot3_burger
0,35.928,[1.27],0.215,0.0,0.197,-1.764,-3.749,2.201,"[0.22, 0.0, 0.225]",turtlebot3_burger
0,36.331,[1.279],0.219,-0.0,0.225,-1.683,-3.762,2.122,"[0.22, 0.0, 0.222]",turtlebot3_burger
0,36.824,[1.297],0.22,0.0,0.02,-1.588,-3.768,2.006,"[0.22, 0.0, -0.085]",turtlebot3_burger
0,37.226,[1.308],0.219,-0.0,0.197,-1.573,-3.77,1.926,"[0.22, 0.0, 0.201]",turtlebot3_burger
0,37.728,[1.291],0.217,0.0,0.195,-1.482,-3.765,1.817,"[0.22, 0.0, 0.226]",turtlebot3_burger
0,38.231,[0.965],0.218,-0.0,0.215,-1.368,-3.749,1.709,"[0.22, 0.0, 0.224]",turtlebot3_burger
0,43.52,[0.12],-0.0,0.0,0.001,-0.047,-3.668,1.58,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,48.721,[1.237],-0.0,0.0,0.001,-0.044,-3.669,1.58,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,53.821,[1.22],-0.0,0.0,0.001,-0.041,-3.669,1.58,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,59.022,[1.228],-0.0,0.0,0.001,-0.038,-3.67,1.58,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,64.221,[1.233],-0.0,0.0,0.001,-0.035,-3.671,1.58,"[0.0, 0.0, 0.0]",turtlebot3_burger
1,180.532,[1.137],-0.0,0.0,0.0,0.763,-3.587,1.624,"[0.0, 0.0, 0.0]",turtlebot3_burger
1,181.038,[1.104],-0.0,0.0,0.0,-0.003,-3.709,9.21,"[-0.158, 0.0, -0.163]",turtlebot3_burger
1,181.44,[1.102],-0.142,0.0,0.001,-0.0,-3.723,9.21,"[-0.209, 0.0, -0.125]",turtlebot3_burger
1,181.843,[1.093],-0.196,0.0,-0.293,-0.066,-3.802,9.212,"[-0.195, 0.0, -0.3]",turtlebot3_burger
1,182.342,[1.078],-0.168,0.0,-0.27,-0.194,-3.892,9.224,"[-0.166, 0.0, -0.3]",turtlebot3_burger
1,182.746,[1.062],-0.085,0.0,-0.3,-0.311,-3.947,9.238,"[-0.019, 0.0, -0.3]",turtlebot3_burger
1,183.241,[1.06],0.107,0.0,-1.189,-0.831,-3.948,9.233,"[0.22, 0.0, -0.3]",turtlebot3_burger
1,183.74,[1.131],0.221,0.0,-0.208,-1.092,-3.897,9.15,"[0.22, 0.0, -0.211]",turtlebot3_burger
1,184.142,[1.216],0.219,0.0,-0.202,-1.169,-3.862,9.077,"[0.22, 0.0, -0.208]",turtlebot3_burger
1,184.642,[1.301],0.221,0.0,-0.206,-1.278,-3.822,8.966,"[0.22, 0.0, -0.204]",turtlebot3_burger
1,185.138,[1.25],0.221,0.0,-0.209,-1.378,-3.795,8.858,"[0.22, 0.0, -0.201]",turtlebot3_burger
1,185.539,[1.211],0.221,0.0,-0.15,-1.453,-3.782,8.771,"[0.22, 0.0, -0.128]",turtlebot3_burger
1,185.939,[1.159],0.22,0.0,-0.003,-1.488,-3.773,8.683,"[0.22, 0.0, -0.023]",turtlebot3_burger
1,186.34,[1.123],0.219,-0.0,-0.007,-1.499,-3.767,8.602,"[0.22, 0.0, -0.027]",turtlebot3_burger
1,186.832,[1.075],0.22,0.0,0.001,-1.506,-3.759,8.486,"[0.22, 0.0, -0.024]",turtlebot3_burger
1,187.233,[1.037],0.22,0.0,-0.056,-1.526,-3.754,8.398,"[0.22, 0.0, 0.004]",turtlebot3_burger
1,187.635,[1.023],0.22,-0.0,0.013,-1.519,-3.75,8.31,"[0.22, 0.0, 0.019]",turtlebot3_burger
1,188.041,[0.996],0.22,0.0,-0.021,-1.513,-3.745,8.222,"[0.22, 0.0, -0.013]",turtlebot3_burger
1,188.539,[0.991],0.22,0.0,-0.002,-1.51,-3.738,8.112,"[0.22, 0.0, 0.016]",turtlebot3_burger
1,189.038,[0.994],0.22,-0.0,0.007,-1.505,-3.731,8.003,"[0.22, 0.0, -0.028]",turtlebot3_burger
1,189.44,[0.975],0.22,0.0,-0.014,-1.505,-3.726,7.915,"[0.22, 0.0, 0.019]",turtlebot3_burger
1,189.939,[1.009],0.22,0.0,-0.004,-1.497,-3.718,7.813,"[0.22, 0.0, -0.062]",turtlebot3_burger
1,190.434,[1.032],0.22,0.0,-0.019,-1.511,-3.711,7.696,"[0.22, 0.0, 0.012]",turtlebot3_burger
1,190.841,[1.077],0.22,0.0,-0.03,-1.51,-3.705,7.608,"[0.22, 0.0, -0.006]",turtlebot3_burger
1,191.338,[1.112],0.222,-0.0,-0.213,-1.542,-3.699,7.498,"[0.22, 0.0, -0.147]",turtlebot3_burger
1,191.74,[1.141],0.219,-0.0,0.113,-1.561,-3.699,7.41,"[0.22, 0.0, 0.091]",turtlebot3_burger
1,192.236,[1.191],0.222,0.0,-0.138,-1.573,-3.697,7.3,"[0.22, 0.0, -0.23]",turtlebot3_burger
1,192.636,[1.248],0.222,0.0,-0.203,-1.657,-3.701,7.211,"[0.22, 0.0, -0.103]",turtlebot3_burger
1,193.043,[1.285],0.218,-0.0,0.177,-1.666,-3.71,7.124,"[0.22, 0.0, 0.173]",turtlebot3_burger
1,193.539,[1.342],0.218,-0.0,0.207,-1.57,-3.715,7.015,"[0.22, 0.0, 0.201]",turtlebot3_burger
1,194.038,[1.417],0.219,-0.0,0.172,-1.473,-3.71,6.906,"[0.22, 0.0, 0.071]",turtlebot3_burger
1,194.539,[1.384],0.221,0.0,-0.138,-1.501,-3.699,6.797,"[0.22, 0.0, -0.201]",turtlebot3_burger
1,194.941,[1.362],0.22,0.0,0.002,-1.557,-3.696,6.708,"[0.22, 0.0, 0.101]",turtlebot3_burger
1,195.439,[1.302],0.219,-0.0,0.073,-1.494,-3.692,6.599,"[0.22, 0.0, -0.021]",turtlebot3_burger
1,195.84,[1.254],0.221,0.0,-0.156,-1.529,-3.686,6.511,"[0.22, 0.0, -0.062]",turtlebot3_burger
