episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.401,[1.304],0.0,0.0,-0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",jackal
0,0.905,[1.305],0.0,0.0,-0.0,-0.0,-10.63,-10.89,"[2.0, 0.0, 1.62]",jackal
0,1.401,[1.308],1.473,-0.058,0.426,0.031,-10.181,-10.89,"[1.777, 0.0, 1.85]",jackal
0,1.802,[1.472],1.692,-0.478,2.55,0.699,-9.581,-10.807,"[1.65, 0.0, 1.531]",jackal
0,2.302,[2.671],1.742,-0.554,-0.233,1.795,-9.063,-10.03,"[2.0, 0.0, -1.367]",jackal
0,2.709,[3.264],1.96,0.348,-1.999,1.196,-9.067,-9.266,"[2.0, 0.0, -1.083]",jackal
0,3.202,[3.8],1.92,-0.165,1.248,0.8,-8.542,-8.469,"[2.0, 0.0, 1.242]",jackal
0,3.702,[4.38],1.961,0.26,-1.954,0.766,-7.994,-7.695,"[2.0, 0.0, 0.988]",jackal
0,4.202,[5.032],1.971,-0.218,1.41,0.937,-7.304,-7.095,"[2.0, 0.0, -1.16]",jackal
0,4.602,[4.334],1.963,0.33,-1.838,0.641,-6.842,-6.415,"[2.0, 0.0, 0.883]",jackal
0,5.1,[3.544],1.969,-0.335,1.521,1.048,-6.086,-5.819,"[2.0, 0.0, 0.782]",jackal
0,5.502,[2.814],1.919,0.275,-1.938,1.002,-5.763,-5.125,"[2.0, 0.0, -1.46]",jackal
0,6.001,[2.129],1.921,-0.161,1.219,0.651,-5.119,-4.481,"[2.0, 0.0, 1.114]",jackal
0,6.402,[1.64],1.904,0.026,-0.291,1.096,-4.595,-3.908,"[2.0, 0.0, -0.972]",jackal
0,6.9,[1.344],1.954,-0.091,0.694,0.721,-4.007,-3.152,"[2.0, 0.0, 0.896]",jackal
0,7.301,[1.207],1.948,0.009,-0.157,1.139,-3.486,-2.508,"[2.0, 0.0, -0.38]",jackal
0,7.702,[0.885],1.991,-0.139,0.844,1.145,-3.142,-1.843,"[2.0, 0.0, 0.62]",jackal
0,8.102,[0.985],2.001,-0.025,0.18,1.395,-2.895,-1.084,"[2.0, 0.0, 0.047]",jackal
0,8.602,[1.174],2.01,0.054,-0.42,1.326,-2.72,-0.1,"[2.0, 0.0, 1.102]",jackal
0,9.103,[1.307],1.965,0.231,-1.681,1.362,-2.562,0.905,"[2.0, 0.0, -1.233]",jackal
0,9.602,[1.152],1.98,0.201,-1.032,0.566,-2.113,1.758,"[2.0, 0.0, 0.458]",jackal
0,10.1,[1.297],1.943,0.094,-0.693,0.73,-1.309,2.329,"[2.0, 0.0, -1.299]",jackal
0,10.5,[0.948],1.912,-0.124,0.936,0.428,-0.656,2.744,"[2.0, 0.0, 0.875]",jackal
0,10.9,[0.79],1.976,-0.186,1.246,0.934,-0.006,3.18,"[2.0, 0.0, -1.113]",jackal
0,11.301,[2.835],1.968,0.272,-1.579,0.582,0.468,3.786,"[2.0, 0.0, -0.937]",jackal
0,11.701,[3.181],1.978,-0.196,1.506,0.542,1.155,4.131,"[2.0, 0.0, 1.103]",jackal
0,12.104,[2.988],1.862,0.148,-1.121,0.901,1.734,4.666,"[2.0, 0.0, -1.511]",jackal
0,12.601,[3.149],1.906,-0.176,1.35,0.542,2.462,5.235,"[2.0, 0.0, 1.325]",jackal
0,13.005,[3.398],1.853,0.175,-1.312,0.745,3.027,5.711,"[2.0, 0.0, -1.33]",jackal
0,13.5,[4.077],1.962,-0.284,1.873,0.565,3.862,6.196,"[2.0, 0.0, 1.251]",jackal
0,13.903,[3.697],1.944,0.211,-1.512,0.726,4.435,6.7,"[2.0, 0.0, -1.082]",jackal
0,14.402,[2.994],1.929,-0.02,-0.2,0.761,5.236,7.254,"[2.0, 0.0, -1.097]",jackal
0,14.901,[2.53],1.981,-0.148,1.121,0.658,6.023,7.812,"[2.0, 0.0, 0.779]",jackal
0,15.402,[2.059],1.969,0.207,-1.562,0.486,6.755,8.468,"[2.0, 0.0, 0.274]",jackal
0,15.902,[1.165],1.629,0.029,-0.22,0.439,7.621,8.886,"[1.353, 0.0, -0.284]",jackal
0,16.302,[0.648],1.286,0.044,-0.324,0.403,8.114,9.114,"[1.173, 0.0, -0.029]",jackal
0,16.802,[0.276],1.162,-0.064,0.566,0.419,8.715,9.355,"[1.803, 0.0, 0.587]",jackal
0,17.301,[2.802],1.966,-0.227,1.607,0.66,9.482,9.729,"[2.0, 0.0, 0.873]",jackal
0,17.703,[2.198],2.0,-0.068,0.515,1.036,10.025,10.312,"[2.0, 0.0, 0.447]",jackal
1,18.214,[1.303],1.072,-0.0,0.0,-0.012,-10.459,-10.892,"[1.776, 0.0, 1.831]",jackal
1,18.7,[1.403],1.424,-0.425,2.797,0.563,-9.818,-10.87,"[1.847, 0.0, 1.732]",jackal
1,19.102,[2.712],1.954,-0.724,1.774,1.498,-9.305,-10.367,"[2.0, 0.0, 1.034]",jackal
1,19.601,[3.121],1.951,0.327,-2.403,1.334,-9.212,-9.413,"[2.0, 0.0, -1.298]",jackal
1,20.002,[3.488],1.982,0.343,-0.883,0.688,-8.92,-8.678,"[2.0, 0.0, -0.518]",jackal
