episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.501,[1.108],0.0,-0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,0.901,[1.109],0.0,-0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",jackal
0,1.307,[1.115],0.271,0.063,-0.987,-0.096,-3.677,9.214,"[0.515, 0.0, -0.844]",jackal
0,1.802,[1.07],0.597,0.061,-0.46,-0.311,-3.441,9.185,"[-0.1, 0.0, -1.168]",jackal
0,2.203,[1.022],-0.427,0.083,-0.844,-0.41,-3.383,9.179,"[-0.108, 0.0, -1.251]",jackal
0,2.702,[1.042],0.542,-0.035,-0.868,-0.629,-3.392,9.177,"[0.652, 0.0, -1.255]",jackal
0,3.2,[0.872],1.199,0.076,-0.575,-1.354,-3.151,8.899,"[1.834, 0.0, -1.429]",jackal
0,3.602,[0.834],1.827,0.184,-1.398,-1.671,-3.056,8.246,"[2.0, 0.0, -1.282]",jackal
0,4.104,[1.195],2.0,-0.136,1.018,-2.046,-3.363,7.368,"[2.0, 0.0, 0.681]",jackal
0,4.602,[1.184],1.992,-0.077,0.583,-1.612,-3.652,6.423,"[2.0, 0.0, 0.407]",jackal
0,5.006,[0.798],2.002,-0.0,-0.001,-1.573,-3.649,5.584,"[2.0, 0.0, -0.078]",jackal
0,5.5,[0.913],1.963,-0.036,0.259,-1.582,-3.644,4.621,"[2.0, 0.0, 0.495]",jackal
0,5.907,[1.118],1.999,0.066,-0.488,-1.629,-3.622,3.832,"[2.0, 0.0, 0.533]",jackal
0,6.4,[1.19],1.992,0.078,-0.591,-1.647,-3.648,2.845,"[2.0, 0.0, 0.816]",jackal
0,6.9,[1.177],2.002,0.077,-0.585,-1.459,-3.645,1.819,"[2.0, 0.0, -0.237]",jackal
0,7.303,[1.172],1.948,-0.192,1.445,-1.444,-3.596,1.069,"[2.0, 0.0, 1.098]",jackal
0,7.718,[1.362],2.003,0.06,-0.461,-1.062,-3.327,0.282,"[2.0, 0.0, -0.402]",jackal
