episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.402,[1.188],0.0,0.0,-0.001,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,0.802,[1.183],-0.0,0.0,0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.301,[1.192],0.183,0.0,0.006,-0.0,-8.493,-9.19,"[0.22, 0.0, 0.487]",turtlebot3_burger
0,1.802,[1.18],0.215,-0.0,0.497,0.171,-8.391,-9.183,"[0.22, 0.0, 0.507]",turtlebot3_burger
0,2.302,[1.208],0.221,0.0,-0.138,0.358,-8.287,-9.152,"[0.22, 0.0, -0.124]",turtlebot3_burger
0,2.803,[1.249],0.221,0.0,-0.117,0.296,-8.183,-9.117,"[0.22, 0.0, -0.111]",turtlebot3_burger
0,3.302,[1.272],0.221,0.0,-0.088,0.245,-8.076,-9.087,"[0.22, 0.0, -0.085]",turtlebot3_burger
0,3.802,[1.313],0.221,-0.0,-0.084,0.206,-7.969,-9.063,"[0.22, 0.0, -0.079]",turtlebot3_burger
0,4.204,[1.33],0.221,0.0,-0.092,0.174,-7.882,-9.046,"[0.22, 0.0, -0.066]",turtlebot3_burger
0,4.7,[1.351],0.222,0.0,-0.161,0.214,-7.775,-9.025,"[0.22, 0.0, -0.15]",turtlebot3_burger
0,5.202,[1.368],0.221,0.0,-0.147,0.143,-7.666,-9.006,"[0.22, 0.0, 0.267]",turtlebot3_burger
0,5.604,[1.382],0.222,0.0,-0.167,0.17,-7.58,-8.992,"[0.22, 0.0, -0.138]",turtlebot3_burger
0,6.104,[1.384],0.212,-0.0,0.187,0.118,-7.471,-8.976,"[0.22, 0.0, 0.34]",turtlebot3_burger
0,6.601,[1.416],0.221,0.0,-0.143,0.127,-7.363,-8.961,"[0.22, 0.0, -0.118]",turtlebot3_burger
0,7.101,[1.407],0.213,0.0,-0.002,0.157,-7.254,-8.947,"[0.22, 0.0, -0.119]",turtlebot3_burger
0,7.501,[1.389],0.221,0.0,-0.111,0.12,-7.168,-8.935,"[0.22, 0.0, -0.122]",turtlebot3_burger
0,8.002,[1.382],0.222,0.0,-0.048,0.111,-7.058,-8.924,"[0.22, 0.0, -0.131]",turtlebot3_burger
0,8.5,[1.381],0.216,-0.0,0.323,0.109,-6.949,-8.914,"[0.22, 0.0, -0.102]",turtlebot3_burger
0,8.901,[1.367],0.221,0.0,-0.157,0.085,-6.862,-8.904,"[0.22, 0.0, -0.154]",turtlebot3_burger
0,9.301,[1.343],0.218,-0.0,0.281,0.088,-6.774,-8.898,"[0.22, 0.0, -0.144]",turtlebot3_burger
0,9.708,[1.347],0.222,0.0,-0.173,0.059,-6.686,-8.89,"[0.22, 0.0, -0.107]",turtlebot3_burger
0,10.2,[1.34],0.222,0.0,-0.139,0.057,-6.577,-8.884,"[0.22, 0.0, -0.124]",turtlebot3_burger
0,10.602,[1.346],0.221,0.0,-0.115,0.069,-6.489,-8.88,"[0.22, 0.0, -0.172]",turtlebot3_burger
0,11.102,[1.334],0.221,0.0,-0.096,0.063,-6.379,-8.874,"[0.22, 0.0, -0.14]",turtlebot3_burger
0,11.611,[1.329],0.222,0.0,-0.133,0.035,-6.269,-8.869,"[0.22, 0.0, 0.262]",turtlebot3_burger
0,12.102,[1.318],0.219,-0.0,0.238,0.034,-6.16,-8.864,"[0.22, 0.0, 0.32]",turtlebot3_burger
0,12.503,[1.329],0.222,0.0,-0.221,0.047,-6.074,-8.859,"[0.22, 0.0, -0.199]",turtlebot3_burger
0,13.008,[1.33],0.222,0.0,-0.199,0.023,-5.964,-8.855,"[0.22, 0.0, 0.236]",turtlebot3_burger
0,13.501,[1.323],0.223,0.0,-0.231,0.019,-5.854,-8.851,"[0.22, 0.0, 0.251]",turtlebot3_burger
0,13.904,[1.316],0.218,-0.0,0.242,0.053,-5.767,-8.848,"[0.22, 0.0, 0.309]",turtlebot3_burger
