episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.401,[1.306],-0.0,-0.0,0.001,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",youbot
0,0.9,[1.306],-0.0,-0.0,-0.003,-0.0,-10.63,-10.89,"[0.8, -0.538, 1.2]",youbot
0,1.304,[1.284],0.307,-0.273,0.294,0.113,-10.53,-10.957,"[0.8, -0.701, 1.2]",youbot
0,1.8,[1.226],0.313,-0.297,0.187,0.227,-10.359,-11.069,"[0.8, -0.721, 1.2]",youbot
0,2.204,[1.197],0.315,-0.293,0.227,0.314,-10.208,-11.15,"[0.8, -0.719, 1.2]",youbot
0,2.7,[1.213],0.334,-0.288,0.306,0.441,-10.005,-11.227,"[0.8, -0.699, 1.2]",youbot
0,3.105,[1.308],0.349,-0.284,0.405,0.585,-9.822,-11.263,"[0.8, -0.676, 1.2]",youbot
0,3.601,[1.679],0.334,-0.301,0.438,0.824,-9.598,-11.261,"[0.8, -0.8, 1.2]",youbot
0,4.002,[2.05],0.305,-0.326,0.236,0.954,-9.42,-11.244,"[0.8, -0.8, 1.2]",youbot
0,4.403,[2.379],0.307,-0.33,0.188,1.024,-9.253,-11.215,"[0.8, -0.8, 1.2]",youbot
0,4.905,[3.084],0.303,-0.331,0.252,1.138,-9.027,-11.156,"[0.8, -0.8, 1.2]",youbot
0,5.402,[3.731],0.293,-0.329,0.302,1.277,-8.82,-11.075,"[0.8, -0.8, 1.2]",youbot
0,5.803,[3.734],0.286,-0.325,0.333,1.398,-8.675,-10.997,"[0.8, -0.8, 1.2]",youbot
0,6.208,[3.779],0.284,-0.311,0.297,1.529,-8.532,-10.892,"[0.8, -0.8, 1.2]",youbot
0,6.702,[3.885],0.286,-0.31,0.262,1.662,-8.384,-10.751,"[0.8, -0.8, 1.2]",youbot
0,7.202,[3.988],0.289,-0.332,0.222,1.787,-8.245,-10.583,"[0.8, -0.8, 1.2]",youbot
0,7.604,[4.06],0.304,-0.317,0.164,1.865,-8.147,-10.427,"[0.8, -0.8, 1.2]",youbot
0,8.103,[4.133],0.299,-0.31,0.187,1.958,-8.049,-10.233,"[0.8, 0.8, -1.2]",youbot
0,8.602,[4.081],0.422,0.169,-0.073,2.048,-8.086,-10.019,"[0.8, 0.8, -1.2]",youbot
0,9.1,[3.899],0.3,0.329,-0.269,1.952,-8.288,-9.936,"[0.8, 0.8, -1.2]",youbot
0,9.5,[3.771],0.292,0.327,-0.308,1.829,-8.457,-9.862,"[0.8, 0.8, -1.2]",youbot
0,9.901,[3.659],0.287,0.318,-0.327,1.699,-8.605,-9.774,"[0.8, 0.8, -1.2]",youbot
0,10.302,[3.564],0.284,0.309,-0.282,1.586,-8.729,-9.674,"[0.8, 0.8, -1.2]",youbot
0,10.81,[3.483],0.287,0.312,-0.264,1.444,-8.884,-9.515,"[0.8, 0.8, -1.2]",youbot
0,11.306,[3.462],0.297,0.324,-0.192,1.324,-9.019,-9.342,"[0.8, 0.8, -1.2]",youbot
0,11.807,[3.47],0.303,0.315,-0.182,1.233,-9.128,-9.152,"[0.8, 0.8, -1.2]",youbot
0,12.304,[3.544],0.304,0.312,-0.215,1.135,-9.217,-8.954,"[0.8, 0.8, -1.2]",youbot
0,12.704,[3.678],0.313,0.313,-0.235,1.044,-9.271,-8.787,"[0.8, 0.8, -1.2]",youbot
0,13.201,[4.02],0.323,0.313,-0.332,0.908,-9.313,-8.569,"[0.8, 0.8, -1.2]",youbot
0,13.606,[4.586],0.468,0.087,-0.127,0.781,-9.287,-8.394,"[0.8, -0.8, 1.2]",youbot
0,14.1,[4.547],0.314,-0.329,0.297,0.854,-9.086,-8.324,"[0.8, -0.8, 1.2]",youbot
0,14.505,[4.372],0.306,-0.327,0.206,0.963,-8.9,-8.305,"[0.8, -0.8, 1.2]",youbot
0,15.0,[4.351],0.306,-0.33,0.208,1.054,-8.679,-8.263,"[0.8, -0.8, 1.2]",youbot
