episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.6,[1.11],0.0,0.003,-0.005,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",youbot
0,1.0,[1.111],-0.0,-0.0,-0.003,-0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",youbot
0,1.401,[1.111],-0.0,0.0,0.002,-0.0,-3.71,9.21,"[-0.369, -0.309, -0.347]",youbot
0,1.9,[1.21],-0.403,-0.064,-0.564,-0.193,-3.86,9.17,"[-0.8, -0.154, -1.2]",youbot
0,2.302,[1.329],-0.423,0.034,-0.47,-0.402,-4.022,9.201,"[-0.8, 0.317, -1.2]",youbot
0,2.72,[1.377],-0.361,0.247,-0.447,-0.577,-4.121,9.336,"[-0.8, 0.397, -1.2]",youbot
0,3.2,[1.411],-0.21,0.388,-0.3,-0.784,-4.154,9.545,"[0.8, 0.8, -1.2]",youbot
0,3.604,[1.511],0.382,0.236,-0.023,-0.911,-4.083,9.561,"[0.8, 0.8, -1.2]",youbot
0,4.101,[1.471],0.308,0.331,-0.153,-0.98,-3.858,9.523,"[0.8, 0.8, -1.2]",youbot
0,4.504,[1.31],0.307,0.33,-0.195,-1.051,-3.681,9.488,"[0.8, 0.8, -1.2]",youbot
0,4.904,[1.157],0.282,0.358,-0.195,-1.141,-3.508,9.441,"[0.41, 0.8, -1.2]",youbot
0,5.402,[0.978],-0.093,0.296,-0.773,-1.303,-3.301,9.451,"[-0.8, -0.13, -1.2]",youbot
0,5.803,[1.024],-0.397,-0.106,-0.535,-1.593,-3.28,9.575,"[-0.8, 0.8, -1.2]",youbot
0,6.302,[1.062],-0.291,0.322,-0.288,-1.813,-3.2,9.748,"[-0.8, 0.8, -1.2]",youbot
0,6.705,[0.97],-0.299,0.329,-0.298,-1.932,-3.041,9.82,"[-0.8, 0.8, -1.2]",youbot
0,7.201,[0.839],-0.245,0.261,-0.548,-2.079,-2.834,9.888,"[0.8, -0.8, -1.2]",youbot
0,7.606,[0.888],0.295,-0.297,-0.259,-2.395,-2.82,9.899,"[0.8, -0.8, 1.2]",youbot
0,8.106,[1.142],0.33,-0.307,0.359,-2.203,-2.998,9.851,"[0.8, -0.8, 1.2]",youbot
0,8.602,[1.254],0.316,-0.315,0.27,-2.064,-3.223,9.802,"[0.8, -0.695, 1.2]",youbot
0,9.003,[1.322],0.304,-0.318,0.318,-1.935,-3.388,9.74,"[0.8, -0.769, 1.2]",youbot
0,9.501,[1.408],0.302,-0.315,0.328,-1.775,-3.576,9.646,"[0.8, -0.672, 1.2]",youbot
