episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.129,[1.306],-0.001,0.0,0.006,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",youbot
0,1.534,[1.333],0.423,0.038,0.44,0.087,-10.554,-10.88,"[0.726, 0.071, 0.694]",youbot
0,1.936,[1.441],0.442,0.032,0.29,0.23,-10.377,-10.837,"[0.727, 0.056, 0.55]",youbot
0,2.436,[1.611],0.459,0.026,0.218,0.352,-10.164,-10.759,"[0.733, 0.045, 0.457]",youbot
0,2.933,[1.812],0.465,0.022,0.17,0.44,-9.972,-10.668,"[0.733, 0.04, 0.411]",youbot
0,3.434,[2.06],0.462,0.025,0.176,0.534,-9.763,-10.545,"[0.745, 0.046, 0.432]",youbot
0,3.93,[2.382],0.463,0.029,0.202,0.624,-9.584,-10.413,"[0.744, 0.043, 0.432]",youbot
0,4.331,[2.707],0.468,0.027,0.193,0.704,-9.436,-10.285,"[0.747, 0.044, 0.437]",youbot
0,4.831,[3.207],0.471,0.024,0.178,0.799,-9.267,-10.109,"[0.748, 0.043, 0.422]",youbot
0,5.231,[3.696],0.468,0.028,0.175,0.861,-9.16,-9.978,"[0.748, 0.041, 0.403]",youbot
0,5.731,[4.308],0.475,0.014,0.109,0.94,-9.017,-9.779,"[0.746, 0.023, 0.237]",youbot
0,6.131,[4.292],0.473,0.008,0.067,0.98,-8.912,-9.621,"[0.747, 0.007, 0.072]",youbot
0,6.63,[4.352],0.475,-0.001,-0.003,1.005,-8.78,-9.413,"[0.748, -0.004, -0.044]",youbot
0,7.03,[4.503],0.475,-0.003,-0.034,0.993,-8.681,-9.262,"[0.746, -0.006, -0.061]",youbot
0,7.431,[4.664],0.472,-0.0,-0.023,0.984,-8.582,-9.111,"[0.745, -0.004, -0.038]",youbot
0,7.93,[4.862],0.474,-0.002,0.011,0.974,-8.438,-8.899,"[0.746, -0.0, -0.005]",youbot
0,8.33,[4.995],0.473,-0.001,-0.003,0.973,-8.336,-8.75,"[0.748, -0.004, -0.042]",youbot
0,8.731,[5.02],0.474,0.002,0.016,0.968,-8.229,-8.594,"[0.748, -0.002, -0.022]",youbot
0,9.231,[4.943],0.474,0.002,0.009,0.968,-8.095,-8.398,"[0.747, 0.015, 0.155]",youbot
0,9.731,[4.907],0.474,0.003,0.039,1.001,-7.966,-8.199,"[0.745, 0.003, 0.032]",youbot
0,10.231,[4.877],0.476,-0.005,-0.074,0.995,-7.838,-8.0,"[0.746, -0.009, -0.097]",youbot
0,10.631,[4.851],0.476,0.0,-0.021,0.979,-7.732,-7.843,"[0.747, -0.004, -0.038]",youbot
0,11.031,[4.834],0.476,0.001,-0.01,0.974,-7.626,-7.684,"[0.748, -0.003, -0.027]",youbot
0,11.531,[4.916],0.472,-0.002,-0.025,0.97,-7.492,-7.488,"[0.746, -0.003, -0.035]",youbot
0,11.931,[5.506],0.473,0.002,0.002,0.967,-7.384,-7.332,"[0.746, -0.002, -0.022]",youbot
0,12.431,[5.337],0.476,0.009,0.091,0.973,-7.251,-7.136,"[0.756, 0.014, 0.128]",youbot
0,12.931,[5.102],0.472,0.002,0.023,0.996,-7.123,-6.936,"[0.757, 0.002, 0.018]",youbot
0,13.43,[4.864],0.474,0.0,-0.006,0.997,-6.994,-6.737,"[0.757, -0.003, -0.029]",youbot
0,13.83,[4.688],0.472,-0.0,-0.004,0.995,-6.897,-6.586,"[0.757, -0.004, -0.037]",youbot
0,14.23,[4.507],0.473,0.001,0.008,0.991,-6.793,-6.428,"[0.756, -0.018, -0.167]",youbot
0,14.631,[4.319],0.474,-0.005,-0.049,0.969,-6.68,-6.263,"[0.757, 0.003, 0.027]",youbot
0,15.13,[4.099],0.475,-0.002,0.002,0.972,-6.551,-6.076,"[0.771, 0.016, 0.122]",youbot
0,15.531,[3.942],0.475,0.004,0.037,0.992,-6.448,-5.917,"[0.757, -0.003, -0.029]",youbot
0,16.031,[3.732],0.475,0.001,-0.009,0.992,-6.313,-5.71,"[0.757, -0.005, -0.048]",youbot
0,16.53,[3.81],0.478,-0.007,-0.075,0.982,-6.187,-5.52,"[0.758, -0.011, -0.1]",youbot
0,16.931,[3.624],0.476,-0.005,-0.06,0.958,-6.067,-5.349,"[0.758, -0.008, -0.068]",youbot
0,17.43,[3.329],0.474,0.006,0.068,0.954,-5.935,-5.165,"[0.757, 0.01, 0.088]",youbot
0,17.831,[3.206],0.474,-0.001,-0.002,0.968,-5.827,-5.007,"[0.757, -0.011, -0.097]",youbot
0,18.33,[2.967],0.475,0.002,0.007,0.957,-5.69,-4.812,"[0.757, 0.018, 0.16]",youbot
0,18.731,[2.789],0.474,0.007,0.058,0.976,-5.584,-4.656,"[0.758, 0.008, 0.069]",youbot
0,19.231,[2.603],0.474,-0.002,0.0,0.985,-5.453,-4.458,"[0.757, 0.012, 0.108]",youbot
0,19.731,[2.405],0.475,-0.002,-0.009,0.985,-5.322,-4.26,"[0.728, 0.024, 0.242]",youbot
0,20.23,[2.262],0.466,0.02,0.114,1.04,-5.203,-4.057,"[0.737, 0.029, 0.326]",youbot
0,20.632,[2.249],0.475,0.0,0.039,1.085,-5.117,-3.889,"[0.73, -0.021, -0.216]",youbot
0,21.041,[2.131],0.475,0.033,0.14,1.073,-5.022,-3.714,"[0.748, 0.013, 0.128]",youbot
0,21.464,[1.947],0.478,-0.003,-0.06,1.08,-4.934,-3.545,"[0.762, -0.026, -0.207]",youbot
0,21.945,[1.796],0.478,0.001,0.025,1.048,-4.816,-3.341,"[0.747, 0.0, -0.001]",youbot
0,22.444,[1.599],0.477,-0.007,-0.088,1.052,-4.703,-3.143,"[0.687, -0.046, -0.4]",youbot
0,22.85,[1.411],0.471,-0.016,-0.152,1.001,-4.596,-2.977,"[0.314, -0.013, -0.352]",youbot
0,23.255,[1.319],0.374,-0.008,-0.551,0.855,-4.5,-2.855,"[0.604, -0.04, -0.614]",youbot
0,23.741,[1.29],0.147,-0.021,-0.801,0.552,-4.388,-2.763,"[0.152, -0.016, -0.745]",youbot
0,24.24,[1.335],0.447,-0.025,-0.234,0.291,-4.247,-2.721,"[0.708, -0.03, -0.347]",youbot
0,24.643,[1.319],0.47,-0.014,-0.092,0.226,-4.065,-2.682,"[0.724, -0.014, -0.139]",youbot
0,25.144,[1.254],0.475,0.009,0.068,0.215,-3.823,-2.633,"[0.64, 0.005, 0.08]",youbot
0,25.55,[1.138],0.317,0.01,0.137,0.281,-3.648,-2.586,"[0.407, -0.006, 0.107]",youbot
0,25.956,[1.05],0.271,0.002,0.265,0.326,-3.504,-2.544,"[0.295, 0.003, 0.435]",youbot
0,26.391,[1.106],0.039,0.033,0.494,0.551,-3.411,-2.507,"[-0.06, -0.01, 0.739]",youbot
0,26.866,[1.231],-0.475,-0.004,0.023,0.725,-3.502,-2.583,"[-0.275, 0.004, -0.169]",youbot
0,27.359,[1.3],0.318,-0.018,-0.309,0.583,-3.542,-2.633,"[0.629, -0.014, -0.136]",youbot
0,27.861,[1.414],0.438,0.086,0.35,0.568,-3.362,-2.518,"[0.763, 0.022, 0.21]",youbot
0,28.358,[1.394],0.472,0.009,0.126,0.618,-3.177,-2.386,"[0.757, 0.03, 0.303]",youbot
0,28.777,[1.339],0.468,0.03,0.187,0.683,-3.017,-2.255,"[0.733, 0.041, 0.403]",youbot
0,29.265,[1.443],0.457,0.04,0.2,0.781,-2.861,-2.096,"[0.455, 0.044, 0.543]",youbot
0,29.695,[1.386],0.41,0.039,0.4,0.959,-2.76,-1.955,"[0.606, 0.046, 0.666]",youbot
0,30.244,[1.339],0.431,0.032,0.319,1.146,-2.658,-1.735,"[0.719, 0.045, 0.513]",youbot
0,30.729,[1.312],0.439,0.03,0.273,1.272,-2.599,-1.541,"[0.707, 0.043, 0.499]",youbot
0,31.138,[1.315],0.439,0.042,0.332,1.397,-2.569,-1.357,"[0.747, 0.045, 0.449]",youbot
0,31.58,[1.33],0.456,0.017,0.204,1.488,-2.553,-1.155,"[0.767, 0.042, 0.32]",youbot
0,31.98,[1.317],0.474,0.004,0.006,1.546,-2.55,-0.968,"[0.741, -0.013, -0.147]",youbot
0,32.472,[1.313],0.471,0.015,0.148,1.57,-2.547,-0.722,"[0.737, 0.016, 0.195]",youbot
0,32.875,[1.294],0.473,0.002,0.034,1.604,-2.554,-0.533,"[0.744, -0.003, -0.034]",youbot
0,33.371,[1.288],0.473,0.006,0.032,1.599,-2.56,-0.306,"[0.754, 0.001, 0.014]",youbot
