episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.689,[1.111],-0.0,-0.0,-0.009,-0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",youbot
0,1.124,[1.117],-0.475,0.003,-0.037,-0.039,-3.798,9.217,"[-0.708, 0.025, -0.173]",youbot
0,1.63,[1.116],-0.475,0.006,-0.08,-0.092,-4.034,9.239,"[-0.677, 0.006, -0.058]",youbot
0,2.116,[1.1],-0.474,0.008,-0.063,-0.122,-4.269,9.267,"[-0.629, 0.012, -0.096]",youbot
0,2.526,[1.08],-0.475,0.008,-0.044,-0.136,-4.457,9.294,"[-0.655, 0.003, -0.028]",youbot
0,3.023,[1.05],-0.469,-0.006,0.043,-0.141,-4.693,9.327,"[-0.726, -0.016, 0.088]",youbot
0,3.501,[1.011],-0.476,-0.016,0.072,-0.108,-4.919,9.349,"[-0.772, -0.032, 0.172]",youbot
0,3.91,[0.989],-0.471,-0.045,0.12,-0.095,-5.118,9.366,"[-0.8, -0.089, 0.435]",youbot
0,4.315,[0.965],-0.475,-0.03,0.177,0.006,-5.3,9.355,"[-0.8, 0.04, -0.166]",youbot
0,4.8,[0.962],-0.48,0.026,-0.124,-0.042,-5.523,9.373,"[-0.8, -0.004, 0.013]",youbot
0,5.202,[0.954],-0.476,-0.002,-0.007,-0.04,-5.713,9.381,"[-0.8, -0.016, 0.063]",youbot
0,5.61,[0.946],-0.475,-0.001,0.014,-0.034,-5.904,9.386,"[-0.8, -0.005, 0.016]",youbot
0,6.025,[0.94],-0.477,-0.005,0.011,-0.03,-6.103,9.391,"[-0.8, -0.004, 0.012]",youbot
0,6.43,[0.934],-0.476,0.003,-0.017,-0.028,-6.293,9.396,"[-0.8, 0.004, -0.02]",youbot
0,6.83,[0.929],-0.471,0.005,-0.042,-0.036,-6.483,9.404,"[-0.8, 0.009, -0.038]",youbot
0,7.242,[0.922],0.011,-0.0,-0.003,-0.038,-6.575,9.41,"[-0.766, -0.117, 0.486]",youbot
0,7.741,[0.918],0.011,0.0,-0.0,-0.028,-6.575,9.413,"[-0.757, -0.135, 0.575]",youbot
0,8.243,[0.912],0.012,-0.002,-0.008,-0.022,-6.575,9.416,"[-0.76, -0.122, 0.511]",youbot
0,8.734,[0.91],0.011,-0.003,-0.012,-0.019,-6.575,9.417,"[-0.785, -0.131, 0.508]",youbot
0,9.143,[0.91],0.012,-0.004,-0.012,-0.022,-6.575,9.418,"[-0.786, -0.135, 0.521]",youbot
0,9.638,[0.91],0.012,-0.008,-0.028,-0.023,-6.575,9.418,"[-0.786, -0.134, 0.516]",youbot
0,10.133,[0.91],0.012,-0.006,-0.019,-0.023,-6.575,9.418,"[-0.788, -0.134, 0.515]",youbot
0,10.542,[0.91],0.005,-0.002,-0.028,-0.023,-6.575,9.418,"[-0.792, -0.135, 0.52]",youbot
0,11.032,[0.91],0.011,-0.002,-0.01,-0.024,-6.575,9.418,"[-0.787, -0.133, 0.51]",youbot
0,11.433,[0.91],0.012,-0.002,-0.005,-0.025,-6.575,9.419,"[-0.789, -0.133, 0.513]",youbot
0,11.835,[0.91],0.005,-0.002,-0.035,-0.026,-6.575,9.419,"[-0.781, -0.138, 0.532]",youbot
0,12.24,[0.909],0.012,-0.004,-0.014,-0.027,-6.575,9.42,"[-0.789, -0.137, 0.525]",youbot
0,12.734,[0.909],0.012,-0.001,-0.009,-0.028,-6.575,9.421,"[-0.791, -0.136, 0.521]",youbot
0,13.135,[0.908],0.011,-0.004,-0.014,-0.028,-6.575,9.422,"[-0.779, -0.14, 0.535]",youbot
