episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.324,[1.185],-0.0,0.0,0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.749,[1.185],0.183,0.0,0.058,0.005,-8.475,-9.19,"[0.22, 0.0, 0.31]",turtlebot3_burger
0,2.194,[1.192],0.217,-0.0,0.295,0.132,-8.379,-9.185,"[0.22, 0.0, 0.353]",turtlebot3_burger
0,2.6,[1.199],0.22,0.0,-0.144,0.182,-8.303,-9.172,"[0.22, 0.0, -0.218]",turtlebot3_burger
0,3.001,[1.211],0.208,0.0,-0.164,0.087,-8.21,-9.159,"[0.22, 0.0, -0.138]",turtlebot3_burger
0,3.445,[1.22],0.223,0.0,-0.402,0.026,-8.115,-9.154,"[0.207, 0.0, -0.336]",turtlebot3_burger
0,3.85,[1.219],0.221,0.0,-0.159,-0.077,-8.028,-9.157,"[0.22, 0.0, -0.151]",turtlebot3_burger
0,4.297,[1.218],0.22,0.0,-0.007,-0.124,-7.926,-9.168,"[0.207, 0.0, -0.01]",turtlebot3_burger
0,4.747,[1.198],0.208,0.0,-0.135,-0.152,-7.834,-9.18,"[0.22, 0.0, 0.047]",turtlebot3_burger
0,5.198,[1.185],0.197,-0.0,-0.053,-0.173,-7.737,-9.195,"[0.22, 0.0, 0.095]",turtlebot3_burger
0,5.644,[1.17],0.214,0.0,0.016,-0.152,-7.645,-9.21,"[0.22, 0.0, 0.087]",turtlebot3_burger
0,6.048,[1.164],0.22,0.0,0.09,-0.123,-7.56,-9.222,"[0.22, 0.0, 0.085]",turtlebot3_burger
0,6.5,[1.147],0.209,-0.0,0.023,-0.088,-7.46,-9.233,"[0.22, 0.0, 0.074]",turtlebot3_burger
0,6.902,[1.139],0.22,-0.0,0.063,-0.068,-7.381,-9.239,"[0.207, 0.0, 0.05]",turtlebot3_burger
0,7.343,[1.136],0.217,0.0,0.004,-0.051,-7.282,-9.245,"[0.22, 0.0, -0.023]",turtlebot3_burger
0,7.748,[1.138],0.219,0.0,0.065,-0.036,-7.195,-9.249,"[0.22, 0.0, 0.057]",turtlebot3_burger
0,8.149,[1.143],0.219,0.0,0.05,-0.021,-7.108,-9.251,"[0.22, 0.0, -0.039]",turtlebot3_burger
0,8.588,[1.134],0.206,0.0,0.057,-0.037,-7.013,-9.254,"[0.22, 0.0, -0.033]",turtlebot3_burger
0,8.998,[1.126],0.219,0.0,-0.106,-0.055,-6.926,-9.258,"[0.22, 0.0, -0.065]",turtlebot3_burger
0,9.447,[1.13],0.218,0.0,-0.084,-0.088,-6.825,-9.265,"[0.207, 0.0, -0.04]",turtlebot3_burger
0,9.849,[1.115],0.221,0.0,-0.101,-0.106,-6.738,-9.274,"[0.22, 0.0, -0.093]",turtlebot3_burger
0,10.299,[1.092],0.222,0.0,-0.124,-0.141,-6.637,-9.286,"[0.22, 0.0, -0.117]",turtlebot3_burger
0,10.752,[1.095],0.221,-0.0,-0.001,-0.17,-6.544,-9.301,"[0.22, 0.0, -0.01]",turtlebot3_burger
0,11.155,[1.078],0.221,0.0,-0.115,-0.198,-6.459,-9.317,"[0.22, 0.0, -0.025]",turtlebot3_burger
0,11.609,[1.054],0.198,0.0,-0.073,-0.209,-6.361,-9.337,"[0.22, 0.0, 0.112]",turtlebot3_burger
0,12.06,[1.042],0.22,0.0,0.041,-0.189,-6.27,-9.356,"[0.22, 0.0, 0.075]",turtlebot3_burger
0,12.504,[1.031],0.228,-0.0,0.14,-0.17,-6.177,-9.372,"[0.22, 0.0, 0.066]",turtlebot3_burger
