episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.846,[1.201],-0.0,0.0,0.003,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",youbot
0,1.267,[1.217],0.452,0.001,0.201,0.06,-8.42,-9.187,"[0.7, 0.0, 0.279]",youbot
0,1.698,[1.294],0.455,0.156,-0.048,0.084,-8.227,-9.125,"[0.682, 0.0, 0.229]",youbot
0,2.169,[1.379],0.442,0.192,-0.122,0.07,-8.036,-9.025,"[0.661, 0.0, 0.128]",youbot
0,2.618,[1.401],0.473,-0.002,0.046,0.077,-7.838,-8.957,"[0.721, 0.0, 0.122]",youbot
0,3.113,[1.371],0.474,0.0,0.075,0.113,-7.602,-8.934,"[0.724, 0.251, -0.152]",youbot
0,3.547,[1.329],0.448,0.161,-0.045,0.131,-7.409,-8.889,"[0.703, 0.322, -0.042]",youbot
0,3.995,[1.223],0.479,-0.005,0.126,0.125,-7.233,-8.79,"[0.649, 0.0, 0.01]",youbot
0,4.429,[1.193],0.484,0.071,-0.042,0.142,-7.028,-8.759,"[0.725, 0.253, -0.119]",youbot
0,4.855,[1.126],0.476,-0.003,0.14,0.147,-6.837,-8.688,"[0.644, 0.246, -0.088]",youbot
0,5.27,[1.034],0.429,0.17,0.025,0.162,-6.648,-8.632,"[0.441, 0.0, 0.045]",youbot
0,5.702,[0.892],0.348,-0.0,0.017,0.175,-6.489,-8.595,"[0.338, 0.0, 0.14]",youbot
0,6.154,[0.787],0.24,-0.0,0.009,0.187,-6.358,-8.571,"[0.227, 0.0, 0.015]",youbot
0,6.584,[0.77],0.25,-0.0,0.099,0.229,-6.258,-8.551,"[0.251, 0.0, 0.141]",youbot
0,6.989,[0.742],0.251,-0.0,0.055,0.269,-6.165,-8.527,"[0.223, 0.0, -0.103]",youbot
0,7.439,[0.728],0.216,-0.0,-0.149,0.191,-6.071,-8.505,"[0.205, 0.0, -0.143]",youbot
0,7.84,[0.822],0.24,0.001,-0.018,0.153,-5.984,-8.49,"[0.233, 0.0, -0.009]",youbot
0,8.247,[0.912],0.358,0.003,0.006,0.15,-5.871,-8.472,"[0.387, 0.0, 0.136]",youbot
0,8.69,[0.846],0.38,-0.001,0.036,0.203,-5.682,-8.439,"[0.386, 0.0, 0.156]",youbot
0,9.124,[0.745],0.273,-0.003,-0.059,0.219,-5.55,-8.41,"[0.232, 0.0, -0.111]",youbot
0,9.551,[0.735],0.238,-0.0,0.021,0.2,-5.455,-8.39,"[0.216, 0.0, -0.107]",youbot
0,9.971,[0.717],0.215,-0.0,0.041,0.224,-5.355,-8.369,"[0.216, 0.0, 0.095]",youbot
0,10.383,[0.773],0.389,0.0,-0.16,0.214,-5.264,-8.348,"[0.463, 0.0, -0.071]",youbot
0,10.837,[0.749],0.333,0.0,-0.035,0.186,-5.083,-8.312,"[0.354, 0.0, -0.048]",youbot
0,11.268,[0.732],0.259,-0.0,-0.036,0.172,-4.96,-8.29,"[0.247, 0.0, -0.032]",youbot
0,11.673,[0.718],0.195,-0.0,0.016,0.162,-4.867,-8.275,"[0.192, 0.0, -0.028]",youbot
0,12.125,[0.712],0.152,-0.0,-0.016,0.144,-4.79,-8.263,"[0.087, 0.0, 0.122]",youbot
0,12.568,[0.701],0.07,-0.003,0.103,0.173,-4.749,-8.257,"[0.056, 0.0, 0.118]",youbot
0,13.024,[0.681],0.076,-0.0,-0.032,0.215,-4.723,-8.252,"[0.087, 0.0, -0.018]",youbot
0,13.458,[0.68],0.058,-0.003,-0.071,0.195,-4.693,-8.246,"[0.048, 0.0, -0.073]",youbot
0,13.858,[0.683],0.049,-0.003,-0.018,0.179,-4.672,-8.242,"[0.047, 0.0, -0.025]",youbot
0,14.262,[0.686],0.0,0.001,-0.059,0.165,-4.666,-8.241,"[-0.013, 0.0, -0.062]",youbot
0,14.713,[0.694],-0.01,-0.0,-0.057,0.14,-4.669,-8.242,"[0.0, 0.0, -0.065]",youbot
0,15.159,[0.699],0.014,0.003,0.061,0.129,-4.67,-8.242,"[0.018, 0.0, 0.0]",youbot
0,15.599,[0.697],-0.004,0.001,0.0,0.129,-4.672,-8.242,"[0.0, 0.0, 0.006]",youbot
0,16.012,[0.697],0.005,0.004,0.136,0.134,-4.673,-8.241,"[0.019, 0.0, -0.005]",youbot
0,16.456,[0.696],-0.012,-0.001,-0.058,0.129,-4.67,-8.241,"[-0.002, 0.0, -0.059]",youbot
