episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,0.784,[1.304],0.0,0.0,-0.0,-0.0,-10.63,-10.89,"[0.0, 0.0, 0.0]",jackal
0,1.197,[1.317],0.557,0.0,0.005,0.136,-10.61,-10.894,"[2.0, 0.0, 1.531]",jackal
0,1.686,[1.41],1.704,-0.085,0.659,0.194,-10.012,-10.811,"[1.999, 0.0, 1.537]",jackal
0,2.185,[1.975],1.98,-0.514,1.014,1.065,-9.152,-10.42,"[2.0, 0.0, -0.294]",jackal
0,2.685,[2.754],2.0,-0.0,0.003,0.999,-8.607,-9.587,"[2.0, 0.0, -0.039]",jackal
0,3.185,[3.587],2.001,0.002,-0.014,0.928,-8.05,-8.754,"[2.0, 0.0, 0.049]",jackal
0,3.685,[4.379],2.001,-0.001,0.005,0.937,-7.451,-7.945,"[2.0, 0.0, 0.008]",jackal
0,4.086,[5.043],2.0,-0.003,0.028,0.953,-6.983,-7.306,"[2.0, 0.0, -0.011]",jackal
0,4.585,[4.257],2.001,0.003,-0.023,0.948,-6.402,-6.49,"[2.0, 0.0, -0.022]",jackal
0,5.086,[3.372],2.008,0.0,0.012,0.943,-5.815,-5.677,"[2.0, 0.0, -0.017]",jackal
0,5.584,[2.527],1.994,0.001,-0.011,0.937,-5.227,-4.868,"[2.0, 0.0, -0.014]",jackal
0,5.988,[1.926],2.004,-0.027,0.194,0.951,-4.751,-4.222,"[2.0, 0.0, -0.235]",jackal
0,6.389,[1.494],2.0,-0.077,0.578,1.005,-4.287,-3.573,"[0.0, 0.0, 0.0]",jackal
0,6.79,[1.21],1.736,0.1,-0.773,1.171,-3.965,-2.931,"[0.0, 0.0, 0.0]",jackal
0,7.205,[1.125],1.335,0.267,-1.072,0.491,-3.667,-2.441,"[2.0, 0.0, 1.57]",jackal
0,7.689,[1.215],1.93,-0.298,2.178,0.794,-2.923,-2.047,"[1.999, 0.0, 1.539]",jackal
0,8.228,[1.261],1.975,-0.628,1.235,1.854,-2.429,-1.099,"[2.0, 0.0, -0.217]",jackal
0,8.678,[1.318],1.955,0.433,-2.287,1.304,-2.549,-0.238,"[2.0, 0.0, -1.52]",jackal
0,9.098,[1.06],0.86,-0.014,0.11,0.981,-2.327,0.411,"[-0.121, 0.0, 1.543]",jackal
0,9.511,[1.03],0.002,-0.0,-0.009,1.068,-2.288,0.455,"[-0.096, 0.0, 1.541]",jackal
0,9.925,[1.039],0.0,-0.0,0.001,1.239,-2.278,0.451,"[-0.356, 0.0, 1.55]",jackal
0,10.447,[1.04],0.373,-0.01,-0.071,1.34,-2.269,0.458,"[0.0, 0.0, 0.0]",jackal
0,10.971,[0.975],0.034,0.022,-0.17,1.297,-2.208,0.733,"[0.091, 0.0, 1.537]",jackal
0,11.764,[0.971],0.0,0.0,-0.0,1.317,-2.202,0.753,"[1.343, 0.0, 1.528]",jackal
0,12.188,[0.96],0.685,-0.0,-0.001,1.424,-2.177,0.884,"[2.0, 0.0, -1.523]",jackal
0,12.669,[1.066],1.759,0.147,-1.118,1.295,-2.075,1.556,"[2.0, 0.0, -1.531]",jackal
0,13.083,[1.361],1.954,0.64,-2.277,0.466,-1.722,2.25,"[2.0, 0.0, -0.833]",jackal
0,13.57,[1.024],1.8,-0.269,1.705,0.547,-0.864,2.673,"[0.975, 0.0, -1.535]",jackal
0,13.971,[0.688],0.702,-0.154,1.18,1.041,-0.485,2.953,"[-0.457, 0.0, -1.547]",jackal
0,14.371,[0.629],0.0,-0.0,-0.0,1.269,-0.408,3.054,"[0.0, 0.0, 0.0]",jackal
0,14.87,[0.837],-0.262,0.194,-1.754,1.107,-0.433,3.037,"[0.0, 0.0, 0.0]",jackal
0,15.367,[1.007],-0.03,0.022,0.139,0.763,-0.519,2.999,"[-0.182, 0.0, -1.57]",jackal
0,15.878,[1.096],-0.089,0.054,-0.431,0.509,-0.616,2.958,"[-0.189, 0.0, -1.544]",jackal
0,16.369,[1.089],0.22,-0.008,0.06,0.432,-0.586,2.976,"[1.637, 0.0, -1.534]",jackal
0,16.771,[0.935],0.533,-0.102,0.775,0.481,-0.357,3.072,"[0.0, 0.0, 0.0]",jackal
