episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.073,[1.186],-0.0,0.0,0.0,-0.0,-8.52,-9.19,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.474,[1.183],0.186,-0.0,-0.0,0.0,-8.493,-9.19,"[0.22, 0.0, 0.116]",turtlebot3_burger
0,1.874,[1.186],0.218,-0.0,0.244,0.038,-8.409,-9.189,"[0.22, 0.0, 0.255]",turtlebot3_burger
0,2.278,[1.184],0.219,-0.0,0.181,0.131,-8.323,-9.182,"[0.22, 0.0, 0.07]",turtlebot3_burger
0,2.68,[1.209],0.221,0.0,-0.168,0.126,-8.235,-9.169,"[0.22, 0.0, -0.207]",turtlebot3_burger
0,3.182,[1.212],0.222,0.0,-0.201,0.025,-8.125,-9.161,"[0.22, 0.0, -0.202]",turtlebot3_burger
0,3.68,[1.213],0.222,0.0,-0.167,-0.072,-8.014,-9.164,"[0.22, 0.0, -0.131]",turtlebot3_burger
0,4.181,[1.214],0.22,0.0,0.002,-0.115,-7.905,-9.175,"[0.22, 0.0, 0.101]",turtlebot3_burger
0,4.679,[1.195],0.22,-0.0,0.084,-0.055,-7.796,-9.184,"[0.22, 0.0, -0.012]",turtlebot3_burger
0,5.179,[1.191],0.222,0.0,-0.109,-0.085,-7.686,-9.191,"[0.22, 0.0, 0.0]",turtlebot3_burger
0,5.676,[1.181],0.22,-0.0,0.104,-0.041,-7.577,-9.199,"[0.22, 0.0, 0.013]",turtlebot3_burger
0,6.079,[1.184],0.222,0.0,-0.202,-0.073,-7.489,-9.203,"[0.22, 0.0, -0.178]",turtlebot3_burger
0,6.576,[1.159],0.221,0.0,-0.063,-0.143,-7.379,-9.216,"[0.22, 0.0, -0.017]",turtlebot3_burger
0,6.985,[1.161],0.22,0.0,0.001,-0.145,-7.292,-9.229,"[0.22, 0.0, -0.003]",turtlebot3_burger
0,7.48,[1.137],0.219,-0.0,0.157,-0.125,-7.184,-9.244,"[0.22, 0.0, 0.094]",turtlebot3_burger
0,7.881,[1.134],0.221,0.0,-0.108,-0.12,-7.096,-9.254,"[0.22, 0.0, -0.14]",turtlebot3_burger
0,8.286,[1.125],0.22,-0.0,-0.004,-0.164,-7.009,-9.267,"[0.22, 0.0, 0.046]",turtlebot3_burger
0,8.782,[1.096],0.218,-0.0,0.193,-0.095,-6.901,-9.282,"[0.22, 0.0, 0.162]",turtlebot3_burger
0,9.276,[1.087],0.22,0.0,0.004,-0.055,-6.792,-9.289,"[0.22, 0.0, 0.01]",turtlebot3_burger
0,9.682,[1.088],0.22,0.0,-0.032,-0.048,-6.704,-9.294,"[0.22, 0.0, -0.05]",turtlebot3_burger
0,10.082,[1.092],0.219,0.0,-0.161,-0.085,-6.616,-9.299,"[0.22, 0.0, -0.119]",turtlebot3_burger
0,10.485,[1.081],0.22,0.0,-0.026,-0.121,-6.528,-9.308,"[0.22, 0.0, -0.048]",turtlebot3_burger
0,10.982,[1.063],0.22,0.0,-0.054,-0.146,-6.419,-9.323,"[0.22, 0.0, -0.032]",turtlebot3_burger
0,11.481,[1.055],0.218,0.0,0.068,-0.137,-6.31,-9.34,"[0.22, 0.0, 0.05]",turtlebot3_burger
0,11.974,[1.04],0.218,0.0,-0.055,-0.139,-6.201,-9.354,"[0.22, 0.0, 0.003]",turtlebot3_burger
0,12.377,[1.029],0.22,-0.0,0.062,-0.122,-6.114,-9.366,"[0.22, 0.0, 0.023]",turtlebot3_burger
0,12.879,[1.022],0.219,0.0,0.013,-0.117,-6.005,-9.379,"[0.22, 0.0, 0.013]",turtlebot3_burger
0,13.377,[1.0],0.217,0.0,0.015,-0.11,-5.896,-9.392,"[0.22, 0.0, 0.008]",turtlebot3_burger
0,13.779,[1.003],0.22,0.0,-0.009,-0.111,-5.809,-9.401,"[0.22, 0.0, 0.003]",turtlebot3_burger
0,14.278,[0.985],0.219,-0.0,0.042,-0.109,-5.7,-9.413,"[0.22, 0.0, 0.042]",turtlebot3_burger
0,14.779,[0.974],0.218,0.0,-0.04,-0.107,-5.59,-9.425,"[0.22, 0.0, 0.016]",turtlebot3_burger
0,15.181,[0.965],0.22,-0.0,0.006,-0.102,-5.503,-9.434,"[0.22, 0.0, -0.089]",turtlebot3_burger
0,15.674,[0.957],0.219,-0.0,0.086,-0.128,-5.393,-9.447,"[0.22, 0.0, 0.099]",turtlebot3_burger
0,16.075,[0.928],0.22,-0.0,0.045,-0.1,-5.306,-9.457,"[0.22, 0.0, 0.012]",turtlebot3_burger
0,16.48,[0.932],0.221,0.0,-0.02,-0.118,-5.219,-9.466,"[0.22, 0.0, 0.043]",turtlebot3_burger
0,16.983,[0.921],0.22,-0.0,0.038,-0.096,-5.11,-9.478,"[0.22, 0.0, 0.04]",turtlebot3_burger
0,17.477,[0.904],0.221,-0.0,-0.029,-0.092,-5.0,-9.488,"[0.22, 0.0, -0.024]",turtlebot3_burger
0,17.879,[0.899],0.22,-0.0,0.05,-0.089,-4.913,-9.497,"[0.22, 0.0, 0.011]",turtlebot3_burger
0,18.376,[0.896],0.22,-0.0,0.039,-0.088,-4.804,-9.506,"[0.22, 0.0, 0.028]",turtlebot3_burger
0,18.879,[0.895],0.221,0.0,-0.047,-0.09,-4.694,-9.516,"[0.22, 0.0, -0.055]",turtlebot3_burger
0,19.38,[0.879],0.22,-0.0,0.132,-0.096,-4.585,-9.527,"[0.22, 0.0, 0.165]",turtlebot3_burger
0,19.782,[0.87],0.221,0.0,-0.062,-0.063,-4.497,-9.533,"[0.22, 0.0, -0.123]",turtlebot3_burger
0,20.278,[0.856],0.222,0.0,-0.109,-0.144,-4.387,-9.544,"[0.22, 0.0, -0.011]",turtlebot3_burger
0,20.678,[0.855],0.219,-0.0,0.199,-0.119,-4.301,-9.556,"[0.22, 0.0, 0.201]",turtlebot3_burger
0,21.079,[0.842],0.218,-0.0,0.201,-0.04,-4.214,-9.563,"[0.22, 0.0, 0.196]",turtlebot3_burger
0,21.584,[0.837],0.221,0.0,-0.085,-0.018,-4.104,-9.565,"[0.22, 0.0, -0.049]",turtlebot3_burger
0,22.078,[0.838],0.22,0.0,0.02,-0.02,-3.994,-9.567,"[0.22, 0.0, -0.076]",turtlebot3_burger
0,22.582,[0.808],0.222,0.0,-0.206,-0.102,-3.884,-9.573,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,22.991,[0.751],0.095,-0.0,-0.396,-0.245,-3.824,-9.582,"[-0.009, 0.0, -0.3]",turtlebot3_burger
0,23.398,[0.507],-0.027,0.0,-0.786,-0.431,-3.813,-9.585,"[-0.073, 0.0, -0.3]",turtlebot3_burger
0,23.891,[0.19],-0.139,0.0,-0.246,-0.757,-3.837,-9.566,"[-0.159, 0.0, -0.3]",turtlebot3_burger
0,24.297,[0.154],-0.145,0.001,-0.405,-0.624,-3.89,-9.535,"[-0.109, 0.0, -0.3]",turtlebot3_burger
0,24.703,[0.185],-0.082,-0.001,-0.173,-0.568,-3.957,-9.546,"[-0.104, 0.0, -0.271]",turtlebot3_burger
0,25.105,[0.172],-0.056,0.0,-0.337,-0.664,-3.991,-9.527,"[-0.079, 0.0, -0.3]",turtlebot3_burger
0,25.506,[0.12],-0.093,0.0,-0.226,-0.781,-4.012,-9.508,"[-0.1, 0.0, -0.287]",turtlebot3_burger
0,25.995,[0.168],-0.104,0.0,-0.365,-0.925,-4.045,-9.47,"[-0.129, 0.0, -0.3]",turtlebot3_burger
0,26.499,[0.174],-0.13,0.0,-0.296,-1.076,-4.079,-9.417,"[-0.13, 0.0, -0.3]",turtlebot3_burger
0,27.002,[0.226],-0.124,0.0,-0.302,-1.23,-4.104,-9.36,"[-0.136, 0.0, -0.3]",turtlebot3_burger
0,27.497,[0.366],-0.158,0.0,-0.3,-1.381,-4.123,-9.289,"[-0.17, 0.0, -0.3]",turtlebot3_burger
0,27.992,[0.605],-0.171,0.0,-0.305,-1.528,-4.132,-9.207,"[-0.18, 0.0, -0.3]",turtlebot3_burger
